788D	7919
80AE	9AAF
8884	8956
575D	58E9
677F	95C6
529E	8FA6
5E2E	5E6B
5B9D	5BF6
62A5	5831
5E01	5E63
6BD9	6583
6807	6A19
8868	9336
522B	5F46
535C	8514
8865	88DC
624D	7E94
8695	8836
707F	71E6
5C42	5C64
6400	6519
8C17	8B92
998B	995E
7F20	7E8F
5FCF	61FA
507F	511F
5382	5EE0
5F7B	5FB9
5C18	5875
886C	896F
79F0	7A31
60E9	61F2
8FDF	9072
51B2	885D
4E11	919C
51FA	9F63
7840	790E
5904	8655
89E6	89F8
8F9E	8FAD
806A	8070
4E1B	53E2
62C5	64D4
80C6	81BD
5BFC	5C0E
706F	71C8
9093	9127
654C	6575
7C74	7CF4
9012	905E
70B9	9EDE
6DC0	6FB1
7535	96FB
51AC	9F15
6597	9B25
72EC	7368
5428	5678
593A	596A
5815	58AE
513F	5152
77FE	792C
8303	7BC4
98DE	98DB
575F	58B3
594B	596E
7CAA	7CDE
51E4	9CF3
80A4	819A
5987	5A66
4E2A	500B
5DE9	978F
6C9F	6E9D
6784	69CB
8D2D	8CFC
8C37	6996
987E	9867
522E	98B3
5173	95DC
89C2	89C0
67DC	6AC3
6C49	6F22
53F7	865F
5408	95A4
8F70	8F5F
540E	5F8C
80E1	9B0D
58F6	58FA
6CAA	6EEC
62A4	8B77
5212	5283
6000	61F7
574F	58DE
6B22	6B61
73AF	74B0
8FD8	9084
56DE	8FF4
4F19	5925
83B7	7372
51FB	6483
9E21	9DC4
79EF	7A4D
6781	6975
9645	969B
7EE7	7E7C
5BB6	50A2
4EF7	50F9
8270	8271
6B7C	6BB2
8327	7E6D
62E3	63C0
7877	9E78
8230	8266
59DC	8591
6D46	6F3F
6868	69F3
5956	596C
8BB2	8B1B
9171	91A4
80F6	81A0
9636	968E
7596	7664
6D01	6F54
501F	85C9
4EC5	50C5
60CA	9A5A
7ADE	7AF6
65E7	820A
5267	5287
636E	64DA
60E7	61FC
5377	6372
5F00	958B
514B	524B
57A6	58BE
6073	61C7
5938	8A87
5757	584A
4E8F	8667
56F0	774F
814A	81D8
8721	881F
5170	862D
62E6	6514
680F	6B04
70C2	721B
7D2F	7E8D
5792	58D8
7C7B	985E
91CC	88CF
793C	79AE
96B6	96B7
5E18	7C3E
8054	806F
601C	6190
70BC	7149
7EC3	7DF4
7CAE	7CE7
7597	7642
8FBD	907C
4E86	77AD
730E	7375
4E34	81E8
90BB	9130
5CAD	5DBA
5E90	5EEC
82A6	8606
7089	7210
9646	9678
9A74	9A62
4E71	4E82
4E48	9EBD
9709	9EF4
8499	77C7
68A6	5922
9762	9EB5
5E99	5EDF
706D	6EC5
8511	884A
4EA9	755D
607C	60F1
8111	8166
62DF	64EC
917F	91C0
759F	7627
76D8	76E4
8F9F	95E2
82F9	860B
51ED	6191
6251	64B2
4EC6	50D5
6734	6A38
542F	5553
7B7E	7C64
5343	97C6
7275	727D
7EA4	7E34
7A8D	7AC5
7A83	7ACA
5BDD	5BE2
5E86	6176
743C	74CA
79CB	97A6
66F2	9EAF
6743	6B0A
529D	52F8
786E	78BA
8BA9	8B93
6270	64FE
70ED	71B1
8BA4	8A8D
6D12	7051
4F1E	5098
4E27	55AA
626B	6383
6DA9	6F80
6652	66EC
4F24	50B7
820D	6368
6C88	700B
58F0	8072
80DC	52DD
6E7F	6FD5
5B9E	5BE6
9002	9069
52BF	52E2
517D	7378
4E66	66F8
672F	8853
6811	6A39
5E05	5E25
677E	9B06
82CF	8607
968F	96A8
53F0	81FA
6001	614B
575B	58C7
8A8A	8B04
4F53	9AD4
7C9C	7CF6
94C1	9435
542C	807D
5385	5EF3
5934	982D
56FE	5716
6D82	5857
56E2	5718
6D3C	7AAA
889C	896A
7F51	7DB2
536B	885B
7A33	7A69
52A1	52D9
96FE	9727
727A	72A7
4E60	7FD2
7CFB	4FC2
620F	6232
867E	8766
5413	5687
54B8	9E79
663E	986F
5BAA	61B2
53BF	7E23
54CD	97FF
5411	56AE
534F	5354
80C1	8105
4EB5	893B
8845	91C1
5174	8208
987B	9B1A
60AC	61F8
9009	9078
65CB	93C7
538B	58D3
76D0	9E7D
9633	967D
517B	990A
75D2	7662
6837	69D8
94A5	9470
836F	85E5
7237	723A
53F6	8449
533B	91AB
4EBF	5104
5FC6	61B6
5E94	61C9
75C8	7670
62E5	64C1
4F63	50AD
8E0A	8E34
5FE7	6182
4F18	512A
90AE	90F5
4F59	9918
5FA1	79A6
5401	7C72
90C1	9B31
8A89	8B7D
6E0A	6DF5
56ED	5712
8FDC	9060
613F	9858
8DC3	8E8D
8FD0	904B
915D	9196
6742	96DC
8D43	81D3
810F	8D1C
51FF	947F
67A3	68D7
7076	7AC8
658B	9F4B
6BE1	6C08
6218	6230
8D75	8D99
6298	647A
8FD9	9019
5F81	5FB5
75C7	7665
8BC1	8B49
53EA	96BB
5236	88FD
949F	9418
79CD	7A2E
4F17	8846
663C	665D
6731	7843
70DB	71ED
7B51	7BC9
5E84	838A
6869	6A01
5986	599D
88C5	88DD
58EE	58EF
72B6	72C0
51C6	51D6
6D4A	6FC1
603B	7E3D
94BB	947D
