01	0101
02	0102
03	0103
04	0104
05	0105
06	0106
07	0107
08	0108
09	0109
0A	010A
0B	010B
0C	010C
0D	010D
0E	010E
0F	010F
10	0110
11	0111
12	0112
13	0113
14	0114
15	0115
16	0116
17	0117
18	0118
19	0119
1A	011A
1B	011B
1C	011C
1D	011D
1E	011E
1F	011F
20	0120
21	0121
22	0122
23	0123
24	0124
25	0125
26	0126
27	0127
28	0128
29	0129
2A	012A
2B	012B
2C	012C
2D	012D
2E	012E
2F	012F
30	0130
31	0131
32	0132
33	0133
34	0134
35	0135
36	0136
37	0137
38	0138
39	0139
3A	013A
3B	013B
3C	013C
3D	013D
3E	013E
3F	013F
40	0140
41	0141
42	0142
43	0143
44	0144
45	0145
46	0146
47	0147
48	0148
49	0149
4A	014A
4B	014B
4C	014C
4D	014D
4E	014E
4F	014F
50	0150
51	0151
52	0152
53	0153
54	0154
55	0155
56	0156
57	0157
58	0158
59	0159
5A	015A
5B	015B
5C	015C
5D	015D
5E	015E
5F	015F
60	0160
61	0161
62	0162
63	0163
64	0164
65	0165
66	0166
67	0167
68	0168
69	0169
6A	016A
6B	016B
6C	016C
6D	016D
6E	016E
6F	016F
70	0170
71	0171
72	0172
73	0173
74	0174
75	0175
76	0176
77	0177
78	0178
79	0179
7A	017A
7B	017B
7C	017C
7D	017D
7E	017E
7F	017F
