00	0300
01	0301
02	0302
03	0303
04	0304
05	0305
06	0306
07	0307
08	0308
09	0309
0A	030A
0B	030B
0C	030C
0D	030D
0E	030E
0F	030F
10	0310
11	0311
12	0312
13	0313
14	0314
15	0315
16	0316
17	0317
18	0318
19	0319
1A	031A
1B	031B
1C	031C
1D	031D
1E	031E
1F	031F
20	0320
21	0321
22	0322
23	0323
24	0324
25	0325
26	0326
27	0327
28	0328
29	0329
2A	032A
2B	032B
2C	032C
2D	032D
2E	032E
2F	032F
30	0330
31	0331
32	0332
33	0333
34	0334
35	0335
36	0336
37	0337
38	0338
39	0339
3A	033A
3B	033B
3C	033C
3D	033D
3E	033E
3F	033F
40	0340
41	0341
42	0342
43	0343
44	0344
45	0345
46	0346
47	0347
48	0348
49	0349
4A	034A
4B	034B
4C	034C
4D	034D
4E	034E
4F	034F
50	0350
51	0351
52	0352
53	0353
54	0354
55	0355
56	0356
57	0357
58	0358
59	0359
5A	035A
5B	035B
5C	035C
5D	035D
5E	035E
5F	035F
60	0360
61	0361
62	0362
63	0363
64	0364
65	0365
66	0366
67	0367
68	0368
69	0369
6A	036A
6B	036B
6C	036C
6D	036D
6E	036E
6F	036F
70	0370
71	0371
72	0372
73	0373
74	0374
75	0375
76	0376
77	0377
78	0378
79	0379
7A	037A
7B	037B
7C	037C
7D	037D
7E	037E
7F	037F
80	0380
81	0381
82	0382
83	0383
84	0384
85	0385
86	0386
87	0387
88	0388
89	0389
8A	038A
8B	038B
8C	038C
8D	038D
8E	038E
8F	038F
90	0390
91	0391
92	0392
93	0393
94	0394
95	0395
96	0396
97	0397
98	0398
99	0399
9A	039A
9B	039B
9C	039C
9D	039D
9E	039E
9F	039F
A0	03A0
A1	03A1
A2	03A2
A3	03A3
A4	03A4
A5	03A5
A6	03A6
A7	03A7
A8	03A8
A9	03A9
AA	03AA
AB	03AB
AC	03AC
AD	03AD
AE	03AE
AF	03AF
B0	03B0
B1	03B1
B2	03B2
B3	03B3
B4	03B4
B5	03B5
B6	03B6
B7	03B7
B8	03B8
B9	03B9
BA	03BA
BB	03BB
BC	03BC
BD	03BD
BE	03BE
BF	03BF
C0	03C0
C1	03C1
C2	03C2
C3	03C3
C4	03C4
C5	03C5
C6	03C6
C7	03C7
C8	03C8
C9	03C9
CA	03CA
CB	03CB
CC	03CC
CD	03CD
CE	03CE
CF	03CF
D0	03D0
D1	03D1
D2	03D2
D3	03D3
D4	03D4
D5	03D5
D6	03D6
D7	03D7
D8	03D8
D9	03D9
DA	03DA
DB	03DB
DC	03DC
DD	03DD
DE	03DE
DF	03DF
E0	03E0
E1	03E1
E2	03E2
E3	03E3
E4	03E4
E5	03E5
E6	03E6
E7	03E7
E8	03E8
E9	03E9
EA	03EA
EB	03EB
EC	03EC
ED	03ED
EE	03EE
EF	03EF
F0	03F0
F1	03F1
F2	03F2
F3	03F3
F4	03F4
F5	03F5
F6	03F6
F7	03F7
F8	03F8
F9	03F9
FA	03FA
FB	03FB
FC	03FC
FD	03FD
FE	03FE
FF	03FF
