#source: http://unicode.ncl.edu.tw/
212221	01221E
212222	012B
212223	012D
212224	01B1
212225	01D7
212226	0122C5
212227	01F7
212228	012215
212229	013D
21222A	012260
21222B	012261
21222C	012248
21222D	01223C
21222E	01221D
21222F	013C
212230	013E
212231	01226E
212232	01226F
212233	012264
212234	012265
212235	01226A
212236	01226B
212237	012202
212238	01222B
212239	010394
21223A	012206
21223B	012207
21223C	0125A1
21223D	012220
21223E	0122A4
21223F	012225
212240	012245
212241	01225E
212242	012234
212243	012203
212244	012200
212245	01222A
212246	012229
212247	012282
212248	012283
212249	0121D2
21224A	0121D4
21224B	01220B
21224C	012208
21224D	012209
21224E	012211
21224F	0133D2
212250	0133D1
212251	0165
212252	0103C0
212253	01221A
212254	0121
212255	017C
212256	017C
212257	013008
212258	013009
212321	0121
212322	0122
212323	0123
212324	0124
212325	0125
212326	0126
212327	0127
212328	0128
212329	0129
21232A	012A
21232B	012B
21232C	012C
21232D	012D
21232E	012E
21232F	012F
212330	0130
212331	0131
212332	0132
212333	0133
212334	0134
212335	0135
212336	0136
212337	0137
212338	0138
212339	0139
21233A	013A
21233B	013B
21233C	013C
21233D	013D
21233E	013E
21233F	013F
212340	0140
212341	0141
212342	0142
212343	0143
212344	0144
212345	0145
212346	0146
212347	0147
212348	0148
212349	0149
21234A	014A
21234B	014B
21234C	014C
21234D	014D
21234E	014E
21234F	014F
212350	0150
212351	0151
212352	0152
212353	0153
212354	0154
212355	0155
212356	0156
212357	0157
212358	0158
212359	0159
21235A	015A
21235B	015B
21235C	015C
21235D	015D
21235F	015F
212360	0127
212361	0161
212362	0162
212363	0163
212364	0164
212365	0165
212366	0166
212367	0167
212368	0168
212369	0169
21236A	016A
21236B	016B
21236C	016C
21236D	016D
21236E	016E
21236F	016F
212370	0170
212371	0171
212372	0172
212373	0173
212374	0174
212375	0175
212376	0176
212377	0177
212378	0178
212379	0179
21237A	017A
21237B	017B
21237C	017C
21237D	017D
21237E	017E
212A46	013013
212B21	01FE35
212B22	01FE36
212B23	01FE41
212B24	01FE42
212B25	01300C
212B26	01300D
212B27	01FE33
212B28	015F
212B29	01FE43
212B2A	01FE44
212B2B	01300E
212B2C	01300F
212B2D	01FE34
212B2E	01FE4F
212B2F	01FE39
212B30	01FE3A
212B31	013014
212B32	013015
212B33	013002
212B34	0130FB
212B35	013001
212B36	0122EE
212B37	0122EF
212B38	012C
212B39	013B
212B3A	013A
212B3B	013F
212B3C	017C
212B3D	0121
212B3E	01FE32
212B3F	01FE31
212B40	012018
212B41	012019
212B42	01201C
212B43	01201D
212B48	013008
212B49	013009
212B4A	01300A
212B4B	01300B
212B4C	013010
212B4D	013011
212B4E	013016
212B4F	013017
212B50	0124
212B51	0124
212B52	01A2
212B53	0120A1
212B54	01A3
212B55	01A5
212B59	012F
212B5A	0123
212B5B	0125
212B5D	0140
212B5E	01B6
212B5F	01AE
212B60	01A9
212B62	0126
212B63	01A7
212B64	012020
212B65	012021
212B66	012A
212B70	0130FD
212B71	0130FE
212B72	01309D
212B73	01309E
212B75	013012
212C22	014E00
212C23	014E28
212C24	014E36
212C25	014E3F
212C26	014E59
212C27	014E85
212C29	014E8C
212C2A	014EA0
212C2B	014EBA
212C2C	01513F
212C2D	015165
212C2E	01516B
212C2F	015182
212C30	015196
212C31	0151AB
