85	012026	#HORIZONTAL ELLIPSIS
91	012018	#LEFT SINGLE QUOTATION MARK
92	012019	#RIGHT SINGLE QUOTATION MARK
93	01201C	#LEFT DOUBLE QUOTATION MARK
94	01201D	#RIGHT DOUBLE QUOTATION MARK
95	012022	#BULLET
96	012013	#EN DASH
97	012014	#EM DASH
A0	0100A0	#NO-BREAK SPACE
A1	010E01	#THAI CHARACTER KO KAI
A2	010E02	#THAI CHARACTER KHO KHAI
A3	010E03	#THAI CHARACTER KHO KHUAT
A4	010E04	#THAI CHARACTER KHO KHWAI
A5	010E05	#THAI CHARACTER KHO KHON
A6	010E06	#THAI CHARACTER KHO RAKHANG
A7	010E07	#THAI CHARACTER NGO NGU
A8	010E08	#THAI CHARACTER CHO CHAN
A9	010E09	#THAI CHARACTER CHO CHING
AA	010E0A	#THAI CHARACTER CHO CHANG
AB	010E0B	#THAI CHARACTER SO SO
AC	010E0C	#THAI CHARACTER CHO CHOE
AD	010E0D	#THAI CHARACTER YO YING
AE	010E0E	#THAI CHARACTER DO CHADA
AF	010E0F	#THAI CHARACTER TO PATAK
B0	010E10	#THAI CHARACTER THO THAN
B1	010E11	#THAI CHARACTER THO NANGMONTHO
B2	010E12	#THAI CHARACTER THO PHUTHAO
B3	010E13	#THAI CHARACTER NO NEN
B4	010E14	#THAI CHARACTER DO DEK
B5	010E15	#THAI CHARACTER TO TAO
B6	010E16	#THAI CHARACTER THO THUNG
B7	010E17	#THAI CHARACTER THO THAHAN
B8	010E18	#THAI CHARACTER THO THONG
B9	010E19	#THAI CHARACTER NO NU
BA	010E1A	#THAI CHARACTER BO BAIMAI
BB	010E1B	#THAI CHARACTER PO PLA
BC	010E1C	#THAI CHARACTER PHO PHUNG
BD	010E1D	#THAI CHARACTER FO FA
BE	010E1E	#THAI CHARACTER PHO PHAN
BF	010E1F	#THAI CHARACTER FO FAN
C0	010E20	#THAI CHARACTER PHO SAMPHAO
C1	010E21	#THAI CHARACTER MO MA
C2	010E22	#THAI CHARACTER YO YAK
C3	010E23	#THAI CHARACTER RO RUA
C4	010E24	#THAI CHARACTER RU
C5	010E25	#THAI CHARACTER LO LING
C6	010E26	#THAI CHARACTER LU
C7	010E27	#THAI CHARACTER WO WAEN
C8	010E28	#THAI CHARACTER SO SALA
C9	010E29	#THAI CHARACTER SO RUSI
CA	010E2A	#THAI CHARACTER SO SUA
CB	010E2B	#THAI CHARACTER HO HIP
CC	010E2C	#THAI CHARACTER LO CHULA
CD	010E2D	#THAI CHARACTER O ANG
CE	010E2E	#THAI CHARACTER HO NOKHUK
CF	010E2F	#THAI CHARACTER PAIYANNOI
D0	010E30	#THAI CHARACTER SARA A
D1	010E31	#THAI CHARACTER MAI HAN-AKAT
D2	010E32	#THAI CHARACTER SARA AA
D3	010E33	#THAI CHARACTER SARA AM
D4	010E34	#THAI CHARACTER SARA I
D5	010E35	#THAI CHARACTER SARA II
D6	010E36	#THAI CHARACTER SARA UE
D7	010E37	#THAI CHARACTER SARA UEE
D8	010E38	#THAI CHARACTER SARA U
D9	010E39	#THAI CHARACTER SARA UU
DA	010E3A	#THAI CHARACTER PHINTHU
DF	010E3F	#THAI CURRENCY SYMBOL BAHT
E0	010E40	#THAI CHARACTER SARA E
E1	010E41	#THAI CHARACTER SARA AE
E2	010E42	#THAI CHARACTER SARA O
E3	010E43	#THAI CHARACTER SARA AI MAIMUAN
E4	010E44	#THAI CHARACTER SARA AI MAIMALAI
E5	010E45	#THAI CHARACTER LAKKHANGYAO
E6	010E46	#THAI CHARACTER MAIYAMOK
E7	010E47	#THAI CHARACTER MAITAIKHU
E8	010E48	#THAI CHARACTER MAI EK
E9	010E49	#THAI CHARACTER MAI THO
EA	010E4A	#THAI CHARACTER MAI TRI
EB	010E4B	#THAI CHARACTER MAI CHATTAWA
EC	010E4C	#THAI CHARACTER THANTHAKHAT
ED	010E4D	#THAI CHARACTER NIKHAHIT
EE	010E4E	#THAI CHARACTER YAMAKKAN
EF	010E4F	#THAI CHARACTER FONGMAN
F0	010E50	#THAI DIGIT ZERO
F1	010E51	#THAI DIGIT ONE
F2	010E52	#THAI DIGIT TWO
F3	010E53	#THAI DIGIT THREE
F4	010E54	#THAI DIGIT FOUR
F5	010E55	#THAI DIGIT FIVE
F6	010E56	#THAI DIGIT SIX
F7	010E57	#THAI DIGIT SEVEN
F8	010E58	#THAI DIGIT EIGHT
F9	010E59	#THAI DIGIT NINE
FA	010E5A	#THAI CHARACTER ANGKHANKHU
FB	010E5B	#THAI CHARACTER KHOMUT
