# http://unicode.org/Public/MAPPINGS/VENDORS/MICSFT/WINDOWS/CP949.TXT
8141	01AC02
8142	01AC03
8143	01AC05
8144	01AC06
8145	01AC0B
8146	01AC0C
8147	01AC0D
8148	01AC0E
8149	01AC0F
814A	01AC18
814B	01AC1E
814C	01AC1F
814D	01AC21
814E	01AC22
814F	01AC23
8150	01AC25
8151	01AC26
8152	01AC27
8153	01AC28
8154	01AC29
8155	01AC2A
8156	01AC2B
8157	01AC2E
8158	01AC32
8159	01AC33
815A	01AC34
8161	01AC35
8162	01AC36
8163	01AC37
8164	01AC3A
8165	01AC3B
8166	01AC3D
8167	01AC3E
8168	01AC3F
8169	01AC41
816A	01AC42
816B	01AC43
816C	01AC44
816D	01AC45
816E	01AC46
816F	01AC47
8170	01AC48
8171	01AC49
8172	01AC4A
8173	01AC4C
8174	01AC4E
8175	01AC4F
8176	01AC50
8177	01AC51
8178	01AC52
8179	01AC53
817A	01AC55
8181	01AC56
8182	01AC57
8183	01AC59
8184	01AC5A
8185	01AC5B
8186	01AC5D
8187	01AC5E
8188	01AC5F
8189	01AC60
818A	01AC61
818B	01AC62
818C	01AC63
818D	01AC64
818E	01AC65
818F	01AC66
8190	01AC67
8191	01AC68
8192	01AC69
8193	01AC6A
8194	01AC6B
8195	01AC6C
8196	01AC6D
8197	01AC6E
8198	01AC6F
8199	01AC72
819A	01AC73
819B	01AC75
819C	01AC76
819D	01AC79
819E	01AC7B
819F	01AC7C
81A0	01AC7D
81A1	01AC7E
81A2	01AC7F
81A3	01AC82
81A4	01AC87
81A5	01AC88
81A6	01AC8D
81A7	01AC8E
81A8	01AC8F
81A9	01AC91
81AA	01AC92
81AB	01AC93
81AC	01AC95
81AD	01AC96
81AE	01AC97
81AF	01AC98
81B0	01AC99
81B1	01AC9A
81B2	01AC9B
81B3	01AC9E
81B4	01ACA2
81B5	01ACA3
81B6	01ACA4
81B7	01ACA5
81B8	01ACA6
81B9	01ACA7
81BA	01ACAB
81BB	01ACAD
81BC	01ACAE
81BD	01ACB1
81BE	01ACB2
81BF	01ACB3
81C0	01ACB4
81C1	01ACB5
81C2	01ACB6
81C3	01ACB7
81C4	01ACBA
81C5	01ACBE
81C6	01ACBF
81C7	01ACC0
81C8	01ACC2
81C9	01ACC3
81CA	01ACC5
81CB	01ACC6
81CC	01ACC7
81CD	01ACC9
81CE	01ACCA
81CF	01ACCB
81D0	01ACCD
81D1	01ACCE
81D2	01ACCF
81D3	01ACD0
81D4	01ACD1
81D5	01ACD2
81D6	01ACD3
81D7	01ACD4
81D8	01ACD6
81D9	01ACD8
81DA	01ACD9
81DB	01ACDA
81DC	01ACDB
81DD	01ACDC
81DE	01ACDD
81DF	01ACDE
81E0	01ACDF
81E1	01ACE2
81E2	01ACE3
81E3	01ACE5
81E4	01ACE6
81E5	01ACE9
81E6	01ACEB
81E7	01ACED
81E8	01ACEE
81E9	01ACF2
81EA	01ACF4
81EB	01ACF7
81EC	01ACF8
81ED	01ACF9
81EE	01ACFA
81EF	01ACFB
81F0	01ACFE
81F1	01ACFF
81F2	01AD01
81F3	01AD02
81F4	01AD03
81F5	01AD05
81F6	01AD07
81F7	01AD08
81F8	01AD09
81F9	01AD0A
81FA	01AD0B
81FB	01AD0E
81FC	01AD10
81FD	01AD12
81FE	01AD13
8241	01AD14
8242	01AD15
8243	01AD16
8244	01AD17
8245	01AD19
8246	01AD1A
8247	01AD1B
8248	01AD1D
8249	01AD1E
824A	01AD1F
824B	01AD21
824C	01AD22
824D	01AD23
824E	01AD24
824F	01AD25
8250	01AD26
8251	01AD27
8252	01AD28
8253	01AD2A
8254	01AD2B
8255	01AD2E
8256	01AD2F
8257	01AD30
8258	01AD31
8259	01AD32
825A	01AD33
8261	01AD36
8262	01AD37
8263	01AD39
8264	01AD3A
8265	01AD3B
8266	01AD3D
8267	01AD3E
8268	01AD3F
8269	01AD40
826A	01AD41
826B	01AD42
826C	01AD43
826D	01AD46
826E	01AD48
826F	01AD4A
8270	01AD4B
8271	01AD4C
8272	01AD4D
8273	01AD4E
8274	01AD4F
8275	01AD51
8276	01AD52
8277	01AD53
8278	01AD55
8279	01AD56
827A	01AD57
8281	01AD59
8282	01AD5A
8283	01AD5B
8284	01AD5C
8285	01AD5D
8286	01AD5E
8287	01AD5F
8288	01AD60
8289	01AD62
828A	01AD64
828B	01AD65
828C	01AD66
828D	01AD67
828E	01AD68
828F	01AD69
8290	01AD6A
8291	01AD6B
8292	01AD6E
8293	01AD6F
8294	01AD71
8295	01AD72
8296	01AD77
8297	01AD78
8298	01AD79
8299	01AD7A
829A	01AD7E
829B	01AD80
829C	01AD83
829D	01AD84
829E	01AD85
829F	01AD86
82A0	01AD87
82A1	01AD8A
82A2	01AD8B
82A3	01AD8D
82A4	01AD8E
82A5	01AD8F
82A6	01AD91
82A7	01AD92
82A8	01AD93
82A9	01AD94
82AA	01AD95
82AB	01AD96
82AC	01AD97
82AD	01AD98
82AE	01AD99
82AF	01AD9A
82B0	01AD9B
82B1	01AD9E
82B2	01AD9F
82B3	01ADA0
82B4	01ADA1
82B5	01ADA2
82B6	01ADA3
82B7	01ADA5
82B8	01ADA6
82B9	01ADA7
82BA	01ADA8
82BB	01ADA9
82BC	01ADAA
82BD	01ADAB
82BE	01ADAC
82BF	01ADAD
82C0	01ADAE
82C1	01ADAF
82C2	01ADB0
82C3	01ADB1
82C4	01ADB2
82C5	01ADB3
82C6	01ADB4
82C7	01ADB5
82C8	01ADB6
82C9	01ADB8
82CA	01ADB9
82CB	01ADBA
82CC	01ADBB
82CD	01ADBC
82CE	01ADBD
82CF	01ADBE
82D0	01ADBF
82D1	01ADC2
82D2	01ADC3
82D3	01ADC5
82D4	01ADC6
82D5	01ADC7
82D6	01ADC9
82D7	01ADCA
82D8	01ADCB
82D9	01ADCC
82DA	01ADCD
82DB	01ADCE
82DC	01ADCF
82DD	01ADD2
82DE	01ADD4
82DF	01ADD5
82E0	01ADD6
82E1	01ADD7
82E2	01ADD8
82E3	01ADD9
82E4	01ADDA
82E5	01ADDB
82E6	01ADDD
82E7	01ADDE
82E8	01ADDF
82E9	01ADE1
82EA	01ADE2
82EB	01ADE3
82EC	01ADE5
82ED	01ADE6
82EE	01ADE7
82EF	01ADE8
82F0	01ADE9
82F1	01ADEA
82F2	01ADEB
82F3	01ADEC
82F4	01ADED
82F5	01ADEE
82F6	01ADEF
82F7	01ADF0
82F8	01ADF1
82F9	01ADF2
82FA	01ADF3
82FB	01ADF4
82FC	01ADF5
82FD	01ADF6
82FE	01ADF7
8341	01ADFA
8342	01ADFB
8343	01ADFD
8344	01ADFE
8345	01AE02
8346	01AE03
8347	01AE04
8348	01AE05
8349	01AE06
834A	01AE07
834B	01AE0A
834C	01AE0C
834D	01AE0E
834E	01AE0F
834F	01AE10
8350	01AE11
8351	01AE12
8352	01AE13
8353	01AE15
8354	01AE16
8355	01AE17
8356	01AE18
8357	01AE19
8358	01AE1A
8359	01AE1B
835A	01AE1C
8361	01AE1D
8362	01AE1E
8363	01AE1F
8364	01AE20
8365	01AE21
8366	01AE22
8367	01AE23
8368	01AE24
8369	01AE25
836A	01AE26
836B	01AE27
836C	01AE28
836D	01AE29
836E	01AE2A
836F	01AE2B
8370	01AE2C
8371	01AE2D
8372	01AE2E
8373	01AE2F
8374	01AE32
8375	01AE33
8376	01AE35
8377	01AE36
8378	01AE39
8379	01AE3B
837A	01AE3C
8381	01AE3D
8382	01AE3E
8383	01AE3F
8384	01AE42
8385	01AE44
8386	01AE47
8387	01AE48
8388	01AE49
8389	01AE4B
838A	01AE4F
838B	01AE51
838C	01AE52
838D	01AE53
838E	01AE55
838F	01AE57
8390	01AE58
8391	01AE59
8392	01AE5A
8393	01AE5B
8394	01AE5E
8395	01AE62
8396	01AE63
8397	01AE64
8398	01AE66
8399	01AE67
839A	01AE6A
839B	01AE6B
839C	01AE6D
839D	01AE6E
839E	01AE6F
839F	01AE71
83A0	01AE72
83A1	01AE73
83A2	01AE74
83A3	01AE75
83A4	01AE76
83A5	01AE77
83A6	01AE7A
83A7	01AE7E
83A8	01AE7F
83A9	01AE80
83AA	01AE81
83AB	01AE82
83AC	01AE83
83AD	01AE86
83AE	01AE87
83AF	01AE88
83B0	01AE89
83B1	01AE8A
83B2	01AE8B
83B3	01AE8D
83B4	01AE8E
83B5	01AE8F
83B6	01AE90
83B7	01AE91
83B8	01AE92
83B9	01AE93
83BA	01AE94
83BB	01AE95
83BC	01AE96
83BD	01AE97
83BE	01AE98
83BF	01AE99
83C0	01AE9A
83C1	01AE9B
83C2	01AE9C
83C3	01AE9D
83C4	01AE9E
83C5	01AE9F
83C6	01AEA0
83C7	01AEA1
83C8	01AEA2
83C9	01AEA3
83CA	01AEA4
83CB	01AEA5
83CC	01AEA6
83CD	01AEA7
83CE	01AEA8
83CF	01AEA9
83D0	01AEAA
83D1	01AEAB
83D2	01AEAC
83D3	01AEAD
83D4	01AEAE
83D5	01AEAF
83D6	01AEB0
83D7	01AEB1
83D8	01AEB2
83D9	01AEB3
83DA	01AEB4
83DB	01AEB5
83DC	01AEB6
83DD	01AEB7
83DE	01AEB8
83DF	01AEB9
83E0	01AEBA
83E1	01AEBB
83E2	01AEBF
83E3	01AEC1
83E4	01AEC2
83E5	01AEC3
83E6	01AEC5
83E7	01AEC6
83E8	01AEC7
83E9	01AEC8
83EA	01AEC9
83EB	01AECA
83EC	01AECB
83ED	01AECE
83EE	01AED2
83EF	01AED3
83F0	01AED4
83F1	01AED5
83F2	01AED6
83F3	01AED7
83F4	01AEDA
83F5	01AEDB
83F6	01AEDD
83F7	01AEDE
83F8	01AEDF
83F9	01AEE0
83FA	01AEE1
83FB	01AEE2
83FC	01AEE3
83FD	01AEE4
83FE	01AEE5
8441	01AEE6
8442	01AEE7
8443	01AEE9
8444	01AEEA
8445	01AEEC
8446	01AEEE
8447	01AEEF
8448	01AEF0
8449	01AEF1
844A	01AEF2
844B	01AEF3
844C	01AEF5
844D	01AEF6
844E	01AEF7
844F	01AEF9
8450	01AEFA
8451	01AEFB
8452	01AEFD
8453	01AEFE
8454	01AEFF
8455	01AF00
8456	01AF01
8457	01AF02
8458	01AF03
8459	01AF04
845A	01AF05
8461	01AF06
8462	01AF09
8463	01AF0A
8464	01AF0B
8465	01AF0C
8466	01AF0E
8467	01AF0F
8468	01AF11
8469	01AF12
846A	01AF13
846B	01AF14
846C	01AF15
846D	01AF16
846E	01AF17
846F	01AF18
8470	01AF19
8471	01AF1A
8472	01AF1B
8473	01AF1C
8474	01AF1D
8475	01AF1E
8476	01AF1F
8477	01AF20
8478	01AF21
8479	01AF22
847A	01AF23
8481	01AF24
8482	01AF25
8483	01AF26
8484	01AF27
8485	01AF28
8486	01AF29
8487	01AF2A
8488	01AF2B
8489	01AF2E
848A	01AF2F
848B	01AF31
848C	01AF33
848D	01AF35
848E	01AF36
848F	01AF37
8490	01AF38
8491	01AF39
8492	01AF3A
8493	01AF3B
8494	01AF3E
8495	01AF40
8496	01AF44
8497	01AF45
8498	01AF46
8499	01AF47
849A	01AF4A
849B	01AF4B
849C	01AF4C
849D	01AF4D
849E	01AF4E
849F	01AF4F
84A0	01AF51
84A1	01AF52
84A2	01AF53
84A3	01AF54
