#data source: http://glyph.iso10646hk.net/download/GB2312.TXT
2121	013000
2122	013001
2123	013002
2124	0130FB
2125	0102C9
2126	0102C7
2127	0100A8
2128	013003
2129	013005
212A	012015
212B	01FF5E
212C	012016
212D	012026
212E	012018
212F	012019
2130	01201C
2131	01201D
2132	013014
2133	013015
2134	013008
2135	013009
2136	01300A
2137	01300B
2138	01300C
2139	01300D
213A	01300E
213B	01300F
213C	013016
213D	013017
213E	013010
213F	013011
2140	0100B1
2141	0100D7
2142	0100F7
2143	012236
2144	012227
2145	012228
2146	012211
2147	01220F
2148	01222A
2149	012229
214A	012208
214B	012237
214C	01221A
214D	0122A5
214E	012225
214F	012220
2150	012312
2151	012299
2152	01222B
2153	01222E
2154	012261
2155	01224C
2156	012248
2157	01223D
2158	01221D
2159	012260
215A	01226E
215B	01226F
215C	012264
215D	012265
215E	01221E
215F	012235
2160	012234
2161	012642
2162	012640
2163	0100B0
2164	012032
2165	012033
2166	012103
2167	01FF04
2168	0100A4
2169	01FFE0
216A	01FFE1
216B	012030
216C	0100A7
216D	012116
216E	012606
216F	012605
2170	0125CB
2171	0125CF
2172	0125CE
2173	0125C7
2174	0125C6
2175	0125A1
2176	0125A0
2177	0125B3
2178	0125B2
2179	01203B
217A	012192
217B	012190
217C	012191
217D	012193
217E	013013
2231	012488
2232	012489
2233	01248A
2234	01248B
2235	01248C
2236	01248D
2237	01248E
2238	01248F
2239	012490
223A	012491
223B	012492
223C	012493
223D	012494
223E	012495
223F	012496
2240	012497
2241	012498
2242	012499
2243	01249A
2244	01249B
2245	012474
2246	012475
2247	012476
2248	012477
2249	012478
224A	012479
224B	01247A
224C	01247B
224D	01247C
224E	01247D
224F	01247E
2250	01247F
2251	012480
2252	012481
2253	012482
2254	012483
2255	012484
2256	012485
2257	012486
2258	012487
2259	012460
225A	012461
225B	012462
225C	012463
225D	012464
225E	012465
225F	012466
2260	012467
2261	012468
2262	012469
2265	013220
2266	013221
2267	013222
2268	013223
2269	013224
226A	013225
226B	013226
226C	013227
226D	013228
226E	013229
2271	012160
2272	012161
2273	012162
2274	012163
2275	012164
2276	012165
2277	012166
2278	012167
2279	012168
227A	012169
227B	01216A
