# Source: http://www.opensource.apple.com/source/ICU/ICU-491.11.1/icuSources/data/mappings/ibm-937_P110-1999.ucm?txt
01	?0101
02	?0102
03	?0103
04	?019C
05	?0109
06	?0186
07	?017F
08	?0197
09	?018D
0A	?018E
0B	?010B
0C	?010C
0D	?010D
0E	?010E
0F	?010F
10	?0110
11	?0111
12	?0112
13	?0113
14	?019D
15	?0185
16	?0108
17	?0187
18	?0118
19	?0119
1A	?0192
1B	?018F
1C	?011C
1D	?011D
1E	?011E
1F	?011F
20	?0180
21	?0181
22	?0182
23	?0183
24	?0184
25	?010A
26	?0117
27	?011B
28	?0188
29	?0189
2A	?018A
2B	?018B
2C	?018C
2D	?0105
2E	?0106
2F	?0107
30	?0190
31	?0191
32	?0116
33	?0193
34	?0194
35	?0195
36	?0196
37	?0104
38	?0198
39	?0199
3A	?019A
3B	?019B
3C	?0114
3D	?0115
3E	?019E
3F	?011A
40	?0120
4040	013000
4141	0103B1
4142	0103B2
4143	0103B3
4144	0103B4
4145	0103B5
4146	0103B6
4147	0103B7
4148	0103B8
4149	0103B9
414A	0103BA
414B	0103BB
414C	0103BC
414D	0103BD
414E	0103BE
414F	0103BF
4150	0103C0
4151	0103C1
4152	0103C3
4153	0103C4
4154	0103C5
4155	0103C6
4156	0103C7
4157	0103C8
4158	0103C9
4161	010391
4162	010392
4163	010393
4164	010394
4165	010395
4166	010396
4167	010397
4168	010398
4169	010399
416A	01039A
416B	01039B
416C	01039C
416D	01039D
416E	01039E
416F	01039F
4170	0103A0
4171	0103A1
4172	0103A3
4173	0103A4
4174	0103A5
4175	0103A6
4176	0103A7
4177	0103A8
4178	0103A9
4180	010430
4181	010431
4182	010432
4183	010433
4184	010434
4185	010435
4186	010451
4187	010436
4188	010437
4189	010438
418A	010439
418B	01043A
418C	01043B
418D	01043C
418E	01043D
418F	01043E
4190	01043F
4191	010440
4192	010441
4193	010442
4194	010443
4195	010444
4196	010445
4197	010446
4198	010447
4199	010448
419A	010449
419B	01044A
419C	01044B
419D	01044C
419E	01044D
419F	01044E
41A0	01044F
41B1	012170
41B2	012171
41B3	012172
41B4	012173
41B5	012174
41B6	012175
41B7	012176
41B8	012177
41B9	012178
41BA	012179
41C0	010410
41C1	010411
41C2	010412
41C3	010413
41C4	010414
41C5	010415
41C6	010401
41C7	010416
41C8	010417
41C9	010418
41CA	010419
41CB	01041A
41CC	01041B
41CD	01041C
41CE	01041D
41CF	01041E
41D0	01041F
41D1	010420
41D2	010421
41D3	010422
41D4	010423
41D5	010424
41D6	010425
41D7	010426
41D8	010427
41D9	010428
41DA	010429
41DB	01042A
41DC	01042B
41DD	01042C
41DE	01042D
41DF	01042E
41E0	01042F
41F1	012160
41F2	012161
41F3	012162
41F4	012163
41F5	012164
41F6	012165
41F7	012166
41F8	012167
41F9	012168
41FA	012169
424A	01FFE1
424B	01FF0E
424C	01FF1C
424D	01FF08
424E	01FF0B
424F	012223
424F	01FF5C
4250	01FF06
425A	01FF01
425B	01FFE5
425C	01273D
425D	01FF09
425E	01FF1B
425F	01FFE2
4260	01FF0D
4261	01FF0F
426A	01FFE4
426B	01FF0C
426C	01FF05
426D	01FF3F
426E	01FF1E
426F	01FF1F
4279	012035
427A	01FF1A
427B	01FF03
427C	01FF20
427D	01FF07
427E	01FF1D
427F	01FF02
4281	01FF41
4282	01FF42
4283	01FF43
4284	01FF44
4285	01FF45
4286	01FF46
4287	01FF47
4288	01FF48
4289	01FF49
4291	01FF4A
4292	01FF4B
4293	01FF4C
4294	01FF4D
4295	01FF4E
4296	01FF4F
4297	01FF50
4298	01FF51
4299	01FF52
42A1	01203E
42A1	01AF
42A2	01FF53
42A3	01FF54
42A4	01FF55
42A5	01FF56
42A6	01FF57
42A7	01FF58
42A8	01FF59
42A9	01FF5A
42C0	01FF5B
42C1	01FF21
42C2	01FF22
42C3	01FF23
42C4	01FF24
42C5	01FF25
42C6	01FF26
42C7	01FF27
42C8	01FF28
42C9	01FF29
42D0	01FF5D
42D1	01FF2A
42D2	01FF2B
42D3	01FF2C
42D4	01FF2D
42D5	01FF2E
42D6	01FF2F
42D7	01FF30
42D8	01FF31
42D9	01FF32
42E0	01FF04
42E2	01FF33
42E3	01FF34
42E4	01FF35
42E5	01FF36
42E6	01FF37
42E7	01FF38
42E8	01FF39
42E9	01FF3A
42F0	01FF10
42F1	01FF11
42F2	01FF12
42F3	01FF13
42F4	01FF14
42F5	01FF15
42F6	01FF16
42F7	01FF17
42F8	01FF18
42F9	01FF19
4341	013002
4342	01300C
4343	01300D
4344	013001
4345	012027
4346	0130F2
4347	0130A1
4348	0130A3
4349	0130A5
434A	01FFE0
434D	012312
434E	012202
434F	012207
4351	0130A7
4352	0130A9
4353	0130E3
4354	0130E5
4355	0130E7
4356	0130C3
4357	0130EE
4358	0130FC
4359	0130F5
435A	0130F6
435D	01226A
435E	01226B
4360	01223D
4361	01221D
4363	01222C
4364	012208
4365	01220B
4366	012286
4367	012287
4368	012282
4369	012283
436C	012227
436D	012228
436E	0121D2
436F	0121D4
4370	012200
4371	012203
4372	01212B
4373	012030
4374	01266F
4375	01266D
4376	01266A
4377	012020
4378	012021
4379	01B6
437A	0125EF
4381	0130A2
4382	0130A4
4383	0130A6
4384	0130A8
4385	0130AA
4386	0130AB
4387	0130AD
4388	0130AF
4389	0130B1
438A	0130B3
438C	0130B5
438D	0130B7
438E	0130B9
438F	0130BB
4390	0130BD
4391	0130BF
4392	0130C1
4393	0130C4
4394	0130C6
4395	0130C8
4396	0130CA
4397	0130CB
4398	0130CC
4399	0130CD
439A	0130CE
439D	0130CF
439E	0130D2
439F	0130D5
43A1	01223C
43A1	01FF5E
43A2	0130D8
43A3	0130DB
43A4	0130DE
43A5	0130DF
43A6	0130E0
43A7	0130E1
43A8	0130E2
43A9	0130E4
43AA	0130E6
43AC	0130E8
43AD	0130E9
43AE	0130EA
43AF	0130EB
43B7	012501
43B8	012503
43B9	01250F
43BA	0130EC
43BB	0130ED
43BC	0130EF
43BD	0130F3
43BE	01309B
43BF	01309C
43C0	0130AC
43C1	0130AE
43C2	0130B0
43C3	0130B2
43C4	0130B4
43C5	0130B6
43C6	0130B8
43C7	0130BA
43C8	0130BC
43C9	0130BE
43CA	0130C0
43CB	0130C2
43CC	0130C5
43CD	0130C7
43CE	0130C9
43CF	0130D0
43D0	0130D3
43D1	0130D6
43D2	0130D9
43D3	0130DC
43D4	0130F4
43D5	0130D1
43D6	0130D4
43D7	0130D7
43D8	0130DA
43D9	0130DD
43DA	0130F0
43DB	0130F1
43DC	0130FD
43DD	0130FE
43E0	01FF3C
43E1	012513
43E2	01251B
43E3	012517
43E4	012523
43E5	012533
43E6	01252B
43E7	01253B
43E8	01254B
43E9	012520
43EA	01252F
43EB	012528
43EC	012537
43ED	01253F
43EE	01251D
43EF	012530
43F0	012525
43F1	012538
43F2	012542
4442	01300E
4443	01300F
4444	01FF3B
4445	01FF3D
4446	013092
4447	013041
4448	013043
4449	013045
444A	012013
444A	012014
444B	01B1
444C	012260
444D	01221E
444E	012103
4450	012032
4451	013047
4452	013049
4453	013083
4454	013085
4455	013087
4456	013063
4457	01308E
445A	012010
445B	0102BA
445C	01F83E
445D	013005
445E	013006
445F	013007
4460	01A8
4461	012018
4462	01201C
4463	013014
4464	013008
4465	01300A
4466	013010
4467	012266
4468	012234
4469	012642
446A	01A7
446B	01203B
446C	013012
446D	013231
446E	012116
446F	012121
4470	01FF3E
4471	012019
4472	01201D
4473	013015
4474	013009
4475	01300B
4476	013011
4477	012267
4478	012235
4479	012640
447A	01D7
447B	01F7
447C	012225
447D	013013
447E	012025
447F	012026
4481	013042
4482	013044
4483	013046
4484	013048
4485	01304A
4486	01304B
4487	01304D
4488	01304F
4489	013051
448A	013053
448C	013055
448D	013057
448E	013059
448F	01305B
4490	01305D
4491	01305F
4492	013061
4493	013064
4494	013066
4495	013068
4496	01306A
4497	01306B
4498	01306C
4499	01306D
449A	01306E
449D	01306F
449E	013072
449F	013075
44A2	013078
44A3	01307B
44A4	01307E
44A5	01307F
44A6	013080
44A7	013081
44A8	013082
44A9	013084
44AA	013086
44AC	013088
44AD	013089
44AE	01308A
44AF	01308B
44BA	01308C
44BB	01308D
44BC	01308F
44BD	013093
44C0	01304C
44C1	01304E
44C2	013050
44C3	013052
44C4	013054
44C5	013056
44C6	013058
44C7	01305A
44C8	01305C
44C9	01305E
44CA	013060
44CB	013062
44CC	013065
44CD	013067
44CE	013069
44CF	013070
44D0	013073
44D1	013076
44D2	013079
44D3	01307C
44D5	013071
44D6	013074
44D7	013077
44D8	01307A
44D9	01307D
44DA	013090
44DB	013091
44DC	01309D
44DD	01309E
44E0	0125CB
44E1	0125CF
44E2	0125B3
44E3	0125B2
44E4	0125CE
44E5	012606
44E6	012605
44E7	0125C7
44E8	0125C6
44E9	0125A1
44EA	0125A0
44EB	0125BD
44EC	0125BC
44ED	01B0
44EE	01B4
44EF	012033
44F0	012192
44F1	012190
44F2	012191
44F3	012193
4541	013021
4542	013022
4543	013023
4544	013024
4545	013025
4546	013026
4547	013027
4548	013028
4549	013029
454A	015341
454B	015344
454C	015345
4551	0102C9
4552	0102CA
4553	0102C7
4554	0102CB
4555	0102D9
4556	013105
4557	013106
4558	013107
4559	013108
455A	013109
455B	01310A
455C	01310B
455D	01310C
455E	01310D
455F	01310E
4560	01310F
4561	013110
4562	013111
4563	013112
4564	013113
4565	013114
4566	013115
4567	013116
4568	013117
4569	013118
456A	013119
456B	01311A
456C	01311B
456D	01311C
456E	01311D
456F	01311E
4570	01311F
4571	013120
4572	013121
4573	013122
4574	013123
4575	013124
4576	013125
4577	013126
4578	013127
4579	013128
457A	013129
4641	012460
4642	012461
4643	012462
4644	012463
4645	012464
4646	012465
4647	012466
4648	012467
4649	012468
464A	012469
4651	012474
4652	012475
4653	012476
4654	012477
4655	012478
4656	012479
4657	01247A
4658	01247B
4659	01247C
465A	01247D
4660	012581
4661	012582
4662	012583
4663	012584
4664	012585
4665	012586
4666	012587
4667	012588
4668	01258F
4669	01258E
466A	01258D
466B	01258C
466C	01258B
466D	01258A
466E	012589
466F	01253C
4670	012534
4671	01252C
4672	012524
4673	01251C
4674	012594
4675	012500
4676	012502
4677	012595
4678	01250C
4679	012510
467A	012514
467B	012518
467C	01256D
467D	01256E
467E	012570
467F	01256F
4681	012550
4682	01255E
4683	01256A
4684	012561
4685	0125E2
4686	0125E3
4687	0125E5
4688	0125E4
4689	012571
468A	012572
468B	012573
46A0	01FE41
46A1	01FE42
46A2	01FE43
46A3	01FE44
46A4	01FE3B
46A5	01FE3C
46A7	01FE31
46A8	01F83F
46A9	01F840
46AA	01F841
46AB	01F842
46AC	01FE35
46AD	01FE36
46AE	01FE37
46AF	01FE38
46B0	01FE39
46B1	01FE3A
46B2	01FE3D
46B3	01FE3E
46B4	01FE3F
46B5	01FE40
46B6	01FE33
46B7	012574
46B8	01FF0A
46B9	013003
46BA	0132A3
46BB	012105
46BC	01FE34
46BD	01FE4F
46BE	01FE49
46BF	01FE4A
46C0	01FE4D
46C1	01FE4E
46C2	01FE4B
46C3	01FE4C
46C4	01FE61
46C5	01221A
46C6	012252
46C7	012261
46C8	012229
46C9	01222A
46CA	0122A5
46CB	012220
46CC	01221F
46CD	0122BF
46CE	0133D2
46CF	0133D1
46D0	01222B
46D1	01222E
46D2	012295
46D3	012299
46D4	012196
46D5	012197
46D6	012199
46D7	012198
46DA	012215
46DB	012109
46DC	0133D5
46DD	01339C
46DE	01339D
46DF	01339E
46E0	0133CE
46E1	0133A1
46E2	01338E
46E3	01338F
46E4	0133C4
46E5	01B7
46E9	01301D
46EA	01301E
46EE	0121E7
46EF	0121B8
46F0	0121B9
46F1	015159
46F2	01515B
46F3	01515E
46F4	01515D
46F5	015161
46F6	015163
46F7	0155E7
46F8	0174E9
46F9	017CCE
4741	01FE30
4742	01FE50
4743	01FE51
4744	01FE52
4745	01FE54
4746	01FE55
4747	01FE56
4748	01FE57
4749	01FE32
474A	01FE58
474B	01FE59
474C	01FE5A
474D	01FE5B
474E	01FE5C
474F	01FE5D
4750	01FE5E
4751	01FFE3
4752	0102CD
4753	01FE5F
4754	01FE60
4755	01FE62
4756	01FE63
4757	01FE64
4758	01FE65
4759	01FE66
475A	01FE68
475B	01FE69
475C	01FE6A
475D	01FE6B
4781	012400
4782	012401
4783	012402
4784	012403
4785	012404
4786	012405
4787	012406
4788	012407
4789	012408
478A	012409
478B	01240A
478C	01240B
478D	01240C
478E	01240D
478F	01240E
4790	01240F
4791	012410
4792	012411
4793	012412
4794	012413
4795	012414
4796	012415
4797	012416
4798	012417
4799	012418
479A	012419
