#Made from http://www.moztw.org/docs/big5/table/moz18-b2u.txt
# Family: Big5
8140 014E17
8141 014E22
8142 014E2C
8143 014E55
8144 014E62
8145 014E8A
8146 014EB0
8147 014EEB
8148 014EED
8149 014EFC
814A 014F1C
814B 014F8A
814C 014FFF
814D 015042
814E 015050
814F 015078
8150 0150D8
8151 0150DE
8152 0150F4
8153 015116
8154 01514A
8155 015151
8156 015164
8157 01516A
8158 015185
8159 015190
815A 01519D
815B 0151A6
815C 0151A8
815D 0151A9
815E 0151C7
815F 0151D6
8160 0151DB
8161 0151EC
8162 0151FC
8163 01520B
8164 015214
8165 015215
8166 015220
8167 01522B
8168 015239
8169 01524F
816A 015271
816B 015290
816C 015292
816D 015294
816E 01529C
816F 0152AF
8170 0152B5
8171 0152D0
8172 015300
8173 015307
8174 015324
8175 015346
8176 01535F
8177 015393
8178 0153B0
8179 0153DD
817A 015423
817B 015450
817C 015451
817D 01548A
817E 01549D
81A1 0154A3
81A2 0154B4
81A3 0154D0
81A4 015523
81A5 01553F
81A6 01554C
81A7 015553
81A8 01555D
81A9 01556C
81AA 01559E
81AB 0155A9
81AC 0155EC
81AD 0155F5
81AE 015623
81AF 015650
81B0 01567C
81B1 01568A
81B2 015694
81B3 0156A0
81B4 0156AF
81B5 0156D8
81B6 015700
81B7 015759
81B8 015765
81B9 01577F
81BA 015785
81BB 015789
81BC 0157A1
81BD 0157AC
81BE 0157B4
81BF 0157C0
81C0 0157C8
81C1 0157D3
81C2 0157EF
81C3 015844
81C4 01586C
81C5 015892
81C6 01589A
81C7 0158B2
81C8 0158B8
81C9 0158E5
81CA 0158FB
81CB 015902
81CC 01590B
81CD 015910
81CE 015918
81CF 01591B
81D0 01748C
81D1 01748D
81D2 017499
81D3 01749B
81D4 0174A4
81D5 0174B4
81D6 0174B9
81D7 0174C8
81D8 0174CC
81D9 0174D0
81DA 0174D3
81DB 017542
81DC 017555
81DD 01756E
81DE 01758D
81DF 01759E
81E0 0175DC
81E1 01762C
81E2 01764F
81E3 017651
81E4 017673
81E5 017674
81E6 0176A5
81E7 0176D9
81E8 01770E
81E9 01770F
81EA 017758
81EB 017772
81EC 017777
81ED 017778
81EE 01777A
81EF 01777B
81F0 017798
81F1 0177AF
81F2 0177BE
81F3 0177C3
81F4 0177C5
81F5 0177CB
81F6 0177DD
81F7 0177E6
81F8 0177F4
81F9 01781E
81FA 01783D
81FB 017842
81FC 017844
81FD 01784B
81FE 017851
8240 015516
8241 0158F7
8242 019834
8243 01845B
8244 017114
8245 018276
8246 018956
8247 019D2C
8248 019D0E
8249 018EAF
824A 016062
824B 016666
824C 0186CE
824D 0164B9
824E 01938C
824F 01565B
