# http://unicode.org/Public/MAPPINGS/OBSOLETE/EASTASIA/JIS/SHIFTJIS.TXT
# Language:     Japanese
# Family:       Shift-JIS
#
8140	013000
8141	013001
8142	013002
8143	01FF0C
8144	01FF0E
8145	0130FB
8146	01FF1A
8147	01FF1B
8148	01FF1F
8149	01FF01
814A	01309B
814B	01309C
814C	01B4
814D	01FF40
814E	01A8
814F	01FF3E
8150	01FFE3
8151	01FF3F
8152	0130FD
8153	0130FE
8154	01309D
8155	01309E
8156	013003
8157	014EDD
8158	013005
8159	013006
815A	013007
815B	0130FC
815C	012015
815D	012010
815E	01FF0F
815F	015C
8160	01301C
8161	012016
8162	01FF5C
8163	012026
8164	012025
8165	012018
8166	012019
8167	01201C
8168	01201D
8169	01FF08
816A	01FF09
816B	013014
816C	013015
816D	01FF3B
816E	01FF3D
816F	01FF5B
8170	01FF5D
8171	013008
8172	013009
8173	01300A
8174	01300B
8175	01300C
8176	01300D
8177	01300E
8178	01300F
8179	013010
817A	013011
817B	01FF0B
817C	012212
817D	01B1
817E	01D7
8180	01F7
8181	01FF1D
8182	012260
8183	01FF1C
8184	01FF1E
8185	012266
8186	012267
8187	01221E
8188	012234
8189	012642
818A	012640
818B	01B0
818C	012032
818D	012033
818E	012103
818F	01FFE5
8190	01FF04
8191	01A2
8192	01A3
8193	01FF05
8194	01FF03
8195	01FF06
8196	01FF0A
8197	01FF20
8198	01A7
8199	012606
819A	012605
819B	0125CB
819C	0125CF
819D	0125CE
819E	0125C7
819F	0125C6
81A0	0125A1
81A1	0125A0
81A2	0125B3
81A3	0125B2
81A4	0125BD
81A5	0125BC
81A6	01203B
81A7	013012
81A8	012192
81A9	012190
81AA	012191
81AB	012193
81AC	013013
81B8	012208
81B9	01220B
81BA	012286
81BB	012287
81BC	012282
81BD	012283
81BE	01222A
81BF	012229
81C8	012227
81C9	012228
81CA	01AC
81CB	0121D2
81CC	0121D4
81CD	012200
81CE	012203
81DA	012220
81DB	0122A5
81DC	012312
81DD	012202
81DE	012207
81DF	012261
81E0	012252
81E1	01226A
81E2	01226B
81E3	01221A
81E4	01223D
81E5	01221D
81E6	012235
81E7	01222B
81E8	01222C
81F0	01212B
81F1	012030
81F2	01266F
81F3	01266D
81F4	01266A
81F5	012020
81F6	012021
81F7	01B6
81FC	0125EF
824F	01FF10
8250	01FF11
8251	01FF12
8252	01FF13
8253	01FF14
8254	01FF15
8255	01FF16
8256	01FF17
8257	01FF18
8258	01FF19
8260	01FF21
8261	01FF22
8262	01FF23
8263	01FF24
8264	01FF25
8265	01FF26
8266	01FF27
8267	01FF28
8268	01FF29
8269	01FF2A
826A	01FF2B
826B	01FF2C
826C	01FF2D
826D	01FF2E
826E	01FF2F
826F	01FF30
8270	01FF31
8271	01FF32
8272	01FF33
8273	01FF34
8274	01FF35
8275	01FF36
8276	01FF37
8277	01FF38
8278	01FF39
8279	01FF3A
8281	01FF41
8282	01FF42
8283	01FF43
8284	01FF44
8285	01FF45
8286	01FF46
8287	01FF47
8288	01FF48
8289	01FF49
828A	01FF4A
828B	01FF4B
828C	01FF4C
828D	01FF4D
828E	01FF4E
