8140	017E27
8141	017E26
8142	01806E
8143	0181AF
8144	0181AD
8145	0181AA
8146	018218
8147	01856F
8148	01854C
8149	018542
814A	01855C
814B	018570
814C	01855F
814D	01855A
814E	01854B
814F	01853F
8150	01878A
8151	01878B
8152	0187A1
8153	01878E
8154	018799
8155	01885E
8156	01885F
8157	018924
8158	0189A7
8159	018AEA
815A	018AFD
815B	018AF9
815C	018AE3
815D	018AE5
815E	018AEC
815F	018CF2
8160	018CEF
8161	018DA6
8162	018E3B
8163	018E43
8164	018E32
8165	018F31
8166	018F30
8167	018F2D
8168	018F3C
8169	018FA7
816A	018FA5
816B	019137
816C	019195
816D	01918E
816E	019196
816F	019345
8170	01930A
8171	0192FD
8172	019317
8173	01931C
8174	019307
8175	019331
8176	019332
8177	01932C
8178	019330
8179	019303
817A	019305
817B	0195C2
817C	0195B8
817D	0195C1
817E	0196AB
81A1	0196B7
81A2	019715
81A3	019714
81A4	01970C
81A5	019717
81A6	019793
81A7	0197D2
81A8	019836
81A9	019831
81AA	019833
81AB	01983C
81AC	01982E
81AD	01983A
81AE	01983D
81AF	0198B5
81B0	019922
81B1	019923
81B2	019920
81B3	01991C
81B4	01991D
81B5	0199A0
81B6	0199EF
81B7	0199E8
81B8	0199EB
81B9	0199E1
81BA	0199E6
81BB	019AF8
81BC	019AF5
81BD	019B83
81BE	019B94
81BF	019B84
81C0	019B8B
81C1	019B8F
81C2	019B8C
81C3	019B89
81C4	019B8E
81C5	019D24
81C6	019D0F
81C7	019D13
81C8	019D0A
81C9	019D2A
81CA	019D1A
81CB	019D27
81CC	019D16
81CD	019D21
81CE	019E85
81CF	019EAC
81D0	019EC6
81D1	019EC5
81D2	019ED7
81D3	019F53
81D4	015128
81D5	015127
81D6	0151DF
81D7	015335
81D8	0153B3
81D9	01568A
81DA	01567D
81DB	015689
81DC	0158CD
81DD	0158D0
81DE	015B2B
81DF	015B33
81E0	015B29
81E1	015B35
81E2	015B31
81E3	015B37
81E4	015C36
81E5	015DBE
81E6	015DB9
81E7	015DBB
81E8	0161E2
81E9	0161DB
81EA	0161DD
81EB	0161DC
81EC	0161DA
81ED	0161D9
81EE	0164DF
81EF	0164E1
81F0	0164EE
81F1	0165B5
81F2	0166D4
81F3	0166D5
81F4	0166D0
81F5	0166D1
81F6	0166CE
81F7	0166D7
81F8	016A7D
81F9	016A8A
81FA	016AA7
81FB	016A99
81FC	016A82
81FD	016A88
81FE	016A86
8240	016A98
8241	016A9D
8242	016A8F
8243	016AAA
8244	016B5D
8245	016C0A
8246	016FD7
8247	016FD6
8248	016FE5
8249	016FD9
824A	016FDA
824B	016FEA
824C	016FF6
824D	0171E3
824E	0171E9
824F	0171EB
8250	0171EF
8251	0171F3
8252	0171EA
8253	017371
8254	0174AE
8255	0174B3
8256	0174AC
8257	017583
8258	017645
8259	01764E
825A	017644
825B	0176A3
825C	0176A5
825D	0177A6
825E	0177A4
825F	0177A9
8260	0177AF
8261	0178F0
8262	0178F8
8263	0178F1
8264	017A49
8265	017AC2
8266	017AF2
8267	017AF3
8268	017BFA
8269	017BF6
826A	017BFC
826B	017C18
826C	017C08
826D	017C12
826E	017CDB
826F	017CDA
8270	017E2C
8271	017E4D
8272	017F46
8273	017FF6
8274	01802B
8275	018074
8276	0181B8
8277	0181C8
8278	018592
8279	018593
827A	01857F
827B	0185AB
827C	018597
827D	0185AC
827E	0187CE
82A1	0187CD
82A2	0187C1
82A3	0187B1
82A4	0187C7
82A5	018940
82A6	01893F
82A7	018939
82A8	018943
82A9	0189AB
82AA	018B1F
82AB	018B09
82AC	018B0C
82AD	018C40
82AE	018C96
82AF	018CF6
82B0	018CF7
82B1	018E46
82B2	018E4F
82B3	018F3D
82B4	018F41
82B5	019366
82B6	019378
82B7	01935D
82B8	019369
82B9	019374
82BA	01937D
82BB	01936E
82BC	019372
82BD	019373
82BE	019362
82BF	019348
82C0	019353
82C1	01935F
82C2	019368
82C3	01937F
82C4	01936B
82C5	0195C4
82C6	0196AF
82C7	0196AD
82C8	0196B2
82C9	01971A
82CA	01971B
82CB	01979B
82CC	01979F
82CD	019840
82CE	019847
82CF	0198B7
82D0	0199A2
82D1	019A00
82D2	0199F3
82D3	0199F5
82D4	019ABD
82D5	019B00
82D6	019B02
82D7	019B34
82D8	019B49
82D9	019B9F
82DA	019BA3
82DB	019BCD
82DC	019B99
82DD	019B9D
82DE	019D39
82DF	019D44
82E0	019D35
82E1	019EAF
82E2	01512F
82E3	019F8E
82E4	01569F
82E5	01569B
82E6	01569E
82E7	015696
82E8	015694
82E9	0156A0
82EA	015B3B
82EB	015B3A
82EC	015DC1
82ED	015F4D
82EE	015F5D
82EF	0161F3
82F0	0164F6
82F1	0164E5
82F2	0164EA
82F3	0164E7
82F4	016505
82F5	0164F9
82F6	016AAB
82F7	016AED
82F8	016AB2
82F9	016AB0
82FA	016AB5
82FB	016ABE
82FC	016AC1
82FD	016AC8
82FE	016AC0
8340	016ABC
8341	016AB1
8342	016AC4
8343	016ABF
8344	017008
8345	017003
8346	016FFD
8347	017010
8348	017002
8349	017013
834A	0171FA
834B	017200
834C	0174B9
834D	0174BC
834E	01765B
834F	017651
8350	01764F
8351	0176EB
8352	0177B8
8353	0177B9
8354	0177C1
8355	0177C0
8356	0177BE
8357	01790B
8358	017907
8359	01790A
835A	017908
835B	01790D
835C	017906
835D	017915
835E	0179AF
835F	017AF5
8360	017C2E
8361	017C1B
8362	017C1A
8363	017C24
8364	017CE6
8365	017CE3
8366	017E5D
8367	017E4F
8368	017E66
8369	017E5B
836A	017F47
836B	017FB4
836C	017FFA
836D	01802E
836E	0181CE
836F	018219
8370	0185CC
8371	0185B2
8372	0185BB
8373	0185C1
8374	0187E9
8375	0187EE
8376	0187F0
8377	0187D6
8378	01880E
8379	0187DA
837A	018948
837B	01894A
837C	01894E
837D	01894D
837E	0189B1
83A1	0189B0
83A2	0189B3
83A3	018B38
83A4	018B32
83A5	018B2D
83A6	018B34
83A7	018B29
83A8	018C74
83A9	018D03
83AA	018DA9
83AB	018E58
83AC	018EBF
83AD	018EC1
83AE	018F4A
83AF	018FAC
83B0	019089
83B1	01913D
83B2	01913C
83B3	0191A9
83B4	0193A0
83B5	019390
83B6	019393
83B7	01938B
83B8	0193AD
83B9	0193BB
83BA	0193B8
83BB	01939C
83BC	0195D8
83BD	0195D7
83BE	01975D
83BF	0197A9
83C0	0197DA
83C1	019854
83C2	019855
83C3	01984B
83C4	01983F
83C5	0198B9
83C6	019938
83C7	019936
83C8	019940
83C9	01993B
83CA	019939
83CB	0199A4
83CC	019A08
83CD	019A0C
83CE	019A10
83CF	019B07
83D0	019BD2
83D1	019BC2
83D2	019BBB
83D3	019BCC
83D4	019BCB
83D5	019D4D
83D6	019D63
83D7	019D4E
83D8	019D50
83D9	019D55
83DA	019D5E
83DB	019E90
83DC	019EB2
83DD	019EB1
83DE	019ECA
83DF	019F02
83E0	019F27
83E1	019F26
83E2	0156AF
83E3	0158E0
83E4	0158DC
83E5	015B39
83E6	015B7C
83E7	015BF3
83E8	015C6B
83E9	015DC4
83EA	01650B
83EB	016508
83EC	01650A
83ED	0165DC
83EE	0166E1
83EF	0166DF
83F0	016ACE
83F1	016AD4
83F2	016AE3
83F3	016AD7
83F4	016AE2
83F5	016AD8
83F6	016AD5
83F7	016AD2
83F8	01701E
83F9	01702C
83FA	017025
83FB	016FF3
83FC	017204
83FD	017208
83FE	017215
8440	0174C4
8441	0174C9
8442	0174C7
8443	0174C8
8444	0176A9
8445	0177C6
8446	0177C5
8447	017918
8448	01791A
8449	017920
844A	017A66
844B	017A64
844C	017A6A
844D	017C35
844E	017C34
844F	017E6C
8450	017E6E
8451	017E71
8452	0181D4
8453	0181D6
8454	01821A
8455	018262
8456	018265
8457	018276
8458	0185DB
8459	0185D6
845A	0185E7
845B	0185F4
845C	0187FD
845D	0187D5
845E	018807
845F	01880F
8460	0187F8
8461	018987
8462	0189B5
8463	0189F5
8464	018B3F
8465	018B43
8466	018B4C
8467	018D0B
8468	018E6B
8469	018E68
846A	018E70
846B	018E75
846C	018E77
846D	018EC3
846E	0193E9
846F	0193EA
8470	0193CB
8471	0193C5
8472	0193C6
8473	0193ED
8474	0193D3
8475	0193E5
8476	0193DB
8477	0193EB
8478	0193E0
8479	0193C1
847A	0195DD
847B	0197B2
847C	0197B4
847D	0197B1
