# http://unicode.org/Public/MAPPINGS/VENDORS/MICSFT/WINDOWS/CP1251.TXT
80	010402
81	010403
82	01201A
83	010453
84	01201E
85	012026
86	012020
87	012021
88	0120AC
89	012030
8A	010409
8B	012039
8C	01040A
8D	01040C
8E	01040B
8F	01040F
90	010452
91	012018
92	012019
93	01201C
94	01201D
95	012022
96	012013
97	012014
99	012122
9A	010459
9B	01203A
9C	01045A
9D	01045C
9E	01045B
9F	01045F
A0	01A0
A1	01040E
A2	01045E
A3	010408
A4	01A4
A5	010490
A6	01A6
A7	01A7
A8	010401
A9	01A9
AA	010404
AB	01AB
AC	01AC
AD	01AD
AE	01AE
AF	010407
B0	01B0
B1	01B1
B2	010406
B3	010456
B4	010491
B5	01B5
B6	01B6
B7	01B7
B8	010451
B9	012116
BA	010454
BB	01BB
BC	010458
BD	010405
BE	010455
BF	010457
C0	010410
C1	010411
C2	010412
C3	010413
C4	010414
C5	010415
C6	010416
C7	010417
C8	010418
C9	010419
CA	01041A
CB	01041B
CC	01041C
CD	01041D
CE	01041E
CF	01041F
D0	010420
D1	010421
D2	010422
D3	010423
D4	010424
D5	010425
D6	010426
D7	010427
D8	010428
D9	010429
DA	01042A
DB	01042B
DC	01042C
DD	01042D
DE	01042E
DF	01042F
E0	010430
E1	010431
E2	010432
E3	010433
E4	010434
E5	010435
E6	010436
E7	010437
E8	010438
E9	010439
EA	01043A
EB	01043B
EC	01043C
ED	01043D
EE	01043E
EF	01043F
F0	010440
F1	010441
F2	010442
F3	010443
F4	010444
F5	010445
F6	010446
F7	010447
F8	010448
F9	010449
FA	01044A
FB	01044B
FC	01044C
FD	01044D
FE	01044E
FF	01044F
