#http://unicode.org/Public/MAPPINGS/VENDORS/MICSFT/WINDOWS/CP874.TXT
80	0120AC
85	012026
91	012018
92	012019
93	01201C
94	01201D
95	012022
96	012013
97	012014
A0	0100A0
A1	010E01
A2	010E02
A3	010E03
A4	010E04
A5	010E05
A6	010E06
A7	010E07
A8	010E08
A9	010E09
AA	010E0A
AB	010E0B
AC	010E0C
AD	010E0D
AE	010E0E
AF	010E0F
B0	010E10
B1	010E11
B2	010E12
B3	010E13
B4	010E14
B5	010E15
B6	010E16
B7	010E17
B8	010E18
B9	010E19
BA	010E1A
BB	010E1B
BC	010E1C
BD	010E1D
BE	010E1E
BF	010E1F
C0	010E20
C1	010E21
C2	010E22
C3	010E23
C4	010E24
C5	010E25
C6	010E26
C7	010E27
C8	010E28
C9	010E29
CA	010E2A
CB	010E2B
CC	010E2C
CD	010E2D
CE	010E2E
CF	010E2F
D0	010E30
D1	010E31
D2	010E32
D3	010E33
D4	010E34
D5	010E35
D6	010E36
D7	010E37
D8	010E38
D9	010E39
DA	010E3A
DF	010E3F
E0	010E40
E1	010E41
E2	010E42
E3	010E43
E4	010E44
E5	010E45
E6	010E46
E7	010E47
E8	010E48
E9	010E49
EA	010E4A
EB	010E4B
EC	010E4C
ED	010E4D
EE	010E4E
EF	010E4F
F0	010E50
F1	010E51
F2	010E52
F3	010E53
F4	010E54
F5	010E55
F6	010E56
F7	010E57
F8	010E58
F9	010E59
FA	010E5A
FB	010E5B
