8130*		?8130
81308130	0180
81308131	0181
81308132	0182
81308133	0183
81308134	0184
81308135	0185
81308136	0186
81308137	0187
81308138	0188
81308139	0189
81308230	018A
81308231	018B
81308232	018C
81308233	018D
81308234	018E
81308235	018F
81308236	0190
81308237	0191
81308238	0192
81308239	0193
81308330	0194
81308331	0195
81308332	0196
81308333	0197
81308334	0198
81308335	0199
81308336	019A
81308337	019B
81308338	019C
81308339	019D
81308430	019E
81308431	019F
81308432	01A0
81308433	01A1
81308434	01A2
81308435	01A3
81308436	01A5
81308437	01A6
81308438	01A9
81308439	01AA
81308530	01AB
81308531	01AC
81308532	01AD
81308533	01AE
81308534	01AF
81308535	01B2
81308536	01B3
81308537	01B4
81308538	01B5
81308539	01B6
81308630	01B8
81308631	01B9
81308632	01BA
81308633	01BB
81308634	01BC
81308635	01BD
81308636	01BE
81308637	01BF
81308638	01C0
81308639	01C1
81308730	01C2
81308731	01C3
81308732	01C4
81308733	01C5
81308734	01C6
81308735	01C7
81308736	01C8
81308737	01C9
81308738	01CA
81308739	01CB
81308830	01CC
81308831	01CD
81308832	01CE
81308833	01CF
81308834	01D0
81308835	01D1
81308836	01D2
81308837	01D3
81308838	01D4
81308839	01D5
81308930	01D6
81308931	01D8
81308932	01D9
81308933	01DA
81308934	01DB
81308935	01DC
81308936	01DD
81308937	01DE
81308938	01DF
81308939	01E2
81308A30	01E3
81308A31	01E4
81308A32	01E5
81308A33	01E6
81308A34	01E7
81308A35	01EB
81308A36	01EE
81308A37	01EF
81308A38	01F0
81308A39	01F1
81308B30	01F4
81308B31	01F5
81308B32	01F6
81308B33	01F8
81308B34	01FB
81308B35	01FD
81308B36	01FE
81308B37	01FF
81308B38	010100
81308B39	010102
81308C30	010103
81308C31	010104
81308C32	010105
81308C33	010106
81308C34	010107
81308C35	010108
81308C36	010109
81308C37	01010A
81308C38	01010B
81308C39	01010C
81308D30	01010D
81308D31	01010E
81308D32	01010F
81308D33	010110
81308D34	010111
81308D35	010112
81308D36	010114
81308D37	010115
81308D38	010116
81308D39	010117
81308E30	010118
81308E31	010119
81308E32	01011A
81308E33	01011C
81308E34	01011D
81308E35	01011E
81308E36	01011F
81308E37	010120
81308E38	010121
81308E39	010122
81308F30	010123
81308F31	010124
81308F32	010125
81308F33	010126
81308F34	010127
81308F35	010128
81308F36	010129
81308F37	01012A
81308F38	01012C
81308F39	01012D
81309030	01012E
81309031	01012F
81309032	010130
81309033	010131
81309034	010132
81309035	010133
81309036	010134
81309037	010135
81309038	010136
81309039	010137
81309130	010138
81309131	010139
81309132	01013A
81309133	01013B
81309134	01013C
81309135	01013D
81309136	01013E
81309137	01013F
81309138	010140
81309139	010141
81309230	010142
81309231	010143
81309232	010145
81309233	010146
81309234	010147
81309235	010149
81309236	01014A
81309237	01014B
81309238	01014C
81309239	01014E
81309330	01014F
81309331	010150
81309332	010151
81309333	010152
81309334	010153
81309335	010154
81309336	010155
81309337	010156
81309338	010157
81309339	010158
81309430	010159
81309431	01015A
81309432	01015B
81309433	01015C
81309434	01015D
81309435	01015E
81309436	01015F
81309437	010160
81309438	010161
81309439	010162
81309530	010163
81309531	010164
81309532	010165
81309533	010166
81309534	010167
81309535	010168
81309536	010169
81309537	01016A
81309538	01016C
81309539	01016D
81309630	01016E
81309631	01016F
81309632	010170
81309633	010171
81309634	010172
81309635	010173
81309636	010174
81309637	010175
81309638	010176
81309639	010177
81309730	010178
81309731	010179
81309732	01017A
81309733	01017B
81309734	01017C
81309735	01017D
81309736	01017E
81309737	01017F
81309738	010180
81309739	010181
81309830	010182
81309831	010183
81309832	010184
81309833	010185
81309834	010186
81309835	010187
81309836	010188
81309837	010189
81309838	01018A
81309839	01018B
81309930	01018C
81309931	01018D
81309932	01018E
81309933	01018F
81309934	010190
81309935	010191
81309936	010192
81309937	010193
81309938	010194
81309939	010195
81309A30	010196
81309A31	010197
81309A32	010198
81309A33	010199
81309A34	01019A
81309A35	01019B
81309A36	01019C
81309A37	01019D
81309A38	01019E
81309A39	01019F
81309B30	0101A0
81309B31	0101A1
81309B32	0101A2
81309B33	0101A3
81309B34	0101A4
81309B35	0101A5
81309B36	0101A6
81309B37	0101A7
81309B38	0101A8
81309B39	0101A9
81309C30	0101AA
81309C31	0101AB
81309C32	0101AC
81309C33	0101AD
81309C34	0101AE
81309C35	0101AF
81309C36	0101B0
81309C37	0101B1
81309C38	0101B2
81309C39	0101B3
81309D30	0101B4
81309D31	0101B5
81309D32	0101B6
81309D33	0101B7
81309D34	0101B8
81309D35	0101B9
81309D36	0101BA
81309D37	0101BB
81309D38	0101BC
81309D39	0101BD
81309E30	0101BE
81309E31	0101BF
81309E32	0101C0
81309E33	0101C1
81309E34	0101C2
81309E35	0101C3
81309E36	0101C4
81309E37	0101C5
81309E38	0101C6
81309E39	0101C7
81309F30	0101C8
81309F31	0101C9
81309F32	0101CA
81309F33	0101CB
81309F34	0101CC
81309F35	0101CD
81309F36	0101CF
81309F37	0101D1
81309F38	0101D3
81309F39	0101D5
8130A030	0101D7
8130A031	0101D9
8130A032	0101DB
8130A033	0101DD
8130A034	0101DE
8130A035	0101DF
8130A036	0101E0
8130A037	0101E1
8130A038	0101E2
8130A039	0101E3
8130A130	0101E4
8130A131	0101E5
8130A132	0101E6
8130A133	0101E7
8130A134	0101E8
8130A135	0101E9
8130A136	0101EA
8130A137	0101EB
8130A138	0101EC
8130A139	0101ED
8130A230	0101EE
8130A231	0101EF
