#transposed from from/GBK.txt
A1E8	01A4
A1EC	01A7
A1A7	01A8
A1E3	01B0
A1C0	01B1
A1A4	01B7
A1C1	01D7
A8A4	01E0
AAA1	01E000
AAAB	01E00A
AAAC	01E00B
AAAD	01E00C
AAAE	01E00D
AAAF	01E00E
AAB0	01E00F
ABE3	01E0A0
ABE4	01E0A1
ABE5	01E0A2
ABE6	01E0A3
ABE7	01E0A4
ABE8	01E0A5
ABE9	01E0A6
ABEA	01E0A7
ABEB	01E0A8
ABEC	01E0A9
ABED	01E0AA
ABEE	01E0AB
ABEF	01E0AC
ABF0	01E0AD
ABF1	01E0AE
ABF2	01E0AF
ABF3	01E0B0
ABF4	01E0B1
ABF5	01E0B2
ABF6	01E0B3
ABF7	01E0B4
ABF8	01E0B5
ABF9	01E0B6
ABFA	01E0B7
ABFB	01E0B8
ABFC	01E0B9
ABFD	01E0BA
ABFE	01E0BB
ACA1	01E0BC
ACA2	01E0BD
ACA3	01E0BE
ACA4	01E0BF
ACA5	01E0C0
ACA6	01E0C1
ACA7	01E0C2
ACA8	01E0C3
ACA9	01E0C4
ACAA	01E0C5
ACAB	01E0C6
ACAC	01E0C7
ACAD	01E0C8
ACAE	01E0C9
ACAF	01E0CA
ACB0	01E0CB
ACB1	01E0CC
ACB2	01E0CD
ACB3	01E0CE
ACB4	01E0CF
ACB5	01E0D0
ACB6	01E0D1
ACB7	01E0D2
ACB8	01E0D3
ACB9	01E0D4
ACBA	01E0D5
ACBB	01E0D6
ACBC	01E0D7
ACBD	01E0D8
ACBE	01E0D9
ACBF	01E0DA
ACC0	01E0DB
ACC1	01E0DC
ACC2	01E0DD
ACC3	01E0DE
ACC4	01E0DF
ACC5	01E0E0
ACC6	01E0E1
ACC7	01E0E2
ACC8	01E0E3
ACC9	01E0E4
ACCA	01E0E5
ACCB	01E0E6
ACCC	01E0E7
ACCD	01E0E8
ACCE	01E0E9
ACCF	01E0EA
ACD0	01E0EB
ACD1	01E0EC
ACD2	01E0ED
ACD3	01E0EE
ACD4	01E0EF
ACD5	01E0F0
ACD6	01E0F1
ACD7	01E0F2
ACD8	01E0F3
ACD9	01E0F4
ACDA	01E0F5
ACDB	01E0F6
ACDC	01E0F7
ACDD	01E0F8
ACDE	01E0F9
ACDF	01E0FA
ACE0	01E0FB
ACE1	01E0FC
ACE2	01E0FD
ACE3	01E0FE
ACE4	01E0FF
A8BA	01EA
A8AC	01EC
A8AA	01ED
A8B0	01F2
A8AE	01F3
A1C2	01F7
A8B4	01F9
FD9C	01F92C
FD9D	01F979
FD9E	01F995
FD9F	01F9E7
FDA0	01F9F1
A8B2	01FA
FE40	01FA0C
FE41	01FA0D
FE42	01FA0E
FE43	01FA0F
FE44	01FA11
FE45	01FA13
FE46	01FA14
FE47	01FA18
FE48	01FA1F
FE49	01FA20
FE4A	01FA21
FE4B	01FA23
FE4C	01FA24
FE4D	01FA27
FE4E	01FA28
FE4F	01FA29
A8B9	01FC
A955	01FE30
A6F2	01FE31
A6F4	01FE33
A6F5	01FE34
A6E0	01FE35
A6E1	01FE36
A6F0	01FE37
A6F1	01FE38
A6E2	01FE39
A6E3	01FE3A
A6EE	01FE3B
A6EF	01FE3C
A6E6	01FE3D
A6E7	01FE3E
A6E4	01FE3F
A6E5	01FE40
A6E8	01FE41
A6E9	01FE42
A6EA	01FE43
A6EB	01FE44
A968	01FE49
A969	01FE4A
A96A	01FE4B
A96B	01FE4C
A96C	01FE4D
A96D	01FE4E
A96E	01FE4F
A96F	01FE50
A970	01FE51
A971	01FE52
A972	01FE54
A973	01FE55
A974	01FE56
A975	01FE57
A976	01FE59
A977	01FE5A
A978	01FE5B
A979	01FE5C
A97A	01FE5D
A97B	01FE5E
A97C	01FE5F
A97D	01FE60
A97E	01FE61
A980	01FE62
A981	01FE63
A982	01FE64
A983	01FE65
A984	01FE66
A985	01FE68
A986	01FE69
A987	01FE6A
A988	01FE6B
A3A1	01FF01
A3A2	01FF02
A3A3	01FF03
A1E7	01FF04
A3A5	01FF05
A3A6	01FF06
A3A7	01FF07
A3A8	01FF08
A3A9	01FF09
A3AA	01FF0A
A3AB	01FF0B
A3AC	01FF0C
A3AD	01FF0D
A3AE	01FF0E
A3AF	01FF0F
A3B0	01FF10
A3B1	01FF11
A3B2	01FF12
A3B3	01FF13
A3B4	01FF14
A3B5	01FF15
A3B6	01FF16
A3B7	01FF17
A3B8	01FF18
A3B9	01FF19
A3BA	01FF1A
A3BB	01FF1B
A3BC	01FF1C
A3BD	01FF1D
A3BE	01FF1E
A3BF	01FF1F
A3C0	01FF20
A3C1	01FF21
A3C2	01FF22
A3C3	01FF23
A3C4	01FF24
A3C5	01FF25
A3C6	01FF26
A3C7	01FF27
A3C8	01FF28
A3C9	01FF29
A3CA	01FF2A
A3CB	01FF2B
A3CC	01FF2C
A3CD	01FF2D
A3CE	01FF2E
A3CF	01FF2F
A3D0	01FF30
A3D1	01FF31
A3D2	01FF32
A3D3	01FF33
A3D4	01FF34
A3D5	01FF35
A3D6	01FF36
A3D7	01FF37
A3D8	01FF38
A3D9	01FF39
A3DA	01FF3A
A3DB	01FF3B
A3DC	01FF3C
A3DD	01FF3D
A3DE	01FF3E
A3DF	01FF3F
A3E0	01FF40
A3E1	01FF41
A3E2	01FF42
A3E3	01FF43
A3E4	01FF44
A3E5	01FF45
A3E6	01FF46
A3E7	01FF47
A3E8	01FF48
A3E9	01FF49
A3EA	01FF4A
A3EB	01FF4B
A3EC	01FF4C
A3ED	01FF4D
A3EE	01FF4E
A3EF	01FF4F
A3F0	01FF50
A3F1	01FF51
A3F2	01FF52
A3F3	01FF53
A3F4	01FF54
A3F5	01FF55
A3F6	01FF56
A3F7	01FF57
A3F8	01FF58
A3F9	01FF59
A3FA	01FF5A
A3FB	01FF5B
A3FC	01FF5C
A3FD	01FF5D
A1AB	01FF5E
A1E9	01FFE0
A1EA	01FFE1
A956	01FFE2
A3FE	01FFE3
A957	01FFE4
A3A4	01FFE5
AAA2	01E001
AABB	01E01A
AABC	01E01B
AABD	01E01C
AABE	01E01D
AABF	01E01E
AAC0	01E01F
A8A2	01E1
AEC9	01E1A0
AECA	01E1A1
AECB	01E1A2
AECC	01E1A3
AECD	01E1A4
AECE	01E1A5
AECF	01E1A6
AED0	01E1A7
AED1	01E1A8
AED2	01E1A9
AED3	01E1AA
AED4	01E1AB
AED5	01E1AC
AED6	01E1AD
AED7	01E1AE
AED8	01E1AF
AED9	01E1B0
AEDA	01E1B1
AEDB	01E1B2
AEDC	01E1B3
AEDD	01E1B4
AEDE	01E1B5
AEDF	01E1B6
AEE0	01E1B7
AEE1	01E1B8
AEE2	01E1B9
AEE3	01E1BA
AEE4	01E1BB
AEE5	01E1BC
AEE6	01E1BD
AEE7	01E1BE
AEE8	01E1BF
AEE9	01E1C0
AEEA	01E1C1
AEEB	01E1C2
AEEC	01E1C3
AEED	01E1C4
AEEE	01E1C5
AEEF	01E1C6
AEF0	01E1C7
AEF1	01E1C8
AEF2	01E1C9
AEF3	01E1CA
AEF4	01E1CB
AEF5	01E1CC
AEF6	01E1CD
AEF7	01E1CE
AEF8	01E1CF
AEF9	01E1D0
AEFA	01E1D1
AEFB	01E1D2
AEFC	01E1D3
AEFD	01E1D4
AEFE	01E1D5
AFA1	01E1D6
AFA2	01E1D7
AFA3	01E1D8
AFA4	01E1D9
AFA5	01E1DA
AFA6	01E1DB
AFA7	01E1DC
AFA8	01E1DD
AFA9	01E1DE
AFAA	01E1DF
AFAB	01E1E0
AFAC	01E1E1
AFAD	01E1E2
AFAE	01E1E3
AFAF	01E1E4
AFB0	01E1E5
AFB1	01E1E6
AFB2	01E1E7
