# Source: http://moztw.org/docs/big5/table/hkscs1999.txt
8840	01F303
8841	01F304
8842	01F305
8843	01F306
8844	01F307
8845	01F308
8846	01F309
8847	01F30A
8848	01F30B
8849	01F30C
884A	01F30D
884B	01F30E
884C	01F30F
884D	01F310
884E	01F311
884F	01F312
8850	01F313
8851	01F314
8852	01F315
8853	01F316
8854	01F317
8855	01F318
8856	010100
8857	01C1
8858	0101CD
8859	01C0
885A	010112
885B	01C9
885C	01011A
885D	01C8
885E	01014C
885F	01D3
8860	0101D1
8861	01D2
8862	01F325
8863	011EBE
8864	01F327
8865	011EC0
8866	01CA
8867	010101
8868	01E1
8869	0101CE
886A	01E0
886B	010251
886C	010113
886D	01E9
886E	01011B
886F	01E8
8870	01012B
8871	01ED
8872	0101D0
8873	01EC
8874	01014D
8875	01F3
8876	0101D2
8877	01F2
8878	01016B
8879	01FA
887A	0101D4
887B	01F9
887C	0101D6
887D	0101D8
887E	0101DA
88A1	0101DC
88A2	01FC
88A3	01F344
88A4	011EBF
88A5	01F346
88A6	011EC1
88A7	01EA
88A8	010261
88A9	01F34A
88AA	01F34B
8940	01F3A0
8941	01F3A1
8943	01650A
8946	014E3D
8947	016EDD
8948	019D4E
8949	0191DF
894C	01F3AC
894D	016491
894E	014F1A
894F	014F28
8950	014FA8
8951	015156
8952	015174
8953	01519C
8954	0151E4
8955	0152A1
8956	0152A8
8957	01533B
8958	01534E
8959	0153D1
895A	0153D8
895B	0156E2
895C	0158F0
895D	015904
895E	015907
895F	015932
8960	015934
8961	015B66
8962	015B9E
8963	015B9F
8964	015C9A
8965	015E86
8966	01603B
8967	016589
8968	0167FE
8969	016804
896A	016865
896B	016D4E
896C	0170BC
896D	017535
896E	017EA4
896F	017EAC
8970	017EBA
8971	017EC7
8972	017ECF
8973	017EDF
8974	017F06
8975	017F37
8976	01827A
8977	0182CF
8978	01836F
8979	0189C6
897A	018BBE
897B	018BE2
897C	018F66
897D	018F67
897E	018F6E
89A1	017411
89A2	017CFC
89A3	017DCD
89A4	016946
89A5	017AC9
89A6	015227
89AB	01918C
89AC	0178B8
89AD	01915E
89AE	0180BC
89B0	018D0B
89B1	0180F6
89B2	01F3F0
89B5	01809F
89B6	019EC7
89B7	014CCD
89B8	019DC9
89B9	019E0C
89BA	014C3E
89BB	01F3F9
89BC	01F3FA
89BD	019E0A
89BE	01F3FC
89BF	0135C1
89C1	016E9A
89C2	01823E
89C3	017519
89C5	014911
89C6	019A6C
89C7	019A8F
89C8	019F99
89C9	017987
89CA	01F408
89CB	01F409
89CC	01F40A
89CD	01F40B
89CE	014E24
89CF	014E81
89D0	014E80
89D1	014E87
89D2	014EBF
89D3	014EEB
89D4	014F37
89D5	01344C
89D6	014FBD
89D7	013E48
89D8	015003
89D9	015088
