#data source: http://www.cns11643.gov.tw
013105	015B,0162,015D
013106	015B,0170,015D
013107	015B,016D,015D
013108	015B,0166,015D
013109	015B,0164,015D
01310A	015B,0174,015D
01310B	015B,016E,015D
01310C	015B,016C,015D
01310D	015B,0167,015D
01310E	015B,016B,015D
01310F	015B,0168,015D
013110	015B,0167,0169,015D
013111	015B,0163,0168,015D
013112	015B,0163,0173,015D
013113	015B,0174,017A,015D
013114	015B,0174,0163,0168,015D
013115	015B,0173,0168,015D
013116	015B,016A,0172,015D
013117	015B,017A,0168,015D
013118	015B,0174,0173,015D
013119	015B,0173,015D
013127	015B,0169,015D
013128	015B,0175,015D
013129	015B,0179,015D
01311A	015B,0161,015D
01311B	015B,016F,015D
01311C	015B,0175,0168,015D
01311D	015B,0161,0165,015D
01311E	015B,0161,0169,015D
01311F	015B,0165,0168,015D
013120	015B,0161,016F,015D
013121	015B,016F,0175,015D
013122	015B,0161,0165,016E,015D
013123	015B,0165,016E,015D
013124	015B,0161,0161,016E,015D
013125	015B,0175,016E,015D
013126	015B,0165,0172,015D
01020000	01310F,01311C,0120
01020001	013111,013127,0120
01020002	013127,0102C7
01020003	013110,013127,0120
01020003	013111,013127,01311D,0102C7
01020004	013128,01311F,0102CB
01020005	01310F,01311E,0102CB
01020007	013111,013127,01311D,0102C7
01020008	013111,013127,013121,0120
01020009	013111,013127,013121,0120
0102000A	013118,013120,0120
0102000B	013128,013123,0102CA
0102000B	013128,013123,0102CB
0102000C	013111,013127,013121,0120
0102000D	013115,0102CB
0102000F	01310A,013128,013123,0102CA
01020010	013113,013128,013125,0120
01020011	01310A,013127,013122,0120
01020012	013106,013127,013125,0102CA
01020013	013119,0120
01020014	013110,013129,01311D,0102CA
01020015	01310D,013125,0102CB
01020018	01310A,013127,013122,0120
01020019	01310C,013127,0102CB
0102001A	013105,013128,0120
0102001A	013108,013121,0102C7
0102001B	013129,0102CB
0102001C	013111,013127,013121,0120
0102001D	01310E,013128,013125,0120
0102001E	01310C,013127,0102C7
0102001E	01310C,013127,0102CA
0102001E	01310C,013127,0102CB
0102001F	01310F,013122,0102CB
01020020	013110,013127,0120
01020021	01310A,013127,013122,0120
01020022	013117,0120
01020024	013105,013122,0102CB
01020024	013105,013124,0102CB
01020024	013105,013127,013125,0102CB
01020025	013112,013129,013122,0120
