#tranposed from HALF.txt
015B	013014
0129	013015
0127	012019
0120	013000
0121	01ff01
0122	01ff02
0123	01ff03
0124	01ff04
0125	01ff05
0126	01ff06
0127	01ff07
0128	01ff08
0129	01ff09
012a	01ff0a
012b	01ff0b
012c	01ff0c
012d	01ff0d
012e	01ff0e
012f	01ff0f
0130	01ff10
0131	01ff11
0132	01ff12
0133	01ff13
0134	01ff14
0135	01ff15
0136	01ff16
0137	01ff17
0138	01ff18
0139	01ff19
013a	01ff1a
013b	01ff1b
013c	01ff1c
013d	01ff1d
013e	01ff1e
013f	01ff1f
0140	01ff20
0141	01ff21
0142	01ff22
0143	01ff23
0144	01ff24
0145	01ff25
0146	01ff26
0147	01ff27
0148	01ff28
0149	01ff29
014a	01ff2a
014b	01ff2b
014c	01ff2c
014d	01ff2d
014e	01ff2e
014f	01ff2f
0150	01ff30
0151	01ff31
0152	01ff32
0153	01ff33
0154	01ff34
0155	01ff35
0156	01ff36
0157	01ff37
0158	01ff38
0159	01ff39
015a	01ff3a
015b	01ff3b
015c	01ff3c
015d	01ff3d
015e	01ff3e
015f	01ff3f
0160	01ff40
0161	01ff41
0162	01ff42
0163	01ff43
0164	01ff44
0165	01ff45
0166	01ff46
0167	01ff47
0168	01ff48
0169	01ff49
016a	01ff4a
016b	01ff4b
016c	01ff4c
016d	01ff4d
016e	01ff4e
016f	01ff4f
0170	01ff50
0171	01ff51
0172	01ff52
0173	01ff53
0174	01ff54
0175	01ff55
0176	01ff56
0177	01ff57
0178	01ff58
0179	01ff59
017a	01ff5a
017b	01ff5b
017c	01ff5c
017d	01ff5d
