#source: http://zh.wikipedia.org/wiki/%e5%85%a8%e5%bd%a2
013000	0120
01ff01	0121
01ff02	0122
01ff03	0123
01ff04	0124
01ff05	0125
01ff06	0126
01ff07	0127
01ff08	0128
01ff09	0129
01ff0a	012a
01ff0b	012b
01ff0c	012c
01ff0d	012d
01ff0e	012e
01ff0f	012f
01ff10	0130
01ff11	0131
01ff12	0132
01ff13	0133
01ff14	0134
01ff15	0135
01ff16	0136
01ff17	0137
01ff18	0138
01ff19	0139
01ff1a	013a
01ff1b	013b
01ff1c	013c
01ff1d	013d
01ff1e	013e
01ff1f	013f
01ff20	0140
01ff21	0141
01ff22	0142
01ff23	0143
01ff24	0144
01ff25	0145
01ff26	0146
01ff27	0147
01ff28	0148
01ff29	0149
01ff2a	014a
01ff2b	014b
01ff2c	014c
01ff2d	014d
01ff2e	014e
01ff2f	014f
01ff30	0150
01ff31	0151
01ff32	0152
01ff33	0153
01ff34	0154
01ff35	0155
01ff36	0156
01ff37	0157
01ff38	0158
01ff39	0159
01ff3a	015a
01ff3b	015b
01ff3c	015c
01ff3d	015d
01ff3e	015e
01ff3f	015f
01ff40	0160
01ff41	0161
01ff42	0162
01ff43	0163
01ff44	0164
01ff45	0165
01ff46	0166
01ff47	0167
01ff48	0168
01ff49	0169
01ff4a	016a
01ff4b	016b
01ff4c	016c
01ff4d	016d
01ff4e	016e
01ff4f	016f
01ff50	0170
01ff51	0171
01ff52	0172
01ff53	0173
01ff54	0174
01ff55	0175
01ff56	0176
01ff57	0177
01ff58	0178
01ff59	0179
01ff5a	017a
01ff5b	017b
01ff5c	017c
01ff5d	017d
01ff5e	017e
013002	01ff61
01300c	01ff62
01300d	01ff63
013001	01ff64
0130fb	01ff65
0130f2	01ff66
0130a1	01ff67
0130a3	01ff68
0130a5	01ff69
0130a7	01ff6a
0130a9	01ff6b
0130e3	01ff6c
0130e5	01ff6d
0130e7	01ff6e
0130c3	01ff6f
0130fc	01ff70
0130a2	01ff71
0130a4	01ff72
0130a6	01ff73
0130a8	01ff74
0130aa	01ff75
0130ab	01ff76
0130ad	01ff77
0130af	01ff78
0130b1	01ff79
0130b3	01ff7a
0130b5	01ff7b
0130b7	01ff7c
0130b9	01ff7d
0130bb	01ff7e
0130bd	01ff7f
0130bf	01ff80
0130c1	01ff81
0130c4	01ff82
0130c6	01ff83
0130c8	01ff84
0130ca	01ff85
0130cb	01ff86
0130cc	01ff87
0130cd	01ff88
0130ce	01ff89
0130cf	01ff8a
0130d2	01ff8b
0130d5	01ff8c
0130d8	01ff8d
0130db	01ff8e
0130de	01ff8f
0130df	01ff90
0130e0	01ff91
0130e1	01ff92
0130e2	01ff93
0130e4	01ff94
0130e6	01ff95
0130e8	01ff96
0130e9	01ff97
0130ea	01ff98
0130eb	01ff99
0130ec	01ff9a
0130ed	01ff9b
0130ef	01ff9c
0130f3	01ff9d
01309b	01ff9e
01309c	01ff9f
013164	01ffa0
013131	01ffa1
013132	01ffa2
013133	01ffa3
013134	01ffa4
013135	01ffa5
013136	01ffa6
013137	01ffa7
013138	01ffa8
013139	01ffa9
01313a	01ffaa
01313b	01ffab
01313c	01ffac
01313d	01ffad
01313e	01ffae
01313f	01ffaf
013140	01ffb0
013141	01ffb1
013142	01ffb2
013143	01ffb3
013144	01ffb4
013145	01ffb5
013146	01ffb6
013147	01ffb7
013148	01ffb8
013149	01ffb9
01314a	01ffba
01314b	01ffbb
01314c	01ffbc
01314d	01ffbd
01314e	01ffbe
01314f	01ffc2
013150	01ffc3
013151	01ffc4
013152	01ffc5
013153	01ffc6
013154	01ffc7
013155	01ffca
013156	01ffcb
013157	01ffcc
013158	01ffcd
013159	01ffce
01315a	01ffcf
01315b	01ffd2
01315c	01ffd3
01315d	01ffd4
01315e	01ffd5
01315f	01ffd6
013160	01ffd7
013161	01ffda
013162	01ffdb
013163	01ffdc
01ff5f	012985
01ff60	012986
01ffe0	01a2
01ffe1	01a3
01ffe2	01ac
01ffe3	01af
01ffe4	01a6
01ffe5	01a5
01ffe6	0120a9
012502	01ffe8
012190	01ffe9
012191	01ffea
012192	01ffeb
012193	01ffec
0125a0	01ffed
0125cb	01ffee
