#data source: http://www.cns11643.gov.tw
013105	015B,0162,015D
013106	015B,0170,015D
013107	015B,016D,015D
013108	015B,0166,015D
013109	015B,0164,015D
01310A	015B,0174,015D
01310B	015B,016E,015D
01310C	015B,016C,015D
01310D	015B,0167,015D
01310E	015B,016B,015D
01310F	015B,0168,015D
013110	015B,0167,0169,015D
013111	015B,0163,0168,015D
013112	015B,0163,0173,015D
013113	015B,0174,017A,015D
013114	015B,0174,0163,0168,015D
013115	015B,0173,0168,015D
013116	015B,016A,0172,015D
013117	015B,017A,0168,015D
013118	015B,0174,0173,015D
013119	015B,0173,015D
013127	015B,0169,015D
013128	015B,0175,015D
013129	015B,0179,015D
01311A	015B,0161,015D
01311B	015B,016F,015D
01311C	015B,0175,0168,015D
01311D	015B,0161,0165,015D
01311E	015B,0161,0169,015D
01311F	015B,0165,0168,015D
013120	015B,0161,016F,015D
013121	015B,016F,0175,015D
013122	015B,0161,0165,016E,015D
013123	015B,0165,016E,015D
013124	015B,0161,0161,016E,015D
013125	015B,0175,016E,015D
013126	015B,0165,0172,015D
013105,01311A	0162,0161
013105,01311B	0162,016F
013105,01311E	0162,0161,0169
013105,01311F	0162,0165,0169
013105,013120	0162,0161,016F
013105,013122	0162,0161,016E
013105,013123	0162,0165,016E
013105,013124	0162,0161,016E,0167
013105,013125	0162,0165,016E,0167
013105,013127	0162,0169
013105,013127,01311D	0162,0169,0165
013105,013127,013120	0162,0169,0161,016F
013105,013127,013122	0162,0169,0161,016E
013105,013127,013123	0162,0169,016E
013105,013127,013125	0162,0169,016E,0167
013105,013128	0162,0175
013106,01311A	0170,0161
013106,01311B	0170,016F
013106,01311E	0170,0161,0169
013106,01311F	0170,0165,0169
013106,013120	0170,0161,016F
013106,013121	0170,016F,0175
013106,013122	0170,0161,016E
013106,013123	0170,0165,016E
013106,013124	0170,0161,016E,0167
013106,013125	0170,0165,016E,0167
013106,013127	0170,0169
013106,013127,01311D	0170,0169,0165
013106,013127,013120	0170,0169,0161,016F
013106,013127,013122	0170,0169,0161,016E
013106,013127,013123	0170,0169,016E
013106,013127,013125	0170,0169,016E,0167
013106,013128	0170,0175
013107,01311A	016D,0161
013107,01311B	016D,016F
013107,01311C	016D,0165
013107,01311E	016D,0161,0169
013107,01311F	016D,0165,0169
013107,013120	016D,0161,016F
