0141	0161
0142	0162
0143	0163
0144	0164
0145	0165
0146	0166
0147	0167
0148	0168
0149	0169
014A	016A
014B	016B
014C	016C
014D	016D
014E	016E
014F	016F
0150	0170
0151	0171
0152	0172
0153	0173
0154	0174
0155	0175
0156	0176
0157	0177
0158	0178
0159	0179
015A	017A
0100C0	0100E0
0100C2	0100E2
0100C4	0100E4
0100D4	0100F4
0100D6	0100F6
0100CA	0100EA
0100C9	0100E9
0100C8	0100E8
0100CB	0100EB
0100DB	0100FB
0100D9	0100F9
0100DC	0100FC
0100CE	0100EE
0100CF	0100EF
0100C7	0100E7
01FF21	01FF41
01FF22	01FF42
01FF23	01FF43
01FF24	01FF44
01FF25	01FF45
01FF26	01FF46
01FF27	01FF47
01FF28	01FF48
01FF29	01FF49
01FF2A	01FF4A
01FF2B	01FF4B
01FF2C	01FF4C
01FF2D	01FF4D
01FF2E	01FF4E
01FF2F	01FF4F
01FF30	01FF50
01FF31	01FF51
01FF32	01FF52
01FF33	01FF53
01FF34	01FF54
01FF35	01FF55
01FF36	01FF56
01FF37	01FF57
01FF38	01FF58
01FF39	01FF59
01FF3A	01FF5A
