#data source: http://www.cns11643.gov.tw
02012121	0111
02012122	01FF0C
02012123	013001
02012124	013002
02012125	01FF0E
02012126	012027
02012127	01FF1B
02012128	01FF1A
02012129	01FF1F
0201212A	01FF01
0201212B	01FE30
0201212C	012026
0201212D	012025
0201212E	01FE50
0201212F	01FE51
02012130	01FE52
02012131	01B7
02012132	01FE54
02012133	01FE55
02012134	01FE56
02012135	01FE57
02012136	01FF5C
02012137	012015
02012138	01FE31
02012139	012014
0201213A	01FE33
0201213B	012574
0201213C	01FE34
0201213D	01FE4F
0201213E	01FF08
0201213F	01FF09
02012140	01FE35
02012141	01FE36
02012142	01FF5B
02012143	01FF5D
02012144	01FE37
02012145	01FE38
02012146	013014
02012147	013015
02012148	01FE39
02012149	01FE3A
0201214A	013010
0201214B	013011
0201214C	01FE3B
0201214D	01FE3C
0201214E	01300A
0201214F	01300B
02012150	01FE3D
02012151	01FE3E
02012152	013008
02012153	013009
02012154	01FE3F
02012155	01FE40
02012156	01300C
02012157	01300D
02012158	01FE41
02012159	01FE42
0201215A	01300E
0201215B	01300F
0201215C	01FE43
0201215D	01FE44
0201215E	01FE59
0201215F	01FE5A
02012160	01FE5B
02012161	01FE5C
02012162	01FE5D
02012163	01FE5E
02012164	012018
02012165	012019
02012166	01201C
02012167	01201D
02012168	01301D
02012169	01301E
0201216A	012035
0201216B	012032
0201216C	01FF03
0201216D	01FF06
0201216E	01FF0A
0201216F	01203B
02012170	01A7
02012171	013003
02012172	0125CB
02012173	0125CF
02012174	0125B3
02012175	0125B2
02012176	0125CE
02012177	012606
02012178	012605
02012179	0125C7
0201217A	0125C6
0201217B	0125A1
0201217C	0125A0
0201217D	0125BD
0201217E	0125BC
02012221	0132A3
02012222	012105
02012223	01203E
02012224	01FFE3
02012225	01FF3F
02012226	0102CD
02012227	01FE49
02012228	01FE4A
02012229	01FE4D
0201222A	01FE4E
0201222B	01FE4B
0201222C	01FE4C
0201222D	01FE5F
0201222E	01FE60
0201222F	01FE61
02012230	01FF0B
02012231	01FF0D
02012232	01D7
02012233	01F7
02012234	01B1
02012235	01221A
02012236	01FF1C
02012237	01FF1E
02012238	01FF1D
02012239	012266
0201223A	012267
0201223B	012260
0201223C	01221E
0201223D	012252
0201223E	012261
0201223F	01FE62
02012240	01FE63
02012241	01FE64
02012242	01FE65
02012243	01FE66
02012244	01FF5E
02012245	012229
02012246	01222A
02012247	0122A5
02012248	012220
02012249	01221F
0201224A	0122BF
0201224B	0133D2
0201224C	0133D1
0201224D	01222B
0201224E	01222E
0201224F	012235
02012250	012234
02012251	012640
02012252	012642
02012253	012295
02012254	012299
02012255	012191
02012256	012193
02012257	012190
02012258	012192
02012259	012196
0201225A	012197
0201225B	012199
0201225C	012198
0201225D	012225
0201225E	012223
0201225F	01FF0F
02012260	01FF3C
02012261	012215
02012262	01FE68
02012263	01FF04
02012264	01FFE5
02012265	013012
02012266	01FFE0
02012267	01FFE1
02012268	01FF05
02012269	01FF20
0201226A	012103
0201226B	012109
0201226C	01FE69
0201226D	01FE6A
0201226E	01FE6B
0201226F	0133D5
02012270	01339C
02012271	01339D
02012272	01339E
02012273	0133CE
02012274	0133A1
02012275	01338E
02012276	01338F
02012277	0133C4
02012278	01B0
02012279	015159
0201227A	01515B
0201227B	01515E
0201227C	01515D
0201227D	015161
0201227E	015163
02012321	0155E7
02012322	0174E9
02012323	017CCE
02012324	012581
02012325	012582
02012326	012583
02012327	012584
02012328	012585
02012329	012586
0201232A	012587
0201232B	012588
0201232C	01258F
0201232D	01258E
0201232E	01258D
0201232F	01258C
02012330	01258B
02012331	01258A
02012332	012589
02012333	01253C
02012334	012534
02012335	01252C
02012336	012524
02012337	01251C
02012338	012594
02012339	012500
0201233A	012502
0201233B	012595
0201233C	01250C
0201233D	012510
0201233E	012514
0201233F	012518
02012340	01256D
02012341	01256E
02012342	012570
02012343	01256F
02012344	012501
02012345	01251D
02012346	01253F
02012347	012525
02012348	0125E2
02012349	0125E3
0201234A	0125E5
0201234B	0125E4
0201234C	012571
0201234D	012572
0201234E	012573
02012421	01FF10
02012422	01FF11
02012423	01FF12
02012424	01FF13
02012425	01FF14
02012426	01FF15
02012427	01FF16
02012428	01FF17
02012429	01FF18
0201242A	01FF19
0201242B	012160
0201242C	012161
0201242D	012162
0201242E	012163
0201242F	012164
02012430	012165
02012431	012166
02012432	012167
02012433	012168
02012434	012169
02012435	013021
02012436	013022
02012437	013023
02012438	013024
02012439	013025
0201243A	013026
0201243B	013027
0201243C	013028
0201243D	013029
0201243E	015341
0201243F	015344
02012440	015345
02012441	01FF21
02012442	01FF22
02012443	01FF23
02012444	01FF24
02012445	01FF25
02012446	01FF26
02012447	01FF27
02012448	01FF28
02012449	01FF29
0201244A	01FF2A
0201244B	01FF2B
0201244C	01FF2C
0201244D	01FF2D
0201244E	01FF2E
0201244F	01FF2F
02012450	01FF30
02012451	01FF31
02012452	01FF32
02012453	01FF33
02012454	01FF34
02012455	01FF35
02012456	01FF36
02012457	01FF37
02012458	01FF38
02012459	01FF39
0201245A	01FF3A
0201245B	01FF41
0201245C	01FF42
0201245D	01FF43
0201245E	01FF44
0201245F	01FF45
02012460	01FF46
02012461	01FF47
02012462	01FF48
02012463	01FF49
02012464	01FF4A
02012465	01FF4B
02012466	01FF4C
02012467	01FF4D
02012468	01FF4E
02012469	01FF4F
0201246A	01FF50
0201246B	01FF51
0201246C	01FF52
0201246D	01FF53
0201246E	01FF54
0201246F	01FF55
02012470	01FF56
02012471	01FF57
02012472	01FF58
02012473	01FF59
02012474	01FF5A
02012475	010391
02012476	010392
02012477	010393
02012478	010394
02012479	010395
0201247A	010396
0201247B	010397
0201247C	010398
0201247D	010399
0201247E	01039A
02012521	01039B
02012522	01039C
02012523	01039D
02012524	01039E
02012525	01039F
02012526	0103A0
02012527	0103A1
02012528	0103A3
02012529	0103A4
0201252A	0103A5
0201252B	0103A6
0201252C	0103A7
0201252D	0103A8
0201252E	0103A9
0201252F	0103B1
02012530	0103B2
02012531	0103B3
02012532	0103B4
02012533	0103B5
02012534	0103B6
02012535	0103B7
02012536	0103B8
