Source: ftp://ftp.unicode.org/Public/6.3.0/ucd/UnicodeData-6.3.0d3.txt
Source: http://www.unicode.org/Public/6.2.0/ucd/SpecialCasing.txt
0161	0141
0162	0142
0163	0143
0164	0144
0165	0145
0166	0146
0167	0147
0168	0148
0169	0149
016A	014A
016B	014B
016C	014C
016D	014D
016E	014E
016F	014F
0170	0150
0171	0151
0172	0152
0173	0153
0174	0154
0175	0155
0176	0156
0177	0157
0178	0158
0179	0159
017A	015A
01B5	01039C
01E0	01C0
01E1	01C1
01E2	01C2
01E3	01C3
01E4	01C4
01E5	01C5
01E6	01C6
01E7	01C7
01E8	01C8
01E9	01C9
01EA	01CA
01EB	01CB
01EC	01CC
01ED	01CD
01EE	01CE
01EF	01CF
01F0	01D0
01F1	01D1
01F2	01D2
01F3	01D3
01F4	01D4
01F5	01D5
01F6	01D6
01F8	01D8
01F9	01D9
01FA	01DA
01FB	01DB
01FC	01DC
01FD	01DD
01FE	01DE
01FF	010178
010101	010100
010103	010102
010105	010104
010107	010106
010109	010108
01010B	01010A
01010D	01010C
01010F	01010E
010111	010110
010113	010112
010115	010114
010117	010116
010119	010118
01011B	01011A
01011D	01011C
01011F	01011E
010121	010120
010123	010122
010125	010124
010127	010126
010129	010128
01012B	01012A
01012D	01012C
01012F	01012E
010131	0149
010133	010132
010135	010134
010137	010136
01013A	010139
01013C	01013B
01013E	01013D
010140	01013F
010142	010141
010144	010143
010146	010145
010148	010147
01014B	01014A
01014D	01014C
01014F	01014E
010151	010150
010153	010152
010155	010154
010157	010156
010159	010158
01015B	01015A
01015D	01015C
01015F	01015E
010161	010160
010163	010162
010165	010164
010167	010166
010169	010168
01016B	01016A
01016D	01016C
01016F	01016E
010171	010170
010173	010172
010175	010174
010177	010176
01017A	010179
01017C	01017B
01017E	01017D
01017F	0153
010180	010243
010183	010182
010185	010184
010188	010187
01018C	01018B
010192	010191
010195	0101F6
010199	010198
01019A	01023D
01019E	010220
0101A1	0101A0
0101A3	0101A2
0101A5	0101A4
0101A8	0101A7
0101AD	0101AC
0101B0	0101AF
0101B4	0101B3
0101B6	0101B5
0101B9	0101B8
0101BD	0101BC
0101BF	0101F7
0101C5	0101C4
0101C6	0101C4
0101C8	0101C7
0101C9	0101C7
0101CB	0101CA
0101CC	0101CA
0101CE	0101CD
0101D0	0101CF
0101D2	0101D1
0101D4	0101D3
0101D6	0101D5
0101D8	0101D7
0101DA	0101D9
0101DC	0101DB
0101DD	01018E
0101DF	0101DE
0101E1	0101E0
0101E3	0101E2
0101E5	0101E4
0101E7	0101E6
0101E9	0101E8
0101EB	0101EA
0101ED	0101EC
0101EF	0101EE
0101F2	0101F1
0101F3	0101F1
0101F5	0101F4
0101F9	0101F8
0101FB	0101FA
0101FD	0101FC
0101FF	0101FE
010201	010200
010203	010202
010205	010204
010207	010206
010209	010208
01020B	01020A
01020D	01020C
01020F	01020E
010211	010210
010213	010212
010215	010214
010217	010216
010219	010218
01021B	01021A
01021D	01021C
01021F	01021E
010223	010222
010225	010224
010227	010226
010229	010228
01022B	01022A
01022D	01022C
01022F	01022E
010231	010230
010233	010232
01023C	01023B
01023F	012C7E
010240	012C7F
010242	010241
010247	010246
010249	010248
01024B	01024A
01024D	01024C
01024F	01024E
010250	012C6F
010251	012C6D
010252	012C70
010253	010181
010254	010186
010256	010189
010257	01018A
010259	01018F
01025B	010190
010260	010193
010263	010194
010265	01A78D
010266	01A7AA
010268	010197
010269	010196
01026B	012C62
01026F	01019C
010271	012C6E
010272	01019D
010275	01019F
01027D	012C64
010280	0101A6
010283	0101A9
010288	0101AE
010289	010244
01028A	0101B1
01028B	0101B2
01028C	010245
010292	0101B7
010345	010399
010371	010370
010373	010372
010377	010376
01037B	0103FD
01037C	0103FE
01037D	0103FF
0103AC	010386
0103AD	010388
0103AE	010389
0103AF	01038A
0103B1	010391
0103B2	010392
0103B3	010393
0103B4	010394
0103B5	010395
0103B6	010396
0103B7	010397
0103B8	010398
0103B9	010399
0103BA	01039A
0103BB	01039B
0103BC	01039C
0103BD	01039D
0103BE	01039E
0103BF	01039F
0103C0	0103A0
0103C1	0103A1
0103C2	0103A3
0103C3	0103A3
0103C4	0103A4
0103C5	0103A5
0103C6	0103A6
0103C7	0103A7
0103C8	0103A8
0103C9	0103A9
0103CA	0103AA
0103CB	0103AB
0103CC	01038C
0103CD	01038E
0103CE	01038F
0103D0	010392
0103D1	010398
0103D5	0103A6
0103D6	0103A0
0103D7	0103CF
0103D9	0103D8
0103DB	0103DA
0103DD	0103DC
0103DF	0103DE
0103E1	0103E0
0103E3	0103E2
0103E5	0103E4
0103E7	0103E6
0103E9	0103E8
