# Source: http://www.w3.org/html/ig/zh/wiki/Big5-hkscs-vs-uao-in-hk
0123	?01,0123
013639	?02,013639
010233B4	?04,010233B4
01E01F	?05,01E01F
01C5	?05,01C5
01FC	?05,01FC
014E24	?01,014E24
015029	?00,015029
015179	?01,015179
0151B2	?00,0151B2
0151B5	?00,0151B5
0151CF	?00,0151CF
01520B	?00,01520B
0152B9	?01,0152B9
015305	?00,015305
015367	?00,015367
015374	?00,015374
0153A0	?00,0153A0
0153A6	?00,0153A6
0153C1	?00,0153C1
0153D9	?00,0153D9
0153F7	?01,0153F7
015414	?00,015414
015497	?00,015497
015553	?01,015553
01556B	?00,01556B
015572	?00,015572
0155BA	?00,0155BA
015605	?00,015605
015622	?00,015622
015643	?00,015643
01564F	?00,01564F
01565D	?00,01565D
01569F	?00,01569F
0156FD	?00,0156FD
0157D9	?00,0157D9
015803	?00,015803
015BC3	?00,015BC3
015BF3	?00,015BF3
015D57	?00,015D57
015EF8	?00,015EF8
015F3A	?00,015F3A
016148	?00,016148
0163F8	?01,0163F8
0164E7	?00,0164E7
01651E	?00,01651E
0165E0	?00,0165E0
0167B1	?00,0167B1
0167FE	?00,0167FE
016822	?00,016822
016AC8	?00,016AC8
016B74	?01,016B74
016E29	?00,016E29
016E2F	?00,016E2F
016ED9	?00,016ED9
0170DF	?01,0170DF
01714A	?01,01714A
0171DF	?01,0171DF
017371	?01,017371
01743C	?01,01743C
017468	?01,017468
017740	?01,017740
017793	?01,017793
01781C	?01,01781C
0178B1	?01,0178B1
01793C	?01,01793C
017962	?01,017962
017AEA	?02,017AEA
017DAB	?01,017DAB
017EDF	?01,017EDF
0183D3	?01,0183D3
0184AD	?01,0184AD
01885E	?01,01885E
0189A7	?01,0189A7
0189C6	?01,0189C6
018D4E	?01,018D4E
018D77	?01,018D77
018E2A	?01,018E2A
018E46	?01,018E46
018EAD	?01,018EAD
018FF9	?01,018FF9
0190A8	?02,0190A8
0190D1	?02,0190D1
0190FD	?01,0190FD
019176	?03,019176
0194C3	?01,0194C3
0194CA	?01,0194CA
01976D	?01,01976D
019938	?02,019938
019A90	?01,019A90
019DC4	?01,019DC4
019E37	?01,019E37
019FA5	?01,019FA5
