014E00,01500B,01613F	014E00,01500B,019858
014E0D,018981,0191C7	014E0D,018981,0163A1
014E91,016CB3	0196F2,016CB3
014EC0,014E48	014EC0,019EBC
014EE5,01540E	014EE5,015F8C
014F46,01613F	014F46,019858
0151E0,01591A	015E7E,01591A
0151E0,015EA6	015E7E,015EA6
015206,01949F	015206,019418
0153D1,0171D2	01767C,0171D2
01540E,016094	015F8C,016094
01591A,014E48	01591A,019EBC
015F69,014E91	015F69,0196F2
01600E,014E48	01600E,019EBC
01613F,01541B	019858,01541B
016642,01949F	016642,019418
016700,01540E	016700,015F8C
016A4B,016881	016A4B,016A11
016A6B,016881	016A6B,016A11
0179D2,01949F	0179D2,019418
019019,0191CC	019019,0188E1
0190A3,0191CC	0190A3,0188E1
0191C7,016AB3,016994	0163A1,016AB3,016994
0191CC,019762	0188E1,019762
01949F,01611B	01937E,01611B
