#data source: http://www.cns11643.gov.tw
014E00	0401
014E59	0407
014E01	0419
014E03	0418
014E43	043C
014E5D	043F
014E86	0441
014E8C	0410
014EBA	0422
01513F	0426
015165	0424
01516B	0423
0151E0	0427
015200	0439
015201	0409,0402
01529B	043A
015315	0415
015341	0411
01535C	041C
0153C8	043B
014E09	0401,0410
014E0B	0401,041C
014E08	044F
014E0A	041C,0401
014E2B	0403,0431
014E38	0468
0151E1	0427,0405
014E45	0465
014E48	0404,043D
014E5F	0475
014E5E	041F,0407
014E8E	0444
014EA1	042E,040D
015140	0401,0426
015203	0439,0405
0152FA	042B,0405
015343	045F
0153C9	043B,0405
0153E3	0458
01571F	0447
0158EB	0448
015915	0467
015927	044B
015973	0476
015B50	047A
015B51	047A
015B53	047E
015BF8	0452
015C0F	0479
015C22	044C
015C38	046D
015C71	045A
015DDD	0480
015DE5	0449
015DF1	046E
015DF2	0470
015DF3	046F
015DFE	045B
015E72	0443
015EFE	044D
015F0B	0453
015F13	0471
01624D	0455
014E11	04C1
014E10	0486
014E0D	048D
014E2D	049C
014E30	04A5
014E39	04AD
014E4B	04B7
015C39	04C5
014E88	043E,040E,0408
014E91	0410,043D
014E95	0482
014E92	0401,047B
014E94	0490
014EA2	042E,0427
014EC1	0422,0410
014EC0	0422,0411
014EC3	0422,0419
014EC6	0422,041C
014EC7	0422,043F
014ECD	0422,043C
014ECA	0422,0401,040E
014ECB	0422,0420
014EC4	0413,0422
015143	0410,0426
015141	043D,0426
015167	049F
01516D	042E,0423
01516E	0423,041A
01516C	0423,043D
015197	0433,0427
0151F6	0425,0438
015206	0423,0439
015207	0418,0439
015208	0425,0439
0152FB	042B,0410
0152FE	042B,043D
0152FF	04B1
015316	0422,0415
015339	0417,0423
015348	0404,0443
015348	041F,0411
015347	0404,044D
015345	048C
01535E	042E,041C
015384	0413,0436
0153CB	0414,043B
0153CA	04B2
0153CD	0413,043B
0158EC	0401,0448
0158EC	0443,0401
015929	0401,044B
01592B	0483
01592A	044B,0405
01592D	0404,044B
015B54	047A,0407
015C11	0479,0404
015C24	044C,0405
015C3A	046D,0406
015C6F	0491
015DF4	04C2
015E7B	047F,0409
015EFF	0487
015F14	04BF
015F15	0471,0403
015FC3	04B9
016208	0493
016236	04A9
01624B	04A0
01624E	04A0,0407
01652F	0411,043B
016587	04B3
016597	0432,0411
0165A4	04A7
0165B9	042E,0429
0165E5	0498
0166F0	0499
016708	04AB
