#transposed from from/_CCCII.txt
01020000	236122
01020001	2D3023
01020003	2D302B
01020009	236124
0102000B	2D3027
01020013	236125
01020014	236126
01020019	2D6256
0102001A	2D302A
0102001B	237759
0102001D	236B41
01020022	236128
01020025	4B3057
01020026	236127
01020029	2D4660
0102002C	2D6426
01020037	236E3E
01020038	236129
01020039	236E3D
01020041	23612B
01020046	216428
01020049	23667E
01020060	23612F
01020061	2D3465
01020066	2D3034
0102006B	236133
0102006D	236134
01020077	237142
0102007C	236136
0102007D	236137
01020084	23613B
01020086	23613E
01020087	23613D
01020087	2D3C3A
01020087	2D435C
01020090	236142
01020092	236141
01020094	236144
01020095	2D392B
01020095	2D4E21
0102009F	236143
010200A0	2F415F
010200A2	21643B
010200A3	21643A
010200A4	216438
010200A5	236145
010200A7	236146
010200B8	236158
010200B9	236147
010200C3	236149
010200C6	23614A
010200C9	23614D
010200CB	23614C
010200D1	23614B
010200D2	23614E
010200D3	274322
010200D6	23614F
010200DE	2D4E7C
010200E1	236150
010200EB	245E75
010200F8	2D6444
010200FA	236159
010200FD	23615B
01020105	23615F
01020107	2D5D25
01020108	2D6445
0102010C	236160
0102010D	236163
0102010E	236162
0102010E	2D303A
0102010F	236161
01020111	236164
01020113	2D3C35
01020116	236165
0102011A	236166
01020121	393054
01020122	2D4274
0102012D	236168
0102012E	236167
01020131	236169
01020142	23616D
01020148	23616E
0102014C	236171
01020156	2D305F
01020157	237734
0102015A	236172
01020162	2D6452
01020163	236175
01020169	2D3A5C
0102016C	216454
01020171	237743
01020179	242971
01020181	236179
01020187	2D393E
0102018B	23617A
0102018C	2D3C7A
0102018E	23617B
01020190	23617E
01020191	23617C
01020192	23617D
01020199	23774E
0102019A	236222
0102019B	243E37
0102019F	236223
010201A3	236224
010201A4	21645B
010201A4	2D3022
010201A6	2D3041
010201A7	273264
010201A8	273254
010201A9	21646D
010201AE	23693B
010201B0	2D645E
010201B1	236B2B
010201B4	216465
010201B6	23622C
010201B7	2D3B4A
010201BA	236237
010201BB	236231
010201BB	2D6632
010201BD	21647D
010201CB	23622E
010201CF	23623B
010201D0	23622B
