# transpose from from/cp950
014E02	8140
014E04	8141
014E05	8142
014E06	8143
014E0F	8144
014E12	8145
014E17	8146
014E1F	8147
014E20	8148
014E21	8149
014E23	814A
014E26	814B
014E29	814C
014E2E	814D
014E2F	814E
014E31	814F
014E33	8150
014E35	8151
014E37	8152
014E3C	8153
014E40	8154
014E41	8155
014E42	8156
014E44	8157
014E46	8158
014E4A	8159
014E51	815A
014E55	815B
014E57	815C
014E5A	815D
014E5B	815E
014E62	815F
014E63	8160
014E64	8161
014E65	8162
014E67	8163
014E68	8164
014E6A	8165
014E6B	8166
014E6C	8167
014E6D	8168
014E6E	8169
014E6F	816A
014E72	816B
014E74	816C
014E75	816D
014E76	816E
014E77	816F
014E78	8170
014E79	8171
014E7A	8172
014E7B	8173
014E7C	8174
014E7D	8175
014E7F	8176
014E80	8177
014E81	8178
014E82	8179
014E83	817A
014E84	817B
014E85	817C
014E87	817D
014E8A	817E
014E90	8180
014E96	8181
014E97	8182
014E99	8183
014E9C	8184
014E9D	8185
014E9E	8186
014EA3	8187
014EAA	8188
014EAF	8189
014EB0	818A
014EB1	818B
014EB4	818C
014EB6	818D
014EB7	818E
014EB8	818F
014EB9	8190
014EBC	8191
014EBD	8192
014EBE	8193
014EC8	8194
014ECC	8195
014ECF	8196
014ED0	8197
014ED2	8198
014EDA	8199
014EDB	819A
014EDC	819B
014EE0	819C
014EE2	819D
014EE6	819E
014EE7	819F
014EE9	81A0
014EED	81A1
014EEE	81A2
014EEF	81A3
014EF1	81A4
014EF4	81A5
014EF8	81A6
014EF9	81A7
014EFA	81A8
014EFC	81A9
014EFE	81AA
014F00	81AB
014F02	81AC
014F03	81AD
014F04	81AE
014F05	81AF
014F06	81B0
014F07	81B1
014F08	81B2
014F0B	81B3
014F0C	81B4
014F12	81B5
014F13	81B6
014F14	81B7
014F15	81B8
014F16	81B9
014F1C	81BA
014F1D	81BB
014F21	81BC
014F23	81BD
014F28	81BE
014F29	81BF
014F2C	81C0
014F2D	81C1
014F2E	81C2
014F31	81C3
014F33	81C4
014F35	81C5
014F37	81C6
014F39	81C7
014F3B	81C8
014F3E	81C9
014F3F	81CA
014F40	81CB
014F41	81CC
014F42	81CD
014F44	81CE
014F45	81CF
014F47	81D0
014F48	81D1
014F49	81D2
014F4A	81D3
014F4B	81D4
014F4C	81D5
014F52	81D6
014F54	81D7
014F56	81D8
014F61	81D9
014F62	81DA
014F66	81DB
014F68	81DC
014F6A	81DD
014F6B	81DE
014F6D	81DF
014F6E	81E0
014F71	81E1
014F72	81E2
014F75	81E3
014F77	81E4
014F78	81E5
014F79	81E6
014F7A	81E7
014F7D	81E8
014F80	81E9
014F81	81EA
014F82	81EB
014F85	81EC
014F86	81ED
014F87	81EE
014F8A	81EF
014F8C	81F0
014F8E	81F1
014F90	81F2
014F92	81F3
014F93	81F4
014F95	81F5
014F96	81F6
014F98	81F7
014F99	81F8
014F9A	81F9
014F9C	81FA
014F9E	81FB
014F9F	81FC
014FA1	81FD
014FA2	81FE
014FA4	8240
014FAB	8241
014FAD	8242
014FB0	8243
014FB1	8244
014FB2	8245
014FB3	8246
014FB4	8247
014FB6	8248
014FB7	8249
014FB8	824A
014FB9	824B
014FBA	824C
014FBB	824D
014FBC	824E
014FBD	824F
014FBE	8250
014FC0	8251
014FC1	8252
014FC2	8253
014FC6	8254
014FC7	8255
014FC8	8256
014FC9	8257
014FCB	8258
014FCC	8259
014FCD	825A
014FD2	825B
014FD3	825C
014FD4	825D
014FD5	825E
014FD6	825F
014FD9	8260
014FDB	8261
014FE0	8262
014FE2	8263
014FE4	8264
014FE5	8265
014FE7	8266
014FEB	8267
014FEC	8268
014FF0	8269
014FF2	826A
014FF4	826B
014FF5	826C
014FF6	826D
014FF7	826E
014FF9	826F
014FFB	8270
014FFC	8271
014FFD	8272
014FFF	8273
015000	8274
015001	8275
015002	8276
015003	8277
015004	8278
015005	8279
015006	827A
015007	827B
015008	827C
015009	827D
01500A	827E
01500B	8280
01500E	8281
015010	8282
015011	8283
015013	8284
015015	8285
015016	8286
015017	8287
01501B	8288
01501D	8289
01501E	828A
015020	828B
015022	828C
015023	828D
015024	828E
015027	828F
01502B	8290
01502F	8291
015030	8292
015031	8293
015032	8294
015033	8295
015034	8296
015035	8297
015036	8298
015037	8299
015038	829A
015039	829B
01503B	829C
01503D	829D
01503F	829E
015040	829F
015041	82A0
015042	82A1
015044	82A2
015045	82A3
015046	82A4
015049	82A5
01504A	82A6
01504B	82A7
01504D	82A8
015050	82A9
015051	82AA
015052	82AB
015053	82AC
015054	82AD
015056	82AE
015057	82AF
015058	82B0
015059	82B1
01505B	82B2
01505D	82B3
01505E	82B4
01505F	82B5
015060	82B6
015061	82B7
015062	82B8
015063	82B9
015064	82BA
015066	82BB
015067	82BC
015068	82BD
015069	82BE
01506A	82BF
01506B	82C0
01506D	82C1
01506E	82C2
01506F	82C3
015070	82C4
015071	82C5
015072	82C6
015073	82C7
015074	82C8
015075	82C9
015078	82CA
015079	82CB
01507A	82CC
01507C	82CD
01507D	82CE
015081	82CF
015082	82D0
015083	82D1
015084	82D2
015086	82D3
015087	82D4
015089	82D5
01508A	82D6
01508B	82D7
