source:	#data
013000	2121
013001	2122
013002	2123
0130FB	2124
0102C9	2125
0102C7	2126
0100A8	2127
013003	2128
013005	2129
012015	212A
01FF5E	212B
012016	212C
012026	212D
012018	212E
012019	212F
01201C	2130
01201D	2131
013014	2132
013015	2133
013008	2134
013009	2135
01300A	2136
01300B	2137
01300C	2138
01300D	2139
01300E	213A
01300F	213B
013016	213C
013017	213D
013010	213E
013011	213F
0100B1	2140
0100D7	2141
0100F7	2142
012236	2143
012227	2144
012228	2145
012211	2146
01220F	2147
01222A	2148
012229	2149
012208	214A
012237	214B
01221A	214C
0122A5	214D
012225	214E
012220	214F
012312	2150
012299	2151
01222B	2152
01222E	2153
012261	2154
01224C	2155
012248	2156
01223D	2157
01221D	2158
012260	2159
01226E	215A
01226F	215B
012264	215C
012265	215D
01221E	215E
012235	215F
012234	2160
012642	2161
012640	2162
0100B0	2163
012032	2164
012033	2165
012103	2166
01FF04	2167
0100A4	2168
01FFE0	2169
01FFE1	216A
012030	216B
0100A7	216C
012116	216D
012606	216E
012605	216F
0125CB	2170
0125CF	2171
0125CE	2172
0125C7	2173
0125C6	2174
0125A1	2175
0125A0	2176
0125B3	2177
0125B2	2178
01203B	2179
012192	217A
012190	217B
012191	217C
012193	217D
013013	217E
012488	2231
012489	2232
01248A	2233
01248B	2234
01248C	2235
01248D	2236
01248E	2237
01248F	2238
012490	2239
012491	223A
012492	223B
012493	223C
012494	223D
012495	223E
012496	223F
012497	2240
012498	2241
012499	2242
01249A	2243
01249B	2244
012474	2245
012475	2246
012476	2247
012477	2248
012478	2249
012479	224A
01247A	224B
01247B	224C
01247C	224D
01247D	224E
01247E	224F
01247F	2250
012480	2251
012481	2252
012482	2253
012483	2254
012484	2255
012485	2256
012486	2257
012487	2258
012460	2259
012461	225A
012462	225B
012463	225C
012464	225D
012465	225E
012466	225F
012467	2260
012468	2261
012469	2262
013220	2265
013221	2266
013222	2267
013223	2268
013224	2269
013225	226A
013226	226B
013227	226C
013228	226D
013229	226E
012160	2271
012161	2272
012162	2273
012163	2274
012164	2275
012165	2276
012166	2277
012167	2278
012168	2279
012169	227A
01216A	227B
01216B	227C
01FF01	2321
01FF02	2322
01FF03	2323
01FFE5	2324
01FF05	2325
01FF06	2326
01FF07	2327
01FF08	2328
01FF09	2329
01FF0A	232A
01FF0B	232B
01FF0C	232C
01FF0D	232D
01FF0E	232E
01FF0F	232F
01FF10	2330
01FF11	2331
01FF12	2332
01FF13	2333
01FF14	2334
01FF15	2335
01FF16	2336
01FF17	2337
01FF18	2338
01FF19	2339
01FF1A	233A
01FF1B	233B
01FF1C	233C
01FF1D	233D
01FF1E	233E
01FF1F	233F
01FF20	2340
01FF21	2341
01FF22	2342
01FF23	2343
01FF24	2344
01FF25	2345
01FF26	2346
01FF27	2347
01FF28	2348
01FF29	2349
01FF2A	234A
01FF2B	234B
01FF2C	234C
01FF2D	234D
01FF2E	234E
01FF2F	234F
01FF30	2350
01FF31	2351
01FF32	2352
01FF33	2353
01FF34	2354
01FF35	2355
01FF36	2356
01FF37	2357
01FF38	2358
01FF39	2359
01FF3A	235A
01FF3B	235B
01FF3C	235C
01FF3D	235D
01FF3E	235E
01FF3F	235F
01FF40	2360
01FF41	2361
01FF42	2362
01FF43	2363
01FF44	2364
01FF45	2365
01FF46	2366
01FF47	2367
01FF48	2368
01FF49	2369
01FF4A	236A
01FF4B	236B
01FF4C	236C
01FF4D	236D
01FF4E	236E
01FF4F	236F
01FF50	2370
01FF51	2371
01FF52	2372
01FF53	2373
01FF54	2374
01FF55	2375
01FF56	2376
01FF57	2377
01FF58	2378
01FF59	2379
01FF5A	237A
01FF5B	237B
01FF5C	237C
01FF5D	237D
01FFE3	237E
013041	2421
013042	2422
013043	2423
013044	2424
013045	2425
013046	2426
013047	2427
013048	2428
013049	2429
01304A	242A
01304B	242B
01304C	242C
01304D	242D
01304E	242E
01304F	242F
013050	2430
013051	2431
013052	2432
013053	2433
013054	2434
013055	2435
013056	2436
013057	2437
013058	2438
013059	2439
01305A	243A
01305B	243B
01305C	243C
01305D	243D
01305E	243E
01305F	243F
013060	2440
013061	2441
013062	2442
013063	2443
013064	2444
013065	2445
013066	2446
013067	2447
013068	2448
013069	2449
01306A	244A
01306B	244B
01306C	244C
01306D	244D
01306E	244E
01306F	244F
013070	2450
013071	2451
013072	2452
013073	2453
013074	2454
013075	2455
013076	2456
013077	2457
013078	2458
013079	2459
01307A	245A
01307B	245B
01307C	245C
01307D	245D
01307E	245E
01307F	245F
013080	2460
013081	2461
013082	2462
013083	2463
013084	2464
013085	2465
013086	2466
013087	2467
013088	2468
013089	2469
01308A	246A
01308B	246B
01308C	246C
01308D	246D
01308E	246E
01308F	246F
013090	2470
013091	2471
013092	2472
013093	2473
0130A1	2521
0130A2	2522
0130A3	2523
0130A4	2524
0130A5	2525
0130A6	2526
0130A7	2527
0130A8	2528
0130A9	2529
0130AA	252A
0130AB	252B
0130AC	252C
0130AD	252D
0130AE	252E
0130AF	252F
0130B0	2530
0130B1	2531
0130B2	2532
0130B3	2533
0130B4	2534
0130B5	2535
0130B6	2536
0130B7	2537
0130B8	2538
