# transposed and modified from from/IBM-933
0101	?01
010111	?4BA1
010126	?4B44
010127	?4BA3
010131	?4BA4
010132	?4B46
010133	?4BA5
010138	?4BA6
01013F	?4B48
010140	?4BA7
010141	?4B49
010142	?4BA8
010149	?4BAF
01014A	?4B4F
01014B	?4BAE
010152	?4B4B
010153	?4BAA
010166	?4B4E
010167	?4BAD
0101C2	?4160
0102	?02
0102BA	?4994
0102C7	?4955
0102D0	?495E
0102D8	?4956
0102D9	?4959
0102DA	?4958
0102DB	?495B
0102DC	?4954
0102DD	?4957
0103	?03
010391	?4661
010392	?4662
010393	?4663
010394	?4664
010395	?4665
010396	?4666
010397	?4667
010398	?4668
010399	?4669
01039A	?466A
01039B	?466B
01039C	?466C
01039D	?466D
01039E	?466E
01039F	?466F
0103A0	?4670
0103A1	?4671
0103A3	?4672
0103A4	?4673
0103A5	?4674
0103A6	?4675
0103A7	?4676
0103A8	?4677
0103A9	?4678
0103B1	?4681
0103B2	?4682
0103B3	?4683
0103B4	?4684
0103B5	?4685
0103B6	?4686
0103B7	?4687
0103B8	?4688
0103B9	?4689
0103BA	?468A
0103BB	?468B
0103BC	?468C
0103BD	?468D
0103BE	?468E
0103BF	?468F
0103C0	?4690
0103C1	?4691
0103C3	?4692
0103C4	?4693
0103C5	?4694
0103C6	?4695
0103C7	?4696
0103C8	?4697
0103C9	?4698
010401	?4A47
010410	?4A41
010411	?4A42
010412	?4A43
010413	?4A44
010414	?4A45
010415	?4A46
010416	?4A48
010417	?4A49
010418	?4A4A
010419	?4A4B
01041A	?4A4C
01041B	?4A4D
01041C	?4A4E
01041D	?4A4F
01041E	?4A50
01041F	?4A51
010420	?4A52
010421	?4A53
010422	?4A54
010423	?4A55
010424	?4A56
010425	?4A57
010426	?4A58
010427	?4A59
010428	?4A5A
010429	?4A5B
01042A	?4A5C
01042B	?4A5D
01042C	?4A5E
01042D	?4A5F
01042E	?4A60
01042F	?4A61
010430	?4A62
010431	?4A63
010432	?4A64
010433	?4A65
010434	?4A66
010435	?4A67
010436	?4A69
0104	?37
010437	?4A6A
010438	?4A6B
010439	?4A6C
01043A	?4A6D
01043B	?4A6E
01043C	?4A6F
01043D	?4A70
01043E	?4A71
01043F	?4A72
010440	?4A73
010441	?4A74
010442	?4A75
010443	?4A76
010444	?4A77
010445	?4A78
010446	?4A79
010447	?4A7A
010448	?4A7B
010449	?4A7C
01044A	?4A7D
01044B	?4A7E
01044C	?4A7F
01044D	?4A80
01044E	?4A81
01044F	?4A82
010451	?4A68
0105	?2D
0106	?2E
0107	?2F
0108	?16
0109	?05
010A	?25
010B	?0B
010C	?0C
010D	?0D
010E	?0E
010F	?0F
0110	?10
0111	?11
0112	?12
0113	?13
0114	?3C
0115	?3D
0116	?32
0117	?26
0118	?18
0119	?19
011A	?3F
011B	?27
011C	?1C
011D	?1D
011E	?1E
011F	?1F
012010	?4148
012014	?4149
012015	?4149
012018	?414D
012019	?414E
01201C	?414F
01201D	?4150
012020	?4981
012021	?4982
012025	?4144
012026	?4145
012030	?4964
012032	?4166
012033	?4167
01203B	?4177
01203E	?A0
0120	?40
012074	?4BF8
01207F	?4BF9
012081	?4BFA
012082	?4BFB
012083	?4BFC
012084	?4BFD
0120A9	?E0
012103	?4168
012109	?4963
012113	?416F
012116	?498E
012121	?4993
012122	?4990
012126	?4870
01212A	?4169
01212B	?4190
012153	?4B97
012154	?4B98
0121	?5A
01215B	?4B9B
01215C	?4B9C
01215D	?4B9D
01215E	?4B9E
012160	?4650
012161	?4651
012162	?4652
012163	?4653
012164	?4654
012165	?4655
012166	?4656
012167	?4657
012168	?4658
012169	?4659
012170	?4641
012171	?4642
012172	?4643
012173	?4644
012174	?4645
012175	?4646
012176	?4647
012177	?4648
012178	?4649
012179	?464A
012190	?4186
012191	?4187
012192	?4185
012193	?4188
012194	?4189
012195	?4983
012196	?4986
012197	?4984
012198	?4987
012199	?4985
0121D2	?494F
0121D4	?4950
012200	?4951
012202	?4196
012203	?4952
012207	?4197
012208	?4945
01220B	?4946
01220F	?4961
012211	?4960
01221A	?419C
01221D	?4941
01221E	?4163
012220	?4193
012225	?414A
012227	?494D
012228	?494E
012229	?494C
01222A	?494B
01222B	?4943
01222C	?4944
01222E	?495F
012234	?4164
012235	?4942
01223C	?42A1
01223D	?419D
012252	?4199
012260	?418D
012261	?4198
012264	?418E
012265	?418F
012266	?4161
012267	?4162
01226A	?419A
01226B	?419B
0122	?7F
012282	?4949
