0300	00
0301	01
0302	02
0303	03
0304	04
0305	05
0306	06
0307	07
0308	08
0309	09
030A	0A
030B	0B
030C	0C
030D	0D
030E	0E
030F	0F
0310	10
0311	11
0312	12
0313	13
0314	14
0315	15
0316	16
0317	17
0318	18
0319	19
031A	1A
031B	1B
031C	1C
031D	1D
031E	1E
031F	1F
0320	20
0321	21
0322	22
0323	23
0324	24
0325	25
0326	26
0327	27
0328	28
0329	29
032A	2A
032B	2B
032C	2C
032D	2D
032E	2E
032F	2F
0330	30
0331	31
0332	32
0333	33
0334	34
0335	35
0336	36
0337	37
0338	38
0339	39
033A	3A
033B	3B
033C	3C
033D	3D
033E	3E
033F	3F
0340	40
0341	41
0342	42
0343	43
0344	44
0345	45
0346	46
0347	47
0348	48
0349	49
034A	4A
034B	4B
034C	4C
034D	4D
034E	4E
034F	4F
0350	50
0351	51
0352	52
0353	53
0354	54
0355	55
0356	56
0357	57
0358	58
0359	59
035A	5A
035B	5B
035C	5C
035D	5D
035E	5E
035F	5F
0360	60
0361	61
0362	62
0363	63
0364	64
0365	65
0366	66
0367	67
0368	68
0369	69
036A	6A
036B	6B
036C	6C
036D	6D
036E	6E
036F	6F
0370	70
0371	71
0372	72
0373	73
0374	74
0375	75
0376	76
0377	77
0378	78
0379	79
037A	7A
037B	7B
037C	7C
037D	7D
037E	7E
037F	7F
0380	80
0381	81
0382	82
0383	83
0384	84
0385	85
0386	86
0387	87
0388	88
0389	89
038A	8A
038B	8B
038C	8C
038D	8D
038E	8E
038F	8F
0390	90
0391	91
0392	92
0393	93
0394	94
0395	95
0396	96
0397	97
0398	98
0399	99
039A	9A
039B	9B
039C	9C
039D	9D
039E	9E
039F	9F
03A0	A0
03A1	A1
03A2	A2
03A3	A3
03A4	A4
03A5	A5
03A6	A6
03A7	A7
03A8	A8
03A9	A9
03AA	AA
03AB	AB
03AC	AC
03AD	AD
03AE	AE
03AF	AF
03B0	B0
03B1	B1
03B2	B2
03B3	B3
03B4	B4
03B5	B5
03B6	B6
03B7	B7
03B8	B8
03B9	B9
03BA	BA
03BB	BB
03BC	BC
03BD	BD
03BE	BE
03BF	BF
03C0	C0
03C1	C1
03C2	C2
03C3	C3
03C4	C4
03C5	C5
03C6	C6
03C7	C7
03C8	C8
03C9	C9
03CA	CA
03CB	CB
03CC	CC
03CD	CD
03CE	CE
03CF	CF
03D0	D0
03D1	D1
03D2	D2
03D3	D3
03D4	D4
03D5	D5
03D6	D6
03D7	D7
03D8	D8
03D9	D9
03DA	DA
03DB	DB
03DC	DC
03DD	DD
03DE	DE
03DF	DF
03E0	E0
03E1	E1
03E2	E2
03E3	E3
03E4	E4
03E5	E5
03E6	E6
03E7	E7
03E8	E8
03E9	E9
03EA	EA
03EB	EB
03EC	EC
03ED	ED
03EE	EE
03EF	EF
03F0	F0
03F1	F1
03F2	F2
03F3	F3
03F4	F4
03F5	F5
03F6	F6
03F7	F7
03F8	F8
03F9	F9
03FA	FA
03FB	FB
03FC	FC
03FD	FD
03FE	FE
03FF	FF
