#transposed from from/_CP1251.txt
010402	80
010403	81
01201A	82
010453	83
01201E	84
012026	85
012020	86
012021	87
0120AC	88
012030	89
010409	8A
012039	8B
01040A	8C
01040C	8D
01040B	8E
01040F	8F
010452	90
012018	91
012019	92
01201C	93
01201D	94
012022	95
012013	96
012014	97
012122	99
010459	9A
01203A	9B
01045A	9C
01045C	9D
01045B	9E
01045F	9F
01A0	A0
01040E	A1
01045E	A2
010408	A3
01A4	A4
010490	A5
01A6	A6
01A7	A7
010401	A8
01A9	A9
010404	AA
01AB	AB
01AC	AC
01AD	AD
01AE	AE
010407	AF
01B0	B0
01B1	B1
010406	B2
010456	B3
010491	B4
01B5	B5
01B6	B6
01B7	B7
010451	B8
012116	B9
010454	BA
01BB	BB
010458	BC
010405	BD
010455	BE
010457	BF
010410	C0
010411	C1
010412	C2
010413	C3
010414	C4
010415	C5
010416	C6
010417	C7
010418	C8
010419	C9
01041A	CA
01041B	CB
01041C	CC
01041D	CD
01041E	CE
01041F	CF
010420	D0
010421	D1
010422	D2
010423	D3
010424	D4
010425	D5
010426	D6
010427	D7
010428	D8
010429	D9
01042A	DA
01042B	DB
01042C	DC
01042D	DD
01042E	DE
01042F	DF
010430	E0
010431	E1
010432	E2
010433	E3
010434	E4
010435	E5
010436	E6
010437	E7
010438	E8
010439	E9
01043A	EA
01043B	EB
01043C	EC
01043D	ED
01043E	EE
01043F	EF
010440	F0
010441	F1
010442	F2
010443	F3
010444	F4
010445	F5
010446	F6
010447	F7
010448	F8
010449	F9
01044A	FA
01044B	FB
01044C	FC
01044D	FD
01044E	FE
01044F	FF
