#transposed from from/_CP1252.txt
0120AC	80
01201A	82
010192	83
01201E	84
012026	85
012020	86
012021	87
0102C6	88
012030	89
010160	8A
012039	8B
010152	8C
01017D	8E
012018	91
012019	92
01201C	93
01201D	94
012022	95
012013	96
012014	97
0102DC	98
012122	99
010161	9A
01203A	9B
010153	9C
01017E	9E
010178	9F
01A0	A0
01A1	A1
01A2	A2
01A3	A3
01A4	A4
01A5	A5
01A6	A6
01A7	A7
01A8	A8
01A9	A9
01AA	AA
01AB	AB
01AC	AC
01AD	AD
01AE	AE
01AF	AF
01B0	B0
01B1	B1
01B2	B2
01B3	B3
01B4	B4
01B5	B5
01B6	B6
01B7	B7
01B8	B8
01B9	B9
01BA	BA
01BB	BB
01BC	BC
01BD	BD
01BE	BE
01BF	BF
01C0	C0
01C1	C1
01C2	C2
01C3	C3
01C4	C4
01C5	C5
01C6	C6
01C7	C7
01C8	C8
01C9	C9
01CA	CA
01CB	CB
01CC	CC
01CD	CD
01CE	CE
01CF	CF
01D0	D0
01D1	D1
01D2	D2
01D3	D3
01D4	D4
01D5	D5
01D6	D6
01D7	D7
01D8	D8
01D9	D9
01DA	DA
01DB	DB
01DC	DC
01DD	DD
01DE	DE
01DF	DF
01E0	E0
01E1	E1
01E2	E2
01E3	E3
01E4	E4
01E5	E5
01E6	E6
01E7	E7
01E8	E8
01E9	E9
01EA	EA
01EB	EB
01EC	EC
01ED	ED
01EE	EE
01EF	EF
01F0	F0
01F1	F1
01F2	F2
01F3	F3
01F4	F4
01F5	F5
01F6	F6
01F7	F7
01F8	F8
01F9	F9
01FA	FA
01FB	FB
01FC	FC
01FD	FD
01FE	FE
01FF	FF
