# transposed from from/_CP1253
0120AC	80
01201A	82
010192	83
01201E	84
012026	85
012020	86
012021	87
012030	89
012039	8B
012018	91
012019	92
01201C	93
01201D	94
012022	95
012013	96
012014	97
012122	99
01203A	9B
0100A0	A0
010385	A1
010386	A2
0100A3	A3
0100A4	A4
0100A5	A5
0100A6	A6
0100A7	A7
0100A8	A8
0100A9	A9
0100AB	AB
0100AC	AC
0100AD	AD
0100AE	AE
012015	AF
0100B0	B0
0100B1	B1
0100B2	B2
0100B3	B3
010384	B4
0100B5	B5
0100B6	B6
0100B7	B7
010388	B8
010389	B9
01038A	BA
0100BB	BB
01038C	BC
0100BD	BD
01038E	BE
01038F	BF
010390	C0
010391	C1
010392	C2
010393	C3
010394	C4
010395	C5
010396	C6
010397	C7
010398	C8
010399	C9
01039A	CA
01039B	CB
01039C	CC
01039D	CD
01039E	CE
01039F	CF
0103A0	D0
0103A1	D1
0103A3	D3
0103A4	D4
0103A5	D5
0103A6	D6
0103A7	D7
0103A8	D8
0103A9	D9
0103AA	DA
0103AB	DB
0103AC	DC
0103AD	DD
0103AE	DE
0103AF	DF
0103B0	E0
0103B1	E1
0103B2	E2
0103B3	E3
0103B4	E4
0103B5	E5
0103B6	E6
0103B7	E7
0103B8	E8
0103B9	E9
0103BA	EA
0103BB	EB
0103BC	EC
0103BD	ED
0103BE	EE
0103BF	EF
0103C0	F0
0103C1	F1
0103C2	F2
0103C3	F3
0103C4	F4
0103C5	F5
0103C6	F6
0103C7	F7
0103C8	F8
0103C9	F9
0103CA	FA
0103CB	FB
0103CC	FC
0103CD	FD
0103CE	FE
