#transposed from from/_CP874
0120AC	80
012026	85
012018	91
012019	92
01201C	93
01201D	94
012022	95
012013	96
012014	97
0100A0	A0
010E01	A1
010E02	A2
010E03	A3
010E04	A4
010E05	A5
010E06	A6
010E07	A7
010E08	A8
010E09	A9
010E0A	AA
010E0B	AB
010E0C	AC
010E0D	AD
010E0E	AE
010E0F	AF
010E10	B0
010E11	B1
010E12	B2
010E13	B3
010E14	B4
010E15	B5
010E16	B6
010E17	B7
010E18	B8
010E19	B9
010E1A	BA
010E1B	BB
010E1C	BC
010E1D	BD
010E1E	BE
010E1F	BF
010E20	C0
010E21	C1
010E22	C2
010E23	C3
010E24	C4
010E25	C5
010E26	C6
010E27	C7
010E28	C8
010E29	C9
010E2A	CA
010E2B	CB
010E2C	CC
010E2D	CD
010E2E	CE
010E2F	CF
010E30	D0
010E31	D1
010E32	D2
010E33	D3
010E34	D4
010E35	D5
010E36	D6
010E37	D7
010E38	D8
010E39	D9
010E3A	DA
010E3F	DF
010E40	E0
010E41	E1
010E42	E2
010E43	E3
010E44	E4
010E45	E5
010E46	E6
010E47	E7
010E48	E8
010E49	E9
010E4A	EA
010E4B	EB
010E4C	EC
010E4D	ED
010E4E	EE
010E4F	EF
010E50	F0
010E51	F1
010E52	F2
010E53	F3
010E54	F4
010E55	F5
010E56	F6
010E57	F7
010E58	F8
010E59	F9
010E5A	FA
010E5B	FB
