#transposed from from/_CP949.txt
01AC02	8141
01AC03	8142
01AC05	8143
01AC06	8144
01AC0B	8145
01AC0C	8146
01AC0D	8147
01AC0E	8148
01AC0F	8149
01AC18	814A
01AC1E	814B
01AC1F	814C
01AC21	814D
01AC22	814E
01AC23	814F
01AC25	8150
01AC26	8151
01AC27	8152
01AC28	8153
01AC29	8154
01AC2A	8155
01AC2B	8156
01AC2E	8157
01AC32	8158
01AC33	8159
01AC34	815A
01AC35	8161
01AC36	8162
01AC37	8163
01AC3A	8164
01AC3B	8165
01AC3D	8166
01AC3E	8167
01AC3F	8168
01AC41	8169
01AC42	816A
01AC43	816B
01AC44	816C
01AC45	816D
01AC46	816E
01AC47	816F
01AC48	8170
01AC49	8171
01AC4A	8172
01AC4C	8173
01AC4E	8174
01AC4F	8175
01AC50	8176
01AC51	8177
01AC52	8178
01AC53	8179
01AC55	817A
01AC56	8181
01AC57	8182
01AC59	8183
01AC5A	8184
01AC5B	8185
01AC5D	8186
01AC5E	8187
01AC5F	8188
01AC60	8189
01AC61	818A
01AC62	818B
01AC63	818C
01AC64	818D
01AC65	818E
01AC66	818F
01AC67	8190
01AC68	8191
01AC69	8192
01AC6A	8193
01AC6B	8194
01AC6C	8195
01AC6D	8196
01AC6E	8197
01AC6F	8198
01AC72	8199
01AC73	819A
01AC75	819B
01AC76	819C
01AC79	819D
01AC7B	819E
01AC7C	819F
01AC7D	81A0
01AC7E	81A1
01AC7F	81A2
01AC82	81A3
01AC87	81A4
01AC88	81A5
01AC8D	81A6
01AC8E	81A7
01AC8F	81A8
01AC91	81A9
01AC92	81AA
01AC93	81AB
01AC95	81AC
01AC96	81AD
01AC97	81AE
01AC98	81AF
01AC99	81B0
01AC9A	81B1
01AC9B	81B2
01AC9E	81B3
01ACA2	81B4
01ACA3	81B5
01ACA4	81B6
01ACA5	81B7
01ACA6	81B8
01ACA7	81B9
01ACAB	81BA
01ACAD	81BB
01ACAE	81BC
01ACB1	81BD
01ACB2	81BE
01ACB3	81BF
01ACB4	81C0
01ACB5	81C1
01ACB6	81C2
01ACB7	81C3
01ACBA	81C4
01ACBE	81C5
01ACBF	81C6
01ACC0	81C7
01ACC2	81C8
01ACC3	81C9
01ACC5	81CA
01ACC6	81CB
01ACC7	81CC
01ACC9	81CD
01ACCA	81CE
01ACCB	81CF
01ACCD	81D0
01ACCE	81D1
01ACCF	81D2
01ACD0	81D3
01ACD1	81D4
01ACD2	81D5
01ACD3	81D6
01ACD4	81D7
01ACD6	81D8
01ACD8	81D9
01ACD9	81DA
01ACDA	81DB
01ACDB	81DC
01ACDC	81DD
01ACDD	81DE
01ACDE	81DF
01ACDF	81E0
01ACE2	81E1
01ACE3	81E2
01ACE5	81E3
01ACE6	81E4
01ACE9	81E5
01ACEB	81E6
01ACED	81E7
01ACEE	81E8
01ACF2	81E9
01ACF4	81EA
01ACF7	81EB
01ACF8	81EC
01ACF9	81ED
