#transposed from from/SHIFT-JIS.txt
013000	8140
013001	8141
013002	8142
01FF0C	8143
01FF0E	8144
0130FB	8145
01FF1A	8146
01FF1B	8147
01FF1F	8148
01FF01	8149
01309B	814A
01309C	814B
01B4	814C
01FF40	814D
01A8	814E
01FF3E	814F
01FFE3	8150
01FF3F	8151
0130FD	8152
0130FE	8153
01309D	8154
01309E	8155
013003	8156
014EDD	8157
013005	8158
013006	8159
013007	815A
0130FC	815B
012015	815C
012010	815D
01FF0F	815E
015C	815F
01301C	8160
012016	8161
01FF5C	8162
012026	8163
012025	8164
012018	8165
012019	8166
01201C	8167
01201D	8168
01FF08	8169
01FF09	816A
013014	816B
013015	816C
01FF3B	816D
01FF3D	816E
01FF5B	816F
01FF5D	8170
013008	8171
013009	8172
01300A	8173
01300B	8174
01300C	8175
01300D	8176
01300E	8177
01300F	8178
013010	8179
013011	817A
01FF0B	817B
012212	817C
01B1	817D
01D7	817E
01F7	8180
01FF1D	8181
012260	8182
01FF1C	8183
01FF1E	8184
012266	8185
012267	8186
01221E	8187
012234	8188
012642	8189
012640	818A
01B0	818B
012032	818C
012033	818D
012103	818E
01FFE5	818F
01FF04	8190
01A2	8191
01A3	8192
01FF05	8193
01FF03	8194
01FF06	8195
01FF0A	8196
01FF20	8197
01A7	8198
012606	8199
012605	819A
0125CB	819B
0125CF	819C
0125CE	819D
0125C7	819E
0125C6	819F
0125A1	81A0
0125A0	81A1
0125B3	81A2
0125B2	81A3
0125BD	81A4
0125BC	81A5
01203B	81A6
013012	81A7
012192	81A8
012190	81A9
012191	81AA
012193	81AB
013013	81AC
012208	81B8
01220B	81B9
012286	81BA
012287	81BB
012282	81BC
012283	81BD
01222A	81BE
012229	81BF
012227	81C8
012228	81C9
01AC	81CA
0121D2	81CB
0121D4	81CC
012200	81CD
012203	81CE
012220	81DA
0122A5	81DB
012312	81DC
012202	81DD
012207	81DE
012261	81DF
012252	81E0
01226A	81E1
01226B	81E2
01221A	81E3
01223D	81E4
01221D	81E5
012235	81E6
01222B	81E7
01222C	81E8
01212B	81F0
012030	81F1
01266F	81F2
01266D	81F3
01266A	81F4
012020	81F5
012021	81F6
01B6	81F7
0125EF	81FC
01FF10	824F
01FF11	8250
01FF12	8251
01FF13	8252
01FF14	8253
01FF15	8254
01FF16	8255
01FF17	8256
01FF18	8257
01FF19	8258
01FF21	8260
01FF22	8261
01FF23	8262
01FF24	8263
01FF25	8264
01FF26	8265
01FF27	8266
01FF28	8267
01FF29	8268
01FF2A	8269
01FF2B	826A
01FF2C	826B
01FF2D	826C
01FF2E	826D
01FF2F	826E
01FF30	826F
01FF31	8270
01FF32	8271
01FF33	8272
01FF34	8273
01FF35	8274
01FF36	8275
01FF37	8276
01FF38	8277
01FF39	8278
01FF3A	8279
01FF41	8281
01FF42	8282
01FF43	8283
01FF44	8284
01FF45	8285
01FF46	8286
01FF47	8287
01FF48	8288
01FF49	8289
01FF4A	828A
01FF4B	828B
01FF4C	828C
01FF4D	828D
01FF4E	828E
01FF4F	828F
01FF50	8290
01FF51	8291
01FF52	8292
01FF53	8293
01FF54	8294
01FF55	8295
01FF56	8296
01FF57	8297
01FF58	8298
01FF59	8299
01FF5A	829A
013041	829F
013042	82A0
013043	82A1
013044	82A2
013045	82A3
013046	82A4
013047	82A5
013048	82A6
013049	82A7
01304A	82A8
01304B	82A9
01304C	82AA
01304D	82AB
01304E	82AC
01304F	82AD
013050	82AE
013051	82AF
013052	82B0
013053	82B1
013054	82B2
013055	82B3
