# Source: http://www.opensource.apple.com/source/ICU/ICU-491.11.1/icuSources/data/mappings/ibm-37_P100-1995.ucm?txt
01	0101
02	0102
03	0103
04	019C
05	0109
06	0186
07	017F
08	0197
09	018D
0A	018E
0B	010B
0C	010C
0D	010D
0E	010E
0F	010F
10	0110
11	0111
12	0112
13	0113
14	019D
15	0185
16	0108
17	0187
18	0118
19	0119
1A	0192
1B	018F
1C	011C
1D	011D
1E	011E
1F	011F
20	0180
21	0181
22	0182
23	0183
24	0184
25	010A
26	0117
27	011B
28	0188
29	0189
2A	018A
2B	018B
2C	018C
2D	0105
2E	0106
2F	0107
30	0190
31	0191
32	0116
33	0193
34	0194
35	0195
36	0196
37	0104
38	0198
39	0199
3A	019A
3B	019B
3C	0114
3D	0115
3E	019E
3F	011A
40	0120
41	01A0
42	01E2
43	01E4
44	01E0
45	01E1
46	01E3
47	01E5
48	01E7
49	01F1
4A	01A2
4B	012E
4B	01FF0E
4C	013C
4C	01FF1C
4D	0128
4D	01FF08
4E	012B
4E	01FF0B
4F	017C
4F	01FF5C
50	0126
50	01FF06
51	01E9
52	01EA
53	01EB
54	01E8
55	01ED
56	01EE
57	01EF
58	01EC
59	01DF
5A	0121
5A	01FF01
5B	0124
5B	01FF04
5C	012A
5C	01FF0A
5D	0129
5D	01FF09
5E	013B
5E	01FF1B
5F	01AC
60	012D
60	01FF0D
61	012F
61	01FF0F
62	01C2
63	01C4
64	01C0
65	01C1
66	01C3
67	01C5
68	01C7
69	01D1
6A	01A6
6B	012C
6B	01FF0C
6C	0125
6C	01FF05
6D	015F
6D	01FF3F
6E	013E
6E	01FF1E
6F	013F
6F	01FF1F
70	01F8
71	01C9
72	01CA
73	01CB
74	01C8
75	01CD
76	01CE
77	01CF
78	01CC
79	0160
79	01FF40
7A	013A
7A	01FF1A
7B	0123
7B	01FF03
7C	0140
7C	01FF20
7D	0127
7D	01FF07
7E	013D
7E	01FF1D
7F	0122
7F	01FF02
80	01D8
81	0161
81	01FF41
82	0162
82	01FF42
83	0163
83	01FF43
84	0164
84	01FF44
85	0165
85	01FF45
86	0166
86	01FF46
87	0167
87	01FF47
88	0168
88	01FF48
89	0169
89	01FF49
8A	01AB
8B	01BB
8C	01F0
8D	01FD
8E	01FE
8F	01B1
90	01B0
91	016A
91	01FF4A
92	016B
92	01FF4B
93	016C
93	01FF4C
94	016D
94	01FF4D
95	016E
95	01FF4E
96	016F
96	01FF4F
97	0170
97	01FF50
98	0171
98	01FF51
99	0172
99	01FF52
9A	01AA
9B	01BA
9C	01E6
9D	01B8
9E	01C6
9F	01A4
A0	01B5
A1	017E
A1	01FF5E
A2	0173
A2	01FF53
A3	0174
A3	01FF54
A4	0175
A4	01FF55
A5	0176
A5	01FF56
A6	0177
A6	01FF57
A7	0178
A7	01FF58
A8	0179
A8	01FF59
A9	017A
A9	01FF5A
AA	01A1
AB	01BF
AC	010110
AC	01D0
AD	01DD
AE	01DE
AF	01AE
B0	015E
B0	01FF3E
B1	01A3
B2	01A5
B3	01B7
B4	01A9
B5	01A7
B6	01B6
B7	01BC
B8	01BD
B9	01BE
BA	015B
BA	01FF3B
BB	015D
BB	01FF3D
BC	01203E
BC	01AF
BD	01A8
BE	01B4
BF	01D7
C0	017B
C0	01FF5B
C1	0141
C1	01FF21
C2	0142
C2	01FF22
C3	0143
C3	01FF23
C4	0144
C4	01FF24
C5	0145
C5	01FF25
C6	0146
C6	01FF26
C7	0147
C7	01FF27
C8	0148
C8	01FF28
C9	0149
C9	01FF29
CA	01AD
CB	01F4
CC	01F6
CD	01F2
CE	01F3
CF	01F5
D0	017D
D0	01FF5D
D1	014A
D1	01FF2A
D2	014B
D2	01FF2B
D3	014C
D3	01FF2C
D4	014D
D4	01FF2D
D5	014E
D5	01FF2E
D6	014F
D6	01FF2F
D7	0150
D7	01FF30
D8	0151
D8	01FF31
D9	0152
D9	01FF32
DA	01B9
DB	01FB
DC	01FC
DD	01F9
DE	01FA
DF	01FF
E0	015C
E0	01FF3C
E1	01F7
E2	0153
E2	01FF33
E3	0154
E3	01FF34
E4	0155
E4	01FF35
E5	0156
E5	01FF36
E6	0157
E6	01FF37
E7	0158
E7	01FF38
E8	0159
E8	01FF39
E9	015A
E9	01FF3A
EA	01B2
EB	01D4
EC	01D6
ED	01D2
EE	01D3
EF	01D5
F0	0130
F0	01FF10
F1	0131
F1	01FF11
F2	0132
F2	01FF12
F3	0133
F3	01FF13
F4	0134
F4	01FF14
F5	0135
F5	01FF15
F6	0136
F6	01FF16
F7	0137
F7	01FF17
F8	0138
F8	01FF18
F9	0139
F9	01FF19
FA	01B3
FB	01DB
FC	01DC
FD	01D9
FE	01DA
FF	019F
