# http://unicode.org/Public/MAPPINGS/VENDORS/MICSFT/WINDOWS/CP936.TXT
# Language:     Simplified     Chinese
# Family:       GB2312(?)
#
80    0120AC
8140	014E02
8141	014E04
8142	014E05
8143	014E06
8144	014E0F
8145	014E12
8146	014E17
8147	014E1F
8148	014E20
8149	014E21
814A	014E23
814B	014E26
814C	014E29
814D	014E2E
814E	014E2F
814F	014E31
8150	014E33
8151	014E35
8152	014E37
8153	014E3C
8154	014E40
8155	014E41
8156	014E42
8157	014E44
8158	014E46
8159	014E4A
815A	014E51
815B	014E55
815C	014E57
815D	014E5A
815E	014E5B
815F	014E62
8160	014E63
8161	014E64
8162	014E65
8163	014E67
8164	014E68
8165	014E6A
8166	014E6B
8167	014E6C
8168	014E6D
8169	014E6E
816A	014E6F
816B	014E72
816C	014E74
816D	014E75
816E	014E76
816F	014E77
8170	014E78
8171	014E79
8172	014E7A
8173	014E7B
8174	014E7C
8175	014E7D
8176	014E7F
8177	014E80
8178	014E81
8179	014E82
817A	014E83
817B	014E84
817C	014E85
817D	014E87
817E	014E8A
8180	014E90
8181	014E96
8182	014E97
8183	014E99
8184	014E9C
8185	014E9D
8186	014E9E
8187	014EA3
8188	014EAA
8189	014EAF
818A	014EB0
818B	014EB1
818C	014EB4
818D	014EB6
818E	014EB7
818F	014EB8
8190	014EB9
8191	014EBC
8192	014EBD
8193	014EBE
8194	014EC8
8195	014ECC
8196	014ECF
8197	014ED0
8198	014ED2
8199	014EDA
819A	014EDB
819B	014EDC
819C	014EE0
819D	014EE2
819E	014EE6
819F	014EE7
81A0	014EE9
81A1	014EED
81A2	014EEE
81A3	014EEF
81A4	014EF1
81A5	014EF4
81A6	014EF8
81A7	014EF9
81A8	014EFA
81A9	014EFC
81AA	014EFE
81AB	014F00
81AC	014F02
81AD	014F03
81AE	014F04
81AF	014F05
81B0	014F06
81B1	014F07
81B2	014F08
81B3	014F0B
81B4	014F0C
81B5	014F12
81B6	014F13
81B7	014F14
81B8	014F15
81B9	014F16
81BA	014F1C
81BB	014F1D
81BC	014F21
81BD	014F23
81BE	014F28
81BF	014F29
81C0	014F2C
81C1	014F2D
81C2	014F2E
