# source: ftp://ftp.unicode.org/Public/MAPPINGS/OBSOLETE/EASTASIA/JIS/JIS0208.TXT
2121	013000
2122	013001
2123	013002
2124	01FF0C
2125	01FF0E
2126	0130FB
2127	01FF1A
2128	01FF1B
2129	01FF1F
212A	01FF01
212B	01309B
212C	01309C
212D	01B4
212E	01FF40
212F	01A8
2130	01FF3E
2131	01FFE3
2132	01FF3F
2133	0130FD
2134	0130FE
2135	01309D
2136	01309E
2137	013003
2138	014EDD
2139	013005
213A	013006
213B	013007
213C	0130FC
213D	012015
213E	012010
213F	01FF0F
2140	015C
2141	01301C
2142	012016
2143	01FF5C
2144	012026
2145	012025
2146	012018
2147	012019
2148	01201C
2149	01201D
214A	01FF08
214B	01FF09
214C	013014
214D	013015
214E	01FF3B
214F	01FF3D
2150	01FF5B
2151	01FF5D
2152	013008
2153	013009
2154	01300A
2155	01300B
2156	01300C
2157	01300D
2158	01300E
2159	01300F
215A	013010
215B	013011
215C	01FF0B
215D	012212
215E	01B1
215F	01D7
2160	01F7
2161	01FF1D
2162	012260
2163	01FF1C
2164	01FF1E
2165	012266
2166	012267
2167	01221E
2168	012234
2169	012642
216A	012640
216B	01B0
216C	012032
216D	012033
216E	012103
216F	01FFE5
2170	01FF04
2171	01A2
2172	01A3
2173	01FF05
2174	01FF03
2175	01FF06
2176	01FF0A
2177	01FF20
2178	01A7
2179	012606
217A	012605
217B	0125CB
217C	0125CF
217D	0125CE
217E	0125C7
2221	0125C6
2222	0125A1
2223	0125A0
2224	0125B3
2225	0125B2
2226	0125BD
2227	0125BC
2228	01203B
2229	013012
222A	012192
222B	012190
222C	012191
222D	012193
222E	013013
223A	012208
223B	01220B
223C	012286
223D	012287
223E	012282
223F	012283
2240	01222A
2241	012229
224A	012227
224B	012228
224C	01AC
224D	0121D2
224E	0121D4
224F	012200
2250	012203
225C	012220
225D	0122A5
225E	012312
225F	012202
2260	012207
2261	012261
2262	012252
2263	01226A
2264	01226B
2265	01221A
2266	01223D
2267	01221D
2268	012235
2269	01222B
226A	01222C
2272	01212B
2273	012030
2274	01266F
2275	01266D
2276	01266A
2277	012020
2278	012021
2279	01B6
227E	0125EF
2330	01FF10
