#source: http://unicode.org/Public/MAPPINGS/OBSOLETE/EASTASIA/JIS/JIS0212.TXT
222F	0102D8
2230	0102C7
2231	01B8
2232	0102D9
2233	0102DD
2234	01AF
2235	0102DB
2236	0102DA
2237	017E
2238	010384
2239	010385
2242	01A1
2243	01A6
2244	01BF
226B	01BA
226C	01AA
226D	01A9
226E	01AE
226F	012122
2270	01A4
2271	012116
2661	010386
2662	010388
2663	010389
2664	01038A
2665	0103AA
2667	01038C
2669	01038E
266A	0103AB
266C	01038F
2671	0103AC
2672	0103AD
2673	0103AE
2674	0103AF
2675	0103CA
2676	010390
2677	0103CC
2678	0103C2
2679	0103CD
267A	0103CB
267B	0103B0
267C	0103CE
2742	010402
2743	010403
2744	010404
2745	010405
2746	010406
2747	010407
2748	010408
2749	010409
274A	01040A
274B	01040B
274C	01040C
274D	01040E
274E	01040F
2772	010452
2773	010453
2774	010454
2775	010455
2776	010456
2777	010457
2778	010458
2779	010459
277A	01045A
277B	01045B
277C	01045C
277D	01045E
277E	01045F
2921	01C6
2922	010110
2924	010126
2926	010132
2928	010141
2929	01013F
292B	01014A
292C	01D8
292D	010152
292F	010166
2930	01DE
2941	01E6
2942	010111
2943	01F0
2944	010127
2945	010131
2946	010133
2947	010138
2948	010142
2949	010140
294A	010149
294B	01014B
294C	01F8
294D	010153
294E	01DF
294F	010167
2950	01FE
2A21	01C1
2A22	01C0
2A23	01C4
2A24	01C2
2A25	010102
2A26	0101CD
2A27	010100
2A28	010104
2A29	01C5
2A2A	01C3
2A2B	010106
2A2C	010108
2A2D	01010C
2A2E	01C7
2A2F	01010A
2A30	01010E
2A31	01C9
2A32	01C8
2A33	01CB
2A34	01CA
2A35	01011A
2A36	010116
2A37	010112
2A38	010118
2A3A	01011C
2A3B	01011E
2A3C	010122
2A3D	010120
2A3E	010124
2A3F	01CD
2A40	01CC
2A41	01CF
2A42	01CE
2A43	0101CF
2A44	010130
2A45	01012A
2A46	01012E
2A47	010128
2A48	010134
2A49	010136
2A4A	010139
2A4B	01013D
2A4C	01013B
2A4D	010143
2A4E	010147
2A4F	010145
2A50	01D1
2A51	01D3
2A52	01D2
2A53	01D6
2A54	01D4
2A55	0101D1
2A56	010150
2A57	01014C
2A58	01D5
2A59	010154
2A5A	010158
2A5B	010156
2A5C	01015A
2A5D	01015C
2A5E	010160
2A5F	01015E
2A60	010164
2A61	010162
2A62	01DA
2A63	01D9
2A64	01DC
2A65	01DB
2A66	01016C
2A67	0101D3
2A68	010170
2A69	01016A
2A6A	010172
2A6B	01016E
2A6C	010168
2A6D	0101D7
2A6E	0101DB
2A6F	0101D9
2A70	0101D5
2A71	010174
2A72	01DD
2A73	010178
2A74	010176
2A75	010179
2A76	01017D
2A77	01017B
2B21	01E1
2B22	01E0
2B23	01E4
2B24	01E2
2B25	010103
2B26	0101CE
2B27	010101
2B28	010105
2B29	01E5
2B2A	01E3
2B2B	010107
2B2C	010109
