01020003	014E14
0102000B	014E08
01020019	019E97
0102001A	014E0D
01020024	014E26
01020029	016C40
0102002C	013401
01020066	014E2D
010200A0	0191C6
010200DE	0179AE
010200F8	014E84
01020107	01916A
01020108	014E83
01020121	014E94
01020162	014EB3
01020169	015B70
01020187	015967
0102018C	015EB8
010201B0	014EC9
010201BB	014FD3
010201DA	017532
010201FE	014F11
01020201	014EDB
01020206	015020
01020208	014F4C
0102020E	014F88
01020213	015006
01020223	018001
01020229	015082
01020255	014F7F
01020256	014F94
0102026B	014FC7
0102026E	015026
01020293	01508D
01020296	014F8B
010202A8	0150CE
010202A9	0150DD
010202AB	014F9A
010202B1	015019
010202B3	014FBF
010202B6	015AB5
010202BE	01777D
010202D2	01547D
010202DB	018129
010202E3	01501A
010202F1	0150C1
010202FC	014FC1
010202FD	013493
010202FF	014FB3
01020320	01509C
0102033C	015104
0102035F	0153EF
0102036C	01502C
0102036E	015015
01020377	0150F0
0102037B	015114
010203A1	01506D
010203B2	015046
010203BC	0150C4
010203D7	0150DA
010203EA	0134A0
010203EC	014FDC
0102041A	015137
0102041B	015107
01020427	01511A
01020431	01501D
01020433	015122
0102043F	0185A8
01020472	0150C9
0102047D	015145
01020486	015152
010204B0	015B32
010204B1	0150FB
010204DB	014EBC
01020540	017F54
01020545	01518D
01020549	017A74
0102054B	01518A
0102054D	015B98
0102056A	019F0F
01020575	014EA2
010205A0	0153E4
010205B8	0151D4
010205E7	0151D8
01020615	017199
01020621	0151DC
01020624	0151B7
01020632	015927
01020636	015426
01020652	018CF5
01020675	0153E3
01020678	017518
01020692	019F52
010206B3	01520C
010206C9	0134DE
010206D2	015233
010206EC	015211
010206EE	015276
01020707	01523B
01020713	015254
0102071F	015248
01020728	0152BE
01020738	015291
0102073A	015217
0102073E	015282
01020765	015232
01020790	015249
010207AB	01523B
010207FD	015280
01020800	01350D
01020803	013510
01020832	01529B
0102086B	0152E9
01020892	013521
010208A4	0161A0
010208A5	013517
010208BF	013523
010208C1	0152DE
010208C3	0152E5
010208D9	0165EC
010208DE	018ECD
010208E9	017D04
010208F5	015310
01020905	013529
0102092C	01531A
01020966	013534
01020971	016708
01020983	015345
01020984	015349
01020987	014EA5
01020993	014E15
010209B6	019769
010209DE	015146
010209E8	01548E
010209E9	016094
