Source: ftp://ftp.unicode.org/Public/9.0.0/ucd/CaseFolding.txt
0141	0161
0142	0162
0143	0163
0144	0164
0145	0165
0146	0166
0147	0167
0148	0168
0149	0169
0149	010131
014A	016A
014B	016B
014C	016C
014D	016D
014E	016E
014F	016F
0150	0170
0151	0171
0152	0172
0153	0173
0154	0174
0155	0175
0156	0176
0157	0177
0158	0178
0159	0179
015A	017A
01B5	0103BC
01C0	01E0
01C1	01E1
01C2	01E2
01C3	01E3
01C4	01E4
01C5	01E5
01C6	01E6
01C7	01E7
01C8	01E8
01C9	01E9
01CA	01EA
01CB	01EB
01CC	01EC
01CD	01ED
01CE	01EE
01CF	01EF
01D0	01F0
01D1	01F1
01D2	01F2
01D3	01F3
01D4	01F4
01D5	01F5
01D6	01F6
01D8	01F8
01D9	01F9
01DA	01FA
01DB	01FB
01DC	01FC
01DD	01FD
01DE	01FE
01DF	0173,0173
010100	010101
010102	010103
010104	010105
010106	010107
010108	010109
01010A	01010B
01010C	01010D
01010E	01010F
010110	010111
010112	010113
010114	010115
010116	010117
010118	010119
01011A	01011B
01011C	01011D
01011E	01011F
010120	010121
010122	010123
010124	010125
010126	010127
010128	010129
01012A	01012B
01012C	01012D
01012E	01012F
010130	0169,010307
010130	0169
010132	010133
010134	010135
010136	010137
010139	01013A
01013B	01013C
01013D	01013E
01013F	010140
010141	010142
010143	010144
010145	010146
010147	010148
010149	0102BC,016E
01014A	01014B
01014C	01014D
01014E	01014F
010150	010151
010152	010153
010154	010155
010156	010157
010158	010159
01015A	01015B
01015C	01015D
01015E	01015F
010160	010161
010162	010163
010164	010165
010166	010167
010168	010169
01016A	01016B
01016C	01016D
01016E	01016F
010170	010171
010172	010173
010174	010175
010176	010177
010178	01FF
010179	01017A
01017B	01017C
01017D	01017E
01017F	0173
010181	010253
010182	010183
010184	010185
010186	010254
010187	010188
010189	010256
01018A	010257
01018B	01018C
01018E	0101DD
01018F	010259
010190	01025B
010191	010192
010193	010260
010194	010263
010196	010269
010197	010268
010198	010199
01019C	01026F
01019D	010272
01019F	010275
0101A0	0101A1
0101A2	0101A3
0101A4	0101A5
0101A6	010280
0101A7	0101A8
0101A9	010283
0101AC	0101AD
0101AE	010288
0101AF	0101B0
0101B1	01028A
0101B2	01028B
0101B3	0101B4
0101B5	0101B6
0101B7	010292
0101B8	0101B9
0101BC	0101BD
0101C4	0101C6
0101C5	0101C6
0101C7	0101C9
0101C8	0101C9
0101CA	0101CC
0101CB	0101CC
0101CD	0101CE
0101CF	0101D0
0101D1	0101D2
0101D3	0101D4
0101D5	0101D6
0101D7	0101D8
0101D9	0101DA
0101DB	0101DC
0101DE	0101DF
0101E0	0101E1
0101E2	0101E3
0101E4	0101E5
0101E6	0101E7
0101E8	0101E9
0101EA	0101EB
0101EC	0101ED
0101EE	0101EF
0101F0	016A,01030C
0101F1	0101F3
0101F2	0101F3
0101F4	0101F5
0101F6	010195
0101F7	0101BF
0101F8	0101F9
0101FA	0101FB
0101FC	0101FD
0101FE	0101FF
010200	010201
010202	010203
010204	010205
010206	010207
010208	010209
01020A	01020B
01020C	01020D
01020E	01020F
010210	010211
010212	010213
010214	010215
010216	010217
010218	010219
01021A	01021B
01021C	01021D
01021E	01021F
010220	01019E
010222	010223
010224	010225
010226	010227
010228	010229
01022A	01022B
01022C	01022D
01022E	01022F
010230	010231
010232	010233
01023A	012C65
01023B	01023C
01023D	01019A
01023E	012C66
010241	010242
010243	010180
010244	010289
010245	01028C
010246	010247
010248	010249
01024A	01024B
01024C	01024D
01024E	01024F
010345	0103B9
010370	010371
010372	010373
010376	010377
01037F	0103F3
010386	0103AC
010388	0103AD
010389	0103AE
01038A	0103AF
01038C	0103CC
01038E	0103CD
01038F	0103CE
010390	0103B9,010308,010301
010391	0103B1
010392	0103B2
010393	0103B3
010394	0103B4
010395	0103B5
010396	0103B6
010397	0103B7
010398	0103B8
010399	0103B9
01039A	0103BA
01039B	0103BB
01039C	0103BC
01039D	0103BD
01039E	0103BE
01039F	0103BF
0103A0	0103C0
0103A1	0103C1
0103A3	0103C3
0103A4	0103C4
0103A5	0103C5
0103A6	0103C6
0103A7	0103C7
0103A8	0103C8
0103A9	0103C9
0103AA	0103CA
0103AB	0103CB
0103B0	0103C5,010308,010301
0103C2	0103C3
0103CF	0103D7
0103D0	0103B2
0103D1	0103B8
0103D5	0103C6
0103D6	0103C0
0103D8	0103D9
0103DA	0103DB
0103DC	0103DD
0103DE	0103DF
0103E0	0103E1
0103E2	0103E3
0103E4	0103E5
0103E6	0103E7
0103E8	0103E9
0103EA	0103EB
0103EC	0103ED
0103EE	0103EF
0103F0	0103BA
0103F1	0103C1
0103F4	0103B8
0103F5	0103B5
0103F7	0103F8
0103F9	0103F2
0103FA	0103FB
0103FD	01037B
0103FE	01037C
0103FF	01037D
010400	010450
010401	010451
010402	010452
010403	010453
010404	010454
010405	010455
010406	010456
010407	010457
010408	010458
010409	010459
01040A	01045A
01040B	01045B
01040C	01045C
01040D	01045D
01040E	01045E
01040F	01045F
010410	010430
010411	010431
010412	010432
010413	010433
010414	010434
010415	010435
010416	010436
010417	010437
010418	010438
010419	010439
01041A	01043A
01041B	01043B
01041C	01043C
01041D	01043D
01041E	01043E
01041F	01043F
010420	010440
010421	010441
010422	010442
010423	010443
010424	010444
010425	010445
010426	010446
010427	010447
010428	010448
010429	010449
01042A	01044A
01042B	01044B
01042C	01044C
01042D	01044D
01042E	01044E
01042F	01044F
010460	010461
010462	010463
010464	010465
010466	010467
010468	010469
01046A	01046B
01046C	01046D
01046E	01046F
010470	010471
010472	010473
010474	010475
010476	010477
010478	010479
01047A	01047B
01047C	01047D
01047E	01047F
010480	010481
01048A	01048B
01048C	01048D
01048E	01048F
010490	010491
010492	010493
010494	010495
010496	010497
010498	010499
01049A	01049B
01049C	01049D
01049E	01049F
0104A0	0104A1
0104A2	0104A3
0104A4	0104A5
0104A6	0104A7
0104A8	0104A9
0104AA	0104AB
0104AC	0104AD
0104AE	0104AF
0104B0	0104B1
0104B2	0104B3
0104B4	0104B5
0104B6	0104B7
0104B8	0104B9
0104BA	0104BB
0104BC	0104BD
0104BE	0104BF
0104C0	0104CF
0104C1	0104C2
0104C3	0104C4
0104C5	0104C6
0104C7	0104C8
0104C9	0104CA
0104CB	0104CC
0104CD	0104CE
0104D0	0104D1
0104D2	0104D3
0104D4	0104D5
0104D6	0104D7
0104D8	0104D9
0104DA	0104DB
0104DC	0104DD
0104DE	0104DF
0104E0	0104E1
0104E2	0104E3
0104E4	0104E5
0104E6	0104E7
0104E8	0104E9
0104EA	0104EB
0104EC	0104ED
0104EE	0104EF
0104F0	0104F1
0104F2	0104F3
0104F4	0104F5
0104F6	0104F7
0104F8	0104F9
0104FA	0104FB
0104FC	0104FD
0104FE	0104FF
010500	010501
010502	010503
010504	010505
010506	010507
010508	010509
01050A	01050B
01050C	01050D
01050E	01050F
010510	010511
010512	010513
010514	010515
010516	010517
010518	010519
01051A	01051B
01051C	01051D
01051E	01051F
010520	010521
010522	010523
010524	010525
010526	010527
010528	010529
01052A	01052B
01052C	01052D
01052E	01052F
010531	010561
010532	010562
010533	010563
010534	010564
010535	010565
010536	010566
010537	010567
010538	010568
010539	010569
01053A	01056A
01053B	01056B
01053C	01056C
01053D	01056D
01053E	01056E
01053F	01056F
010540	010570
010541	010571
010542	010572
010543	010573
010544	010574
010545	010575
010546	010576
010547	010577
010548	010578
010549	010579
01054A	01057A
01054B	01057B
01054C	01057C
01054D	01057D
01054E	01057E
01054F	01057F
010550	010580
010551	010581
010552	010582
010553	010583
010554	010584
010555	010585
010556	010586
010587	010565,010582
0110A0	012D00
0110A1	012D01
0110A2	012D02
0110A3	012D03
0110A4	012D04
0110A5	012D05
0110A6	012D06
0110A7	012D07
0110A8	012D08
0110A9	012D09
0110AA	012D0A
0110AB	012D0B
0110AC	012D0C
0110AD	012D0D
0110AE	012D0E
0110AF	012D0F
0110B0	012D10
