#transposed from inter/HALF.txt
0120	013000
0121	01ff01
0122	01ff02
0123	01ff03
0124	01ff04
0125	01ff05
0126	01ff06
0127	01ff07
0128	01ff08
0129	01ff09
012a	01ff0a
012b	01ff0b
012c	01ff0c
012d	01ff0d
012e	01ff0e
012f	01ff0f
0130	01ff10
0131	01ff11
0132	01ff12
0133	01ff13
0134	01ff14
0135	01ff15
0136	01ff16
0137	01ff17
0138	01ff18
0139	01ff19
013a	01ff1a
013b	01ff1b
013c	01ff1c
013d	01ff1d
013e	01ff1e
013f	01ff1f
0140	01ff20
0141	01ff21
0142	01ff22
0143	01ff23
0144	01ff24
0145	01ff25
0146	01ff26
0147	01ff27
0148	01ff28
0149	01ff29
014a	01ff2a
014b	01ff2b
014c	01ff2c
014d	01ff2d
014e	01ff2e
014f	01ff2f
0150	01ff30
0151	01ff31
0152	01ff32
0153	01ff33
0154	01ff34
0155	01ff35
0156	01ff36
0157	01ff37
0158	01ff38
0159	01ff39
015a	01ff3a
015b	01ff3b
015c	01ff3c
015d	01ff3d
015e	01ff3e
015f	01ff3f
0160	01ff40
0161	01ff41
0162	01ff42
0163	01ff43
0164	01ff44
0165	01ff45
0166	01ff46
0167	01ff47
0168	01ff48
0169	01ff49
016a	01ff4a
016b	01ff4b
016c	01ff4c
016d	01ff4d
016e	01ff4e
016f	01ff4f
0170	01ff50
0171	01ff51
0172	01ff52
0173	01ff53
0174	01ff54
0175	01ff55
0176	01ff56
0177	01ff57
0178	01ff58
0179	01ff59
017a	01ff5a
017b	01ff5b
017c	01ff5c
017d	01ff5d
017e	01ff5e
01ff61	013002
01ff62	01300c
01ff63	01300d
01ff64	013001
01ff65	0130fb
01ff66	0130f2
01ff67	0130a1
01ff68	0130a3
01ff69	0130a5
01ff6a	0130a7
01ff6b	0130a9
01ff6c	0130e3
01ff6d	0130e5
01ff6e	0130e7
01ff6f	0130c3
01ff70	0130fc
01ff71	0130a2
01ff72	0130a4
01ff73	0130a6
01ff74	0130a8
01ff75	0130aa
01ff76	0130ab
01ff77	0130ad
01ff78	0130af
01ff79	0130b1
01ff7a	0130b3
01ff7b	0130b5
01ff7c	0130b7
01ff7d	0130b9
01ff7e	0130bb
01ff7f	0130bd
01ff80	0130bf
01ff81	0130c1
01ff82	0130c4
01ff83	0130c6
01ff84	0130c8
01ff85	0130ca
01ff86	0130cb
01ff87	0130cc
01ff88	0130cd
01ff89	0130ce
01ff8a	0130cf
01ff8b	0130d2
01ff8c	0130d5
01ff8d	0130d8
01ff8e	0130db
01ff8f	0130de
01ff90	0130df
01ff91	0130e0
01ff92	0130e1
01ff93	0130e2
01ff94	0130e4
01ff95	0130e6
01ff96	0130e8
01ff97	0130e9
01ff98	0130ea
01ff99	0130eb
01ff9a	0130ec
01ff9b	0130ed
01ff9c	0130ef
01ff9d	0130f3
01ff9e	01309b
01ff9f	01309c
01ffa0	013164
01ffa1	013131
01ffa2	013132
01ffa3	013133
01ffa4	013134
01ffa5	013135
01ffa6	013136
01ffa7	013137
01ffa8	013138
01ffa9	013139
01ffaa	01313a
01ffab	01313b
01ffac	01313c
01ffad	01313d
01ffae	01313e
01ffaf	01313f
01ffb0	013140
01ffb1	013141
01ffb2	013142
01ffb3	013143
01ffb4	013144
01ffb5	013145
01ffb6	013146
01ffb7	013147
01ffb8	013148
01ffb9	013149
01ffba	01314a
01ffbb	01314b
01ffbc	01314c
01ffbd	01314d
01ffbe	01314e
01ffc2	01314f
01ffc3	013150
01ffc4	013151
01ffc5	013152
01ffc6	013153
01ffc7	013154
01ffca	013155
01ffcb	013156
01ffcc	013157
01ffcd	013158
01ffce	013159
01ffcf	01315a
01ffd2	01315b
01ffd3	01315c
01ffd4	01315d
01ffd5	01315e
01ffd6	01315f
01ffd7	013160
01ffda	013161
01ffdb	013162
01ffdc	013163
012985	01ff5f
012986	01ff60
01a2	01ffe0
01a3	01ffe1
01ac	01ffe2
01af	01ffe3
01a6	01ffe4
01a5	01ffe5
0120a9	01ffe6
01ffe8	012502
01ffe9	012190
01ffea	012191
01ffeb	012192
01ffec	012193
01ffed	0125a0
01ffee	0125cb
