01020003	014E14
0102000B	014E08
01020019	019E97
0102001A	014E0D
01020024	014E26
01020066	014E2D
010200DE	01793C
01020107	01916A
01020121	014E94
01020187	015965
0102018C	015EB8
010201DA	017532
010201FE	014F11
01020223	018001
01020255	014F7F
01020293	01508D
01020296	014F8B
010202B1	015019
010202B3	014FBF
010202D2	01547D
0102033C	015104
0102035F	0153EF
010203D7	0150DA
0102047D	015145
01020486	015150
01020545	01518D
01020549	017A74
0102054B	01518A
0102054D	015B98
0102056A	019F0F
010205A0	0153E4
01020615	017199
01020624	0151B7
01020632	015927
01020636	015426
01020675	0153E3
01020678	017518
01020692	016B6F
010206EC	015211
01020707	01523B
01020728	0152BE
01020738	015264
0102073A	015217
010207AB	01523B
01020832	01529B
010208C1	0152B4
010208D9	0165EC
010208DE	018ECD
010208E9	017D04
01020971	016708
01020984	015349
010209B6	019769
010209DE	015146
010209E9	016094
01020A0D	01537F
01020A1E	01537F
01020A30	015973
01020A6F	015B58
01020AA5	01539F
01020AEA	01516D
01020B3B	015949
01020B56	016562
01020BA2	0153F3
01020BA6	0153EC
01020BAF	0153F0
01020BB7	015409
01020BC1	018DB3
01020BD2	015316
01020C69	01541B
01020CC5	01554F
01020D2E	015674
01020D40	015E2B
01020D41	018B90
01020DD5	015439
01020E59	0155AB
01020F15	015504
01020F85	018981
01020F96	015668
01020FCA	0155AB
01021052	0155AB
0102113C	018669
01021157	018669
010211A1	018D77
010211E1	0176EE
01021215	01570F
0102122D	017344
01021248	015728
0102125D	0157FA
0102125F	0158EE
010212BA	016D0B
010213B2	0153F0
010214A1	019F16
01021501	015841
01021584	015916
01021589	015375
01021596	01537F
010215E0	015185
0102162B	017A4F
0102165C	01596A
0102168C	017D50
010216B6	015984
01021769	015996
0102187F	015AE1
0102193E	015B6B
0102193F	015B54
01021946	01597D
0102195B	016B8A
0102195C	015B57
010219CB	018CA7
010219EA	015B85
010219F1	015BB3
01021A1A	0151A4
01021A1C	015BC2
01021A20	017A4F
01021A48	0182D7
01021B2A	018010
01021B5D	017C73
01021B74	019699
01021B90	015C0F
01021C29	01826F
01021C2C	018EAB
01021C46	015C5E
01021C52	016BBF
01021C5D	017280
01021CA0	017834
01021D41	015371
01021D7C	0170AD
01021D93	015CB3
01021FE7	01707D
0102200E	016CB3
