010126	01A7F8
01014B	011D51
010153	01A7F9
01018E	011D32
010251	011D45
010254	011D53
01025B	011D4B
010266	0102B1
010275	011DB1
010292	011DBE
0103B2	011D5D
0103B3	011D5E
0103B4	011D5F
0103B8	011DBF
0103C6	011D60
0103C7	011D61
01043D	011D78
01044A	01A69C
01044C	01A69D
0110DC	0110FC
012212	01207B
0128	01207D
0129	01207E
012B	01207A
012D61	012D6F
0130	012070
0131	01B9
0132	01B2
0133	01B3
0134	012074
0135	012075
0136	012076
0137	012077
0138	012078
0139	012079
013D	01207C
0141	011D2C
0142	011D2E
0144	011D30
0145	011D31
0147	011D33
0148	011D34
0149	011D35
014A	011D36
014B	011D37
014C	011D38
014D	011D39
014E	011D3A
014F	011D3C
0150	011D3E
0152	011D3F
0154	011D40
0155	011D41
0156	012C7D
0157	011D42
0161	011D43
0161	01AA
0162	011D47
0163	011D9C
0164	011D48
0165	011D49
0166	011DA0
0167	011D4D
0168	0102B0
0169	012071
016A	0102B2
016B	011D4F
016C	0102E1
016D	011D50
016E	01207F
016F	011D52
016F	01BA
0170	011D56
0172	0102B3
0173	0102E2
0174	011D57
0175	011D58
0176	011D5B
0177	0102B7
0178	0102E3
0179	0102B8
017A	011DBB
01A76F	01A770
01C6	011D2D
01F0	011D9E
