#source: http://www.fileformat.info/convert/text/upside-down-map.htm
01010412	0142
010131,010323	0169
01017F	014A
010183	0167
01018E	0145
010190	0133
0101DD	0165
010250	0161
010254	0163
01025F	0166
010265	0168
01026F	016D
010279	0172
01027E	016A
010283	016C
010287	0174
01028C	0176
01028D	0177
01028E	0179
01029E	016B
0102D9	012E
01038C	0151
010500	0150
01061B	013B
01152D	0134
011D0E	014E
011D1A	0152
011D27	0156
01201E	0122
01203E	015F
01203F	012040
012040	01203F
012045	012046
012046	012045
0121	01A1
012132	0146
012141	0147
012142	014C
012144	0159
01214B	0126
012183	0143
0122	01201E
012200	0141
012229	0155
012234	012235
012235	012234
0122A5	0154
0122CA	014B
0125D6	0144
0126	01214B
0127	012C
0128	0129
0129	0128
012C	0127
012C62	0137
012E	0102D9
0133	010190
0134	01152D
0136	0139
0137	012C62
0139	0136
013B	01061B
013C	013E
013E	013C
013F	01BF
0141	012200
0142	01010412
0143	012183
0144	0125D6
0145	01018E
0146	012132
0147	012141
014A	01017F
014B	0122CA
014C	012142
014D	0157
014E	011D0E
0150	010500
0151	01038C
0152	011D1A
0154	0122A5
0155	012229
0156	011D27
0157	014D
0159	012144
015B	015D
015D	015B
015F	01203E
0161	010250
0162	0171
0163	010254
0164	0170
0165	0101DD
0166	01025F
0167	010183
0168	010265
0169	010131,010323
016A	01027E
016B	01029E
016C	010283
016D	01026F
016E	0175
0170	0164
0171	0162
0172	010279
0174	010287
0175	016E
0176	01028C
0177	01028D
0179	01028E
017B	017D
017D	017B
01A1	0121
01BF	013F
