# Source: http://www.w3.org/html/ig/zh/wiki/Big5-hkscs-vs-uao-in-hk
0163,01FA	?06,0163,01FA
01E9,0163	?06,01E9,0163
01C9,0163	?06,01C9,0163
01E9,0164	?06,01E9,0164
01C9,0164	?06,01C9,0164
01E9,0172	?06,01E9,0172
01C9,0172	?06,01C9,0172
0170,01E9	?06,0170,01E9
0173,01E9	?06,0173,01E9
014E00,0196D9	?06,014E00,0196D9
014E00,015687	?06,014E00,015687
014E00,016735	?06,014E00,016735
014E00,017D71	?06,014E00,017D71
014E0B,015EDA	?06,014E0B,015EDA
015169,017684	?06,015169,017684
015169,014EBA	?06,015169,014EBA
015169,01500B	?06,015169,01500B
015169,0153E5	?06,015169,0153E5
014E2D,019A5B	?06,014E2D,019A5B
018209,015DF5	?06,018209,015DF5
014E59,019170	?06,014E59,019170
014F55,016CC1	?06,014F55,016CC1
014F60,0154CB	?06,014F60,0154CB
015088,015088	?06,015088,015088
015165,015EDA	?06,015165,015EDA
015168,016E2F	?06,015168,016E2F
015192,017159	?06,015192,017159
016CC1,014E14	?06,016CC1,014E14
0151B7,01975C	?06,0151B7,01975C
0151D3,016DBC	?06,0151D3,016DBC
0152AB,016A5F	?06,0152AB,016A5F
0152AB,0196E3	?06,0152AB,0196E3
015287,015834	?06,015287,015834
0152D5,014F5C	?06,0152D5,014F5C
016548,01679C	?06,016548,01679C
016548,017528	?06,016548,017528
0152D5,015834	?06,0152D5,015834
0152DE,015DE5,016898	?06,0152DE,015DE5,016898
015348,01994D	?06,015348,01994D
015EDA,015E2B	?06,015EDA,015E2B
015EDA,01623F	?06,015EDA,01623F
0153C3,0152A0	?06,0153C3,0152A0
0153C3,017167	?06,0153C3,017167
0153C3,018003	?06,0153C3,018003
0153C3,018207	?06,0153C3,018207
0153C3,018CFD	?06,0153C3,018CFD
0196D9,015C0D	?06,0196D9,015C0D
0196D9,01624B	?06,0196D9,01624B
016558,015229	?06,016558,015229
0153F1,0154A4	?06,0153F1,0154A4
015438,017159	?06,015438,017159
01029433,015473	?06,01029433,015473
01547C,019FA5	?06,01547C,019FA5
0197FF,0161C9	?06,0197FF,0161C9
015547,015834	?06,015547,015834
01555F,017A0B	?06,01555F,017A0B
01556B,0155B1	?06,01556B,0155B1
0155BA,015514	?06,0155BA,015514
0155BA,016709	?06,0155BA,016709
015605,014F62	?06,015605,014F62
015668,016750	?06,015668,016750
0156DE,0197FF	?06,0156DE,0197FF
01570B,015CF0	?06,01570B,015CF0
01570D,017881	?06,01570D,017881
0157FA,015932	?06,0157FA,015932
0157FA,019176	?06,0157FA,019176
015875,0187CE	?06,015875,0187CE
010212FE,015885	?06,010212FE,015885
01590F,016128	?06,01590F,016128
015927,015EDA	?06,015927,015EDA
015927,017159	?06,015927,017159
015927,0181BD	?06,015927,0181BD
015932,019762	?06,015932,019762
015967,017955	?06,015967,017955
015967,017FA9	?06,015967,017FA9
015967,01904B	?06,015967,01904B
01597D,015622	?06,01597D,015622
015B8F,017881	?06,015B8F,017881
015C4B,017E3D	?06,015C4B,017E3D
015C4B,016751	?06,015C4B,016751
015C55,017881	?06,015C55,017881
015CD1,017063	?06,015CD1,017063
015E1D,015CF0	?06,015E1D,015CF0
015E73,010275FD	?06,015E73,010275FD
015EE3,015834	?06,015EE3,015834
015EFA,01714A	?06,015EFA,01714A
015EFA,017881	?06,015EFA,017881
0160A3,018005	?06,0160A3,018005
0160C5,016CC1	?06,0160C5,016CC1
016210,016548	?06,016210,016548
016210,0196D9	?06,016210,0196D9
016247,016898	?06,016247,016898
016253,0152AB	?06,016253,0152AB
0162BD,017159	?06,0162BD,017159
0164D4,014EFB	?06,0164D4,014EFB
0162C9,0180A7	?06,0162C9,0180A7
0162CD,015687	?06,0162CD,015687
01639B,019264	?06,01639B,019264
0163A1,01945B	?06,0163A1,01945B
0163FE,015230	?06,0163FE,015230
016436,0152AB	?06,016436,0152AB
0164CD,015834	?06,0164CD,015834
01653F,010219DB	?06,01653F,010219DB
016558,018FF0	?06,016558,018FF0
016578,019FAB	?06,016578,019FAB
0165E9,01994D	?06,0165E9,01994D
