Source: ftp://ftp.unicode.org/Public/7.0.0/ucd/UnicodeData.txt
0141,010300	01C0
0141,010301	01C1
0141,010302	01C2
0141,010303	01C3
0141,010308	01C4
0141,01030A	01C5
0143,010327	01C7
0145,010300	01C8
0145,010301	01C9
0145,010302	01CA
0145,010308	01CB
0149,010300	01CC
0149,010301	01CD
0149,010302	01CE
0149,010308	01CF
014E,010303	01D1
014F,010300	01D2
014F,010301	01D3
014F,010302	01D4
014F,010303	01D5
014F,010308	01D6
0155,010300	01D9
0155,010301	01DA
0155,010302	01DB
0155,010308	01DC
0159,010301	01DD
0161,010300	01E0
0161,010301	01E1
0161,010302	01E2
0161,010303	01E3
0161,010308	01E4
0161,01030A	01E5
0163,010327	01E7
0165,010300	01E8
0165,010301	01E9
0165,010302	01EA
0165,010308	01EB
0169,010300	01EC
0169,010301	01ED
0169,010302	01EE
0169,010308	01EF
016E,010303	01F1
016F,010300	01F2
016F,010301	01F3
016F,010302	01F4
016F,010303	01F5
016F,010308	01F6
0175,010300	01F9
0175,010301	01FA
0175,010302	01FB
0175,010308	01FC
0179,010301	01FD
0179,010308	01FF
0141,010304	010100
0161,010304	010101
0141,010306	010102
0161,010306	010103
0141,010328	010104
0161,010328	010105
0143,010301	010106
0163,010301	010107
0143,010302	010108
0163,010302	010109
0143,010307	01010A
0163,010307	01010B
0143,01030C	01010C
0163,01030C	01010D
0144,01030C	01010E
0164,01030C	01010F
0145,010304	010112
0165,010304	010113
0145,010306	010114
0165,010306	010115
0145,010307	010116
0165,010307	010117
0145,010328	010118
0165,010328	010119
0145,01030C	01011A
0165,01030C	01011B
0147,010302	01011C
0167,010302	01011D
0147,010306	01011E
0167,010306	01011F
0147,010307	010120
0167,010307	010121
0147,010327	010122
0167,010327	010123
0148,010302	010124
0168,010302	010125
0149,010303	010128
0169,010303	010129
0149,010304	01012A
0169,010304	01012B
0149,010306	01012C
0169,010306	01012D
0149,010328	01012E
0169,010328	01012F
0149,010307	010130
014A,010302	010134
016A,010302	010135
014B,010327	010136
016B,010327	010137
014C,010301	010139
016C,010301	01013A
014C,010327	01013B
016C,010327	01013C
014C,01030C	01013D
016C,01030C	01013E
014E,010301	010143
016E,010301	010144
014E,010327	010145
016E,010327	010146
014E,01030C	010147
016E,01030C	010148
014F,010304	01014C
016F,010304	01014D
014F,010306	01014E
016F,010306	01014F
014F,01030B	010150
016F,01030B	010151
0152,010301	010154
0172,010301	010155
0152,010327	010156
0172,010327	010157
0152,01030C	010158
0172,01030C	010159
0153,010301	01015A
0173,010301	01015B
0153,010302	01015C
0173,010302	01015D
0153,010327	01015E
0173,010327	01015F
0153,01030C	010160
0173,01030C	010161
0154,010327	010162
0174,010327	010163
0154,01030C	010164
0174,01030C	010165
0155,010303	010168
0175,010303	010169
0155,010304	01016A
0175,010304	01016B
0155,010306	01016C
0175,010306	01016D
0155,01030A	01016E
0175,01030A	01016F
0155,01030B	010170
0175,01030B	010171
0155,010328	010172
0175,010328	010173
0157,010302	010174
0177,010302	010175
0159,010302	010176
0179,010302	010177
0159,010308	010178
015A,010301	010179
017A,010301	01017A
015A,010307	01017B
017A,010307	01017C
015A,01030C	01017D
017A,01030C	01017E
014F,01031B	0101A0
016F,01031B	0101A1
0155,01031B	0101AF
0175,01031B	0101B0
0141,01030C	0101CD
0161,01030C	0101CE
0149,01030C	0101CF
0169,01030C	0101D0
014F,01030C	0101D1
016F,01030C	0101D2
0155,01030C	0101D3
0175,01030C	0101D4
01DC,010304	0101D5
01FC,010304	0101D6
01DC,010301	0101D7
01FC,010301	0101D8
01DC,01030C	0101D9
01FC,01030C	0101DA
01DC,010300	0101DB
01FC,010300	0101DC
01C4,010304	0101DE
01E4,010304	0101DF
010226,010304	0101E0
010227,010304	0101E1
01C6,010304	0101E2
01E6,010304	0101E3
0147,01030C	0101E6
0167,01030C	0101E7
014B,01030C	0101E8
016B,01030C	0101E9
014F,010328	0101EA
016F,010328	0101EB
0101EA,010304	0101EC
0101EB,010304	0101ED
0101B7,01030C	0101EE
010292,01030C	0101EF
016A,01030C	0101F0
0147,010301	0101F4
0167,010301	0101F5
014E,010300	0101F8
016E,010300	0101F9
01C5,010301	0101FA
01E5,010301	0101FB
01C6,010301	0101FC
01E6,010301	0101FD
01D8,010301	0101FE
01F8,010301	0101FF
0141,01030F	010200
0161,01030F	010201
0141,010311	010202
0161,010311	010203
0145,01030F	010204
0165,01030F	010205
0145,010311	010206
0165,010311	010207
0149,01030F	010208
0169,01030F	010209
0149,010311	01020A
0169,010311	01020B
014F,01030F	01020C
016F,01030F	01020D
014F,010311	01020E
016F,010311	01020F
0152,01030F	010210
0172,01030F	010211
0152,010311	010212
0172,010311	010213
0155,01030F	010214
0175,01030F	010215
0155,010311	010216
0175,010311	010217
0153,010326	010218
0173,010326	010219
0154,010326	01021A
0174,010326	01021B
0148,01030C	01021E
0168,01030C	01021F
0141,010307	010226
0161,010307	010227
0145,010327	010228
0165,010327	010229
01D6,010304	01022A
01F6,010304	01022B
01D5,010304	01022C
01F5,010304	01022D
014F,010307	01022E
016F,010307	01022F
01022E,010304	010230
01022F,010304	010231
0159,010304	010232
0179,010304	010233
01A8,010301	010385
010391,010301	010386
010395,010301	010388
010397,010301	010389
010399,010301	01038A
01039F,010301	01038C
0103A5,010301	01038E
0103A9,010301	01038F
0103CA,010301	010390
010399,010308	0103AA
0103A5,010308	0103AB
0103B1,010301	0103AC
0103B5,010301	0103AD
