Source: ftp://ftp.unicode.org/Public/13.0.0/ucd/UnicodeData.txt
01C0	0141,010300
01C1	0141,010301
01C2	0141,010302
01C3	0141,010303
01C4	0141,010308
01C5	0141,01030A
01C7	0143,010327
01C8	0145,010300
01C9	0145,010301
01CA	0145,010302
01CB	0145,010308
01CC	0149,010300
01CD	0149,010301
01CE	0149,010302
01CF	0149,010308
01D1	014E,010303
01D2	014F,010300
01D3	014F,010301
01D4	014F,010302
01D5	014F,010303
01D6	014F,010308
01D9	0155,010300
01DA	0155,010301
01DB	0155,010302
01DC	0155,010308
01DD	0159,010301
01E0	0161,010300
01E1	0161,010301
01E2	0161,010302
01E3	0161,010303
01E4	0161,010308
01E5	0161,01030A
01E7	0163,010327
01E8	0165,010300
01E9	0165,010301
01EA	0165,010302
01EB	0165,010308
01EC	0169,010300
01ED	0169,010301
01EE	0169,010302
01EF	0169,010308
01F1	016E,010303
01F2	016F,010300
01F3	016F,010301
01F4	016F,010302
01F5	016F,010303
01F6	016F,010308
01F9	0175,010300
01FA	0175,010301
01FB	0175,010302
01FC	0175,010308
01FD	0179,010301
01FF	0179,010308
010100	0141,010304
010101	0161,010304
010102	0141,010306
010103	0161,010306
010104	0141,010328
010105	0161,010328
010106	0143,010301
010107	0163,010301
010108	0143,010302
010109	0163,010302
01010A	0143,010307
01010B	0163,010307
01010C	0143,01030C
01010D	0163,01030C
01010E	0144,01030C
01010F	0164,01030C
010112	0145,010304
010113	0165,010304
010114	0145,010306
010115	0165,010306
010116	0145,010307
010117	0165,010307
010118	0145,010328
010119	0165,010328
01011A	0145,01030C
01011B	0165,01030C
01011C	0147,010302
01011D	0167,010302
01011E	0147,010306
01011F	0167,010306
010120	0147,010307
010121	0167,010307
010122	0147,010327
010123	0167,010327
010124	0148,010302
010125	0168,010302
010128	0149,010303
010129	0169,010303
01012A	0149,010304
01012B	0169,010304
01012C	0149,010306
01012D	0169,010306
01012E	0149,010328
01012F	0169,010328
010130	0149,010307
010134	014A,010302
010135	016A,010302
010136	014B,010327
010137	016B,010327
010139	014C,010301
01013A	016C,010301
01013B	014C,010327
01013C	016C,010327
01013D	014C,01030C
01013E	016C,01030C
010143	014E,010301
010144	016E,010301
010145	014E,010327
010146	016E,010327
010147	014E,01030C
010148	016E,01030C
01014C	014F,010304
01014D	016F,010304
01014E	014F,010306
01014F	016F,010306
010150	014F,01030B
010151	016F,01030B
010154	0152,010301
010155	0172,010301
010156	0152,010327
010157	0172,010327
010158	0152,01030C
010159	0172,01030C
01015A	0153,010301
01015B	0173,010301
01015C	0153,010302
01015D	0173,010302
01015E	0153,010327
01015F	0173,010327
010160	0153,01030C
010161	0173,01030C
010162	0154,010327
010163	0174,010327
010164	0154,01030C
010165	0174,01030C
010168	0155,010303
010169	0175,010303
01016A	0155,010304
01016B	0175,010304
01016C	0155,010306
01016D	0175,010306
01016E	0155,01030A
01016F	0175,01030A
010170	0155,01030B
010171	0175,01030B
010172	0155,010328
010173	0175,010328
010174	0157,010302
010175	0177,010302
010176	0159,010302
010177	0179,010302
010178	0159,010308
010179	015A,010301
01017A	017A,010301
01017B	015A,010307
01017C	017A,010307
01017D	015A,01030C
01017E	017A,01030C
0101A0	014F,01031B
0101A1	016F,01031B
0101AF	0155,01031B
0101B0	0175,01031B
0101CD	0141,01030C
0101CE	0161,01030C
0101CF	0149,01030C
0101D0	0169,01030C
0101D1	014F,01030C
0101D2	016F,01030C
0101D3	0155,01030C
0101D4	0175,01030C
0101D5	0155,010308,010304
0101D6	0175,010308,010304
0101D7	0155,010308,010301
0101D8	0175,010308,010301
0101D9	0155,010308,01030C
0101DA	0175,010308,01030C
0101DB	0155,010308,010300
0101DC	0175,010308,010300
0101DE	0141,010308,010304
0101DF	0161,010308,010304
0101E0	0141,010307,010304
0101E1	0161,010307,010304
0101E2	01C6,010304
0101E3	01E6,010304
0101E6	0147,01030C
0101E7	0167,01030C
0101E8	014B,01030C
0101E9	016B,01030C
0101EA	014F,010328
0101EB	016F,010328
0101EC	014F,010328,010304
0101ED	016F,010328,010304
0101EE	0101B7,01030C
0101EF	010292,01030C
0101F0	016A,01030C
0101F4	0147,010301
0101F5	0167,010301
0101F8	014E,010300
0101F9	016E,010300
0101FA	0141,01030A,010301
0101FB	0161,01030A,010301
0101FC	01C6,010301
0101FD	01E6,010301
0101FE	01D8,010301
0101FF	01F8,010301
010200	0141,01030F
010201	0161,01030F
010202	0141,010311
010203	0161,010311
010204	0145,01030F
010205	0165,01030F
010206	0145,010311
010207	0165,010311
010208	0149,01030F
010209	0169,01030F
01020A	0149,010311
01020B	0169,010311
01020C	014F,01030F
01020D	016F,01030F
01020E	014F,010311
01020F	016F,010311
010210	0152,01030F
010211	0172,01030F
010212	0152,010311
010213	0172,010311
010214	0155,01030F
010215	0175,01030F
010216	0155,010311
010217	0175,010311
010218	0153,010326
010219	0173,010326
01021A	0154,010326
01021B	0174,010326
01021E	0148,01030C
01021F	0168,01030C
010226	0141,010307
010227	0161,010307
010228	0145,010327
010229	0165,010327
01022A	014F,010308,010304
01022B	016F,010308,010304
01022C	014F,010303,010304
01022D	016F,010303,010304
01022E	014F,010307
01022F	016F,010307
010230	014F,010307,010304
010231	016F,010307,010304
010232	0159,010304
010233	0179,010304
010340	010300
010341	010301
010343	010313
010344	010308,010301
010374	0102B9
01037E	013B
010385	01A8,010301
010386	010391,010301
010387	01B7
010388	010395,010301
010389	010397,010301
01038A	010399,010301
01038C	01039F,010301
01038E	0103A5,010301
01038F	0103A9,010301
010390	0103B9,010308,010301
0103AA	010399,010308
0103AB	0103A5,010308
0103AC	0103B1,010301
0103AD	0103B5,010301
0103AE	0103B7,010301
0103AF	0103B9,010301
0103B0	0103C5,010308,010301
0103CA	0103B9,010308
0103CB	0103C5,010308
0103CC	0103BF,010301
0103CD	0103C5,010301
0103CE	0103C9,010301
0103D3	0103D2,010301
0103D4	0103D2,010308
010400	010415,010300
010401	010415,010308
010403	010413,010301
010407	010406,010308
01040C	01041A,010301
01040D	010418,010300
01040E	010423,010306
010419	010418,010306
010439	010438,010306
010450	010435,010300
010451	010435,010308
010453	010433,010301
010457	010456,010308
01045C	01043A,010301
01045D	010438,010300
01045E	010443,010306
010476	010474,01030F
010477	010475,01030F
0104C1	010416,010306
0104C2	010436,010306
0104D0	010410,010306
0104D1	010430,010306
0104D2	010410,010308
0104D3	010430,010308
0104D6	010415,010306
0104D7	010435,010306
0104DA	0104D8,010308
0104DB	0104D9,010308
0104DC	010416,010308
0104DD	010436,010308
0104DE	010417,010308
0104DF	010437,010308
0104E2	010418,010304
0104E3	010438,010304
0104E4	010418,010308
0104E5	010438,010308
0104E6	01041E,010308
0104E7	01043E,010308
0104EA	0104E8,010308
0104EB	0104E9,010308
0104EC	01042D,010308
0104ED	01044D,010308
0104EE	010423,010304
0104EF	010443,010304
0104F0	010423,010308
0104F1	010443,010308
0104F2	010423,01030B
0104F3	010443,01030B
0104F4	010427,010308
0104F5	010447,010308
0104F8	01042B,010308
0104F9	01044B,010308
010622	010627,010653
010623	010627,010654
010624	010648,010654
010625	010627,010655
010626	01064A,010654
0106C0	0106D5,010654
0106C2	0106C1,010654
0106D3	0106D2,010654
010929	010928,01093C
010931	010930,01093C
010934	010933,01093C
010958	010915,01093C
010959	010916,01093C
01095A	010917,01093C
01095B	01091C,01093C
01095C	010921,01093C
01095D	010922,01093C
01095E	01092B,01093C
01095F	01092F,01093C
0109CB	0109C7,0109BE
0109CC	0109C7,0109D7
0109DC	0109A1,0109BC
0109DD	0109A2,0109BC
0109DF	0109AF,0109BC
010A33	010A32,010A3C
010A36	010A38,010A3C
010A59	010A16,010A3C
010A5A	010A17,010A3C
010A5B	010A1C,010A3C
010A5E	010A2B,010A3C
010B48	010B47,010B56
010B4B	010B47,010B3E
010B4C	010B47,010B57
010B5C	010B21,010B3C
010B5D	010B22,010B3C
010B94	010B92,010BD7
010BCA	010BC6,010BBE
010BCB	010BC7,010BBE
010BCC	010BC6,010BD7
010C48	010C46,010C56
010CC0	010CBF,010CD5
010CC7	010CC6,010CD5
010CC8	010CC6,010CD6
010CCA	010CC6,010CC2
010CCB	010CC6,010CC2,010CD5
010D4A	010D46,010D3E
010D4B	010D47,010D3E
010D4C	010D46,010D57
010DDA	010DD9,010DCA
010DDC	010DD9,010DCF
010DDD	010DD9,010DCF,010DCA
010DDE	010DD9,010DDF
010F43	010F42,010FB7
010F4D	010F4C,010FB7
010F52	010F51,010FB7
010F57	010F56,010FB7
010F5C	010F5B,010FB7
010F69	010F40,010FB5
010F73	010F71,010F72
010F75	010F71,010F74
010F76	010FB2,010F80
010F78	010FB3,010F80
010F81	010F71,010F80
010F93	010F92,010FB7
010F9D	010F9C,010FB7
010FA2	010FA1,010FB7
010FA7	010FA6,010FB7
010FAC	010FAB,010FB7
010FB9	010F90,010FB5
011026	011025,01102E
011B06	011B05,011B35
011B08	011B07,011B35
011B0A	011B09,011B35
011B0C	011B0B,011B35
011B0E	011B0D,011B35
011B12	011B11,011B35
011B3B	011B3A,011B35
011B3D	011B3C,011B35
011B40	011B3E,011B35
011B41	011B3F,011B35
011B43	011B42,011B35
011E00	0141,010325
011E01	0161,010325
011E02	0142,010307
011E03	0162,010307
011E04	0142,010323
011E05	0162,010323
011E06	0142,010331
011E07	0162,010331
011E08	0143,010327,010301
011E09	0163,010327,010301
011E0A	0144,010307
011E0B	0164,010307
011E0C	0144,010323
011E0D	0164,010323
011E0E	0144,010331
011E0F	0164,010331
011E10	0144,010327
011E11	0164,010327
011E12	0144,01032D
011E13	0164,01032D
011E14	0145,010304,010300
011E15	0165,010304,010300
011E16	0145,010304,010301
011E17	0165,010304,010301
011E18	0145,01032D
011E19	0165,01032D
011E1A	0145,010330
011E1B	0165,010330
011E1C	0145,010327,010306
011E1D	0165,010327,010306
011E1E	0146,010307
011E1F	0166,010307
011E20	0147,010304
011E21	0167,010304
011E22	0148,010307
