Source: ftp://ftp.unicode.org/Public/13.0.0/ucd/UnicodeData.txt
01A0	0120	#noBreak
01A8	0120,010308	#compat
01AA	0161	#super
01AF	0120,010304	#compat
01B2	0132	#super
01B3	0133	#super
01B4	0120,010301	#compat
01B5	0103BC	#compat
01B8	0120,010327	#compat
01B9	0131	#super
01BA	016F	#super
01BC	0131,012044,0134	#fraction
01BD	0131,012044,0132	#fraction
01BE	0133,012044,0134	#fraction
01C0	0141,010300	#canonical
01C1	0141,010301	#canonical
01C2	0141,010302	#canonical
01C3	0141,010303	#canonical
01C4	0141,010308	#canonical
01C5	0141,01030A	#canonical
01C7	0143,010327	#canonical
01C8	0145,010300	#canonical
01C9	0145,010301	#canonical
01CA	0145,010302	#canonical
01CB	0145,010308	#canonical
01CC	0149,010300	#canonical
01CD	0149,010301	#canonical
01CE	0149,010302	#canonical
01CF	0149,010308	#canonical
01D1	014E,010303	#canonical
01D2	014F,010300	#canonical
01D3	014F,010301	#canonical
01D4	014F,010302	#canonical
01D5	014F,010303	#canonical
01D6	014F,010308	#canonical
01D9	0155,010300	#canonical
01DA	0155,010301	#canonical
01DB	0155,010302	#canonical
01DC	0155,010308	#canonical
01DD	0159,010301	#canonical
01E0	0161,010300	#canonical
01E1	0161,010301	#canonical
01E2	0161,010302	#canonical
01E3	0161,010303	#canonical
01E4	0161,010308	#canonical
01E5	0161,01030A	#canonical
01E7	0163,010327	#canonical
01E8	0165,010300	#canonical
01E9	0165,010301	#canonical
01EA	0165,010302	#canonical
01EB	0165,010308	#canonical
01EC	0169,010300	#canonical
01ED	0169,010301	#canonical
01EE	0169,010302	#canonical
01EF	0169,010308	#canonical
01F1	016E,010303	#canonical
01F2	016F,010300	#canonical
01F3	016F,010301	#canonical
01F4	016F,010302	#canonical
01F5	016F,010303	#canonical
01F6	016F,010308	#canonical
01F9	0175,010300	#canonical
01FA	0175,010301	#canonical
01FB	0175,010302	#canonical
01FC	0175,010308	#canonical
01FD	0179,010301	#canonical
01FF	0179,010308	#canonical
010100	0141,010304	#canonical
010101	0161,010304	#canonical
010102	0141,010306	#canonical
010103	0161,010306	#canonical
010104	0141,010328	#canonical
010105	0161,010328	#canonical
010106	0143,010301	#canonical
010107	0163,010301	#canonical
010108	0143,010302	#canonical
010109	0163,010302	#canonical
01010A	0143,010307	#canonical
01010B	0163,010307	#canonical
01010C	0143,01030C	#canonical
01010D	0163,01030C	#canonical
