#transposed from from/ASCII
# add 0102DC record
0101	01
0102	02
0103	03
0104	04
0105	05
0106	06
0107	07
0108	08
0109	09
010A	0A
010B	0B
010C	0C
010D	0D
010E	0E
010F	0F
0110	10
0111	11
0112	12
0113	13
0114	14
0115	15
0116	16
0117	17
0118	18
0119	19
011A	1A
011B	1B
011C	1C
011D	1D
011E	1E
011F	1F
0120	20
0121	21
0122	22
0123	23
0124	24
0125	25
0126	26
0127	27
0128	28
0129	29
012A	2A
012B	2B
012C	2C
012D	2D
012E	2E
012F	2F
0130	30
0131	31
0132	32
0133	33
0134	34
0135	35
0136	36
0137	37
0138	38
0139	39
013A	3A
013B	3B
013C	3C
013D	3D
013E	3E
013F	3F
0140	40
0141	41
0142	42
0143	43
0144	44
0145	45
0146	46
0147	47
0148	48
0149	49
014A	4A
014B	4B
014C	4C
014D	4D
014E	4E
014F	4F
0150	50
0151	51
0152	52
0153	53
0154	54
0155	55
0156	56
0157	57
0158	58
0159	59
015A	5A
015B	5B
015C	5C
015D	5D
015E	5E
015F	5F
0160	60
0161	61
0162	62
0163	63
0164	64
0165	65
0166	66
0167	67
0168	68
0169	69
016A	6A
016B	6B
016C	6C
016D	6D
016E	6E
016F	6F
0170	70
0171	71
0172	72
0173	73
0174	74
0175	75
0176	76
0177	77
0178	78
0179	79
017A	7A
017B	7B
017C	7C
017D	7D
017E	7E
0102DC	7E
017F	7F
