01020003	4752
0102000B	5549
01020019	4076
0102001A	323B
01020024	3222
01020029	4D21
01020066	5650
010200DE	4071
01020107	4052
01020121	4E65
01020162	5971
01020169	4A6B
01020187	3042
0102018C	5339
010201B0	586B
010201DA	3C57
010201FE	505D
0102020E	335E
01020213	4129
01020223	404F
01020255	4A39
01020256	5930
0102026E	3E6B
01020293	3078
01020296	407D
010202B1	3A72
010202B3	3163
010202B6	6B74
010202BE	6E25
010202D2	437C
010202E3	5250
010202FC	5936
0102033C	525A
0102035F	3F49
0102036C	593E
0102037B	5931
010203D7	4145
010203EC	5937
0102041A	5933
0102041B	5958
0102043F	5E30
01020472	595D
0102047D	3364
01020486	3679
010204B0	6655
010204B1	4627
01020540	5868
01020545	5459
01020549	5128
0102054B	3261
0102054D	3959
01020575	3F3A
010205A0	3945
01020615	4E75
01020621	415D
01020624	4064
01020632	3473
01020636	3771
01020675	3F5A
01020678	384A
01020692	335D
010206D2	585A
010206EC	504C
01020707	3F4C
01020713	4C5E
01020728	5B40
01020738	3C41
0102073A	4150
0102073E	5863
010207AB	3F4C
01020832	4126
010208C1	404D
010208D9	512E
010208DE	3E7C
010208E9	543C
010208F5	596B
0102092C	584E
01020971	5442
01020983	5826
01020984	3B5C
01020987	3A25
01020993	5827
010209B6	386F
010209DE	5557
010209E8	3E4C
010209E9	3B5A
010209EA	5855
01020A0D	4764
01020A1E	4764
01020A2E	5846
01020A30	452E
01020A5F	333D
01020A6F	3466
01020A9E	5848
01020AA5	542D
01020AEA	4179
01020B3B	376E
01020B56	3852
01020BA2	5352
01020BA6	5559
01020BAF	4C28
01020BB7	3C2A
01020BC1	5763
01020BD2	3B2F
01020C69	3E7D
01020C6F	5778
01020C8B	757E
01020C8E	374D
01020CC5	4E4A
01020D1F	5F63
01020D2A	6027
01020D2E	4567
01020D40	4A26
01020D41	7645
01020D42	5F78
01020D52	5F7D
01020D70	5F58
01020D72	5B41
01020DBA	5F6C
01020DC3	6032
01020DD5	3435
01020DF8	602F
01020ED4	6065
01020EDB	6055
01020EEF	5F6E
01020F15	5F42
01020F6C	4458
01020F7F	5F49
01020F85	522A
01020F96	4677
01020FC8	6031
01021050	6049
0102113A	6051
01021170	6050
010211A1	4670
010211C3	5258
010211CA	4654
010211E1	443F
010211EA	3D51
01021215	4826
0102122D	537C
01021239	6073
01021243	5B5E
01021248	545A
0102125B	5B59
0102125D	3B79
0102125F	5733
0102126C	5B66
010212AE	542C
010212BA	5173
010212F2	5778
01021369	5B65
010213A9	3921
010213B0	5C2F
0102145F	4E51
01021462	5C26
01021501	405D
0102151B	4849
01021578	5967
0102157F	5967
01021582	5967
01021584	4D62
01021589	4251
0102158A	596D
01021596	4764
0102159F	7324
010215B7	6239
010215D5	5260
010215DA	4456
010215DD	5244
010215E0	445A
01021608	3F5E
0102162B	4E48
01021637	4C57
0102165C	3661
0102168C	3D61
010216A7	657E
010216B6	4D7D
010216BE	662D
01021769	517D
010217E6	4448
01021810	663F
0102181C	6646
0102187F	3555
01021893	6634
010218C6	657C
010218F0	664D
0102191A	664E
0102192F	6650
0102193E	4B6F
0102193F	3F57
01021946	3A43
01021947	5843
0102195B	4A62
0102195C	5756
01021997	4866
010219CB	4636
010219EA	552C
010219EB	6533
010219F1	3A26
01021A09	3A41
01021A1A	5429
01021A1C	3C45
01021A20	4E48
01021A48	4367
01021B2A	444D
01021B3D	5862
01021B5D	4357
01021B5E	3C62
01021B74	4F36
01021B90	5021
01021C29	413C
01021C2C	496D
01021C38	656C
01021C46	4A74
01021C52	356E
01021C5D	4F2C
01021C91	4A3A
01021CA0	4646
01021CA9	4628
01021CEC	422E
01021D41	4E23
01021D7C	4C3F
01021D8F	6148
01021D93	5440
01021E20	323A
01021E35	613F
01021EA1	532F
01021F14	6147
01021F9C	3B74
01021FC1	4E21
01021FE7	5456
01021FF7	675F
0102200E	3A53
01022012	3C3A
0102201A	3924
0102203D	4670
01022053	7539
0102205B	4931
01022087	355B
01022091	4A43
010220B4	5644
010220C1	3878
010220F7	4432
01022116	526C
010221D7	4F43
010221EF	382E
0102220E	3963
01022256	4239
01022259	4A7C
010222BB	4149
010222DB	3147
01022313	402A
01022338	5E44
01022342	3147
01022345	5B3C
0102234E	5A3E
01022357	5154
0102235C	5770
0102236E	4E57
01022376	424E
01022381	4E64
01022387	5456
010223AE	5835
010223BA	4F52
010223D8	7460
010223F1	6574
01022405	4875
01022413	6F4F
01022472	524D
01022495	566E
0102249B	3164
010224C9	3735
010224CA	6163
010224D8	5921
010224DD	592C
010224ED	6552
010224F6	4D28
01022500	4756
0102250D	592B
0102257E	315C
010225B9	4744
010225CC	4542
010225CD	563E
01022617	333C
01022625	4A51
0102263B	4F24
01022649	4455
0102264A	6D27
01022656	4C71
01022662	3F56
01022683	4153
01022687	3F71
01022689	3A5E
01022690	5346
010226B0	4455
010226C2	353F
010226C7	7645
010226E7	4E29
0102272A	4847
0102273A	3027
01022754	627C
01022772	336E
01022836	3B3C
01022846	3F52
01022865	4375
0102287D	4F27
010228A7	7645
010228F6	412F
01022903	6D2B
010229A1	3850
010229A9	3349
010229D0	553D
010229F5	3D58
010229F7	5E62
010229FE	3363
01022A37	4B79
01022A4C	3C67
01022AB4	5E55
01022ABB	3350
01022ABF	393C
01022AE6	4544
01022AFD	5256
01022AFE	5638
01022B0C	304E
01022B34	4963
01022B38	4028
01022B40	507D
01022B43	364C
01022B4D	3427
01022BC7	523E
01022BEA	3270
01022C07	3024
