# transposed and modified from from/IBM-37
0101	01
010110	AC
0102	02
0103	03
0104	37
0105	2D
0106	2E
0107	2F
0108	16
0109	05
010A	25
010B	0B
010C	0C
010D	0D
010E	0E
010F	0F
0110	10
0111	11
0112	12
0113	13
0114	3C
0115	3D
0116	32
0117	26
0118	18
0119	19
011A	3F
011B	27
011C	1C
011D	1D
011E	1E
011F	1F
01203E	BC
0120	40
0121	5A
0122	7F
0123	7B
0124	5B
0125	6C
0126	50
0127	7D
0128	4D
0129	5D
012A	5C
012B	4E
012C	6B
012D	60
012E	4B
012F	61
0130	F0
0131	F1
0132	F2
0133	F3
0134	F4
0135	F5
0136	F6
0137	F7
0138	F8
0139	F9
013A	7A
013B	5E
013C	4C
013D	7E
013E	6E
013F	6F
0140	7C
0141	C1
0142	C2
0143	C3
0144	C4
0145	C5
0146	C6
0147	C7
0148	C8
0149	C9
014A	D1
014B	D2
014C	D3
014D	D4
014E	D5
014F	D6
0150	D7
0151	D8
0152	D9
0153	E2
0154	E3
0155	E4
0156	E5
0157	E6
0158	E7
0159	E8
015A	E9
015B	BA
015C	E0
015D	BB
015E	B0
015F	6D
0160	79
0161	81
0162	82
0163	83
0164	84
0165	85
0166	86
0167	87
0168	88
0169	89
016A	91
016B	92
016C	93
016D	94
016E	95
016F	96
0170	97
0171	98
0172	99
0173	A2
0174	A3
0175	A4
0176	A5
0177	A6
0178	A7
0179	A8
017A	A9
017B	C0
017C	4F
017D	D0
017E	A1
017F	07
0180	20
0181	21
0182	22
0183	23
0184	24
0185	15
0186	06
0187	17
0188	28
0189	29
018A	2A
018B	2B
018C	2C
018D	09
018E	0A
018F	1B
0190	30
0191	31
0192	1A
0193	33
0194	34
0195	35
0196	36
0197	08
0198	38
0199	39
019A	3A
019B	3B
019C	04
019D	14
019E	3E
019F	FF
01A0	41
01A1	AA
01A2	4A
01A3	B1
01A4	9F
01A5	B2
01A6	6A
01A7	B5
01A8	BD
01A9	B4
01AA	9A
01AB	8A
01AC	5F
01AD	CA
01AE	AF
01AF	BC
01B0	90
01B1	8F
01B2	EA
01B3	FA
01B4	BE
01B5	A0
01B6	B6
01B7	B3
01B8	9D
01B9	DA
01BA	9B
01BB	8B
01BC	B7
01BD	B8
01BE	B9
01BF	AB
01C0	64
01C1	65
01C2	62
01C3	66
01C4	63
01C5	67
01C6	9E
01C7	68
01C8	74
01C9	71
01CA	72
01CB	73
01CC	78
01CD	75
01CE	76
01CF	77
01D0	AC
01D1	69
01D2	ED
01D3	EE
01D4	EB
01D5	EF
01D6	EC
01D7	BF
01D8	80
01D9	FD
01DA	FE
01DB	FB
01DC	FC
01DD	AD
01DE	AE
01DF	59
01E0	44
01E1	45
01E2	42
01E3	46
01E4	43
01E5	47
01E6	9C
01E7	48
01E8	54
01E9	51
01EA	52
01EB	53
01EC	58
01ED	55
01EE	56
01EF	57
01F0	8C
01F1	49
01F2	CD
01F3	CE
01F4	CB
01F5	CF
01F6	CC
01F7	E1
01F8	70
01F9	DD
01FA	DE
01FB	DB
01FC	DC
01FD	8D
01FE	8E
01FF01	5A
01FF02	7F
01FF03	7B
01FF04	5B
01FF05	6C
01FF06	50
01FF07	7D
01FF08	4D
01FF09	5D
01FF0A	5C
01FF0B	4E
01FF0C	6B
01FF0D	60
01FF0E	4B
01FF0F	61
01FF10	F0
01FF11	F1
01FF12	F2
01FF13	F3
01FF14	F4
01FF15	F5
01FF16	F6
01FF17	F7
01FF18	F8
01FF19	F9
01FF1A	7A
01FF1B	5E
01FF1C	4C
01FF1D	7E
01FF1E	6E
01FF1F	6F
01FF20	7C
01FF21	C1
01FF22	C2
01FF23	C3
01FF24	C4
01FF25	C5
01FF26	C6
01FF27	C7
01FF28	C8
01FF29	C9
01FF2A	D1
01FF2B	D2
01FF2C	D3
01FF2D	D4
01FF2E	D5
01FF2F	D6
01FF30	D7
01FF31	D8
01FF32	D9
01FF33	E2
01FF34	E3
01FF35	E4
01FF36	E5
01FF37	E6
01FF38	E7
01FF39	E8
01FF3A	E9
01FF3B	BA
01FF3C	E0
01FF3D	BB
01FF3E	B0
01FF3F	6D
01FF40	79
01FF41	81
01FF42	82
01FF43	83
01FF44	84
01FF45	85
01FF46	86
01FF47	87
01FF48	88
01FF49	89
01FF4A	91
01FF4B	92
01FF4C	93
01FF4D	94
01FF4E	95
01FF4F	96
01FF50	97
01FF51	98
01FF52	99
01FF53	A2
01FF54	A3
01FF55	A4
01FF56	A5
01FF57	A6
01FF58	A7
01FF59	A8
01FF5A	A9
01FF5B	C0
01FF5C	4F
01FF5D	D0
01FF5E	A1
01FF	DF
