# transposed and modified from from/IBM-939
0101	?01
0102	?02
0103	?03
010391	?4161
010392	?4162
010393	?4163
010394	?4164
010395	?4165
010396	?4166
010397	?4167
010398	?4168
010399	?4169
01039A	?416A
01039B	?416B
01039C	?416C
01039D	?416D
01039E	?416E
01039F	?416F
0103A0	?4170
0103A1	?4171
0103A3	?4172
0103A4	?4173
0103A5	?4174
0103A6	?4175
0103A7	?4176
0103A8	?4177
0103A9	?4178
0103B1	?4141
0103B2	?4142
0103B3	?4143
0103B4	?4144
0103B5	?4145
0103B6	?4146
0103B7	?4147
0103B8	?4148
0103B9	?4149
0103BA	?414A
0103BB	?414B
0103BC	?414C
0103BD	?414D
0103BE	?414E
0103BF	?414F
0103C0	?4150
0103C1	?4151
0103C3	?4152
0103C4	?4153
0103C5	?4154
0103C6	?4155
0103C7	?4156
0103C8	?4157
0103C9	?4158
010401	?41C6
010410	?41C0
010411	?41C1
010412	?41C2
010413	?41C3
010414	?41C4
010415	?41C5
010416	?41C7
010417	?41C8
010418	?41C9
010419	?41CA
01041A	?41CB
01041B	?41CC
01041C	?41CD
01041D	?41CE
01041E	?41CF
01041F	?41D0
010420	?41D1
010421	?41D2
010422	?41D3
010423	?41D4
010424	?41D5
010425	?41D6
010426	?41D7
010427	?41D8
010428	?41D9
010429	?41DA
01042A	?41DB
01042B	?41DC
01042C	?41DD
01042D	?41DE
01042E	?41DF
01042F	?41E0
010430	?4180
010431	?4181
010432	?4182
010433	?4183
010434	?4184
010435	?4185
010436	?4187
0104	?37
010437	?4188
010438	?4189
010439	?418A
01043A	?418B
01043B	?418C
01043C	?418D
01043D	?418E
01043E	?418F
01043F	?4190
010440	?4191
010441	?4192
010442	?4193
010443	?4194
010444	?4195
010445	?4196
010446	?4197
010447	?4198
010448	?4199
010449	?419A
01044A	?419B
01044B	?419C
01044C	?419D
01044D	?419E
01044E	?419F
01044F	?41A0
010451	?4186
0105	?2D
0106	?2E
0107	?2F
0108	?16
0109	?05
010A	?25
010B	?0B
010C	?0C
010D	?0D
010E	?0E
010F	?0F
0110	?10
0111	?11
0112	?12
0113	?13
0114	?3C
0115	?3D
0116	?32
0117	?26
0118	?18
0119	?19
011A	?3F
011B	?27
011C	?1C
011D	?1D
011E	?1E
011F	?1F
012010	?445A
012014	?444A
012015	?444A
012016	?447C
012018	?4461
012019	?4471
01201C	?4462
01201D	?4472
012020	?4377
012021	?4378
012025	?447E
012026	?447F
012030	?4373
012032	?44EE
012033	?44EF
01203B	?446B
01203E	?A0
0120	?40
012103	?444E
012116	?446E
012121	?446F
01212B	?4372
0121	?5A
012160	?41F1
012161	?41F2
012162	?41F3
012163	?41F4
012164	?41F5
012165	?41F6
012166	?41F7
012167	?41F8
012168	?41F9
012169	?41FA
012170	?41B1
012171	?41B2
012172	?41B3
012173	?41B4
012174	?41B5
012175	?41B6
012176	?41B7
012177	?41B8
012178	?41B9
012179	?41BA
012190	?44F1
012191	?44F2
012192	?44F0
012193	?44F3
0121D2	?436E
0121D4	?436F
012200	?4370
012202	?434E
012203	?4371
012207	?434F
012208	?4364
01220B	?4365
012212	?4260
01221A	?435F
01221D	?4361
01221E	?444D
012220	?434B
012225	?447C
012227	?436C
012228	?436D
012229	?436B
01222A	?436A
01222B	?4362
01222C	?4363
012234	?4468
012235	?4478
01223D	?4360
012252	?435C
012260	?444C
012261	?435B
012266	?4467
012267	?4477
01226A	?435D
01226B	?435E
0122	?7F
012282	?4368
012283	?4369
012286	?4366
012287	?4367
0122A5	?434C
012312	?434D
0123	?7B
0124	?5B
012500	?437C
012501	?43B7
012502	?437D
012503	?43B8
01250C	?437E
01250F	?43B9
012510	?437F
012513	?43E1
012514	?43B1
012517	?43E3
012518	?43B0
01251B	?43E2
01251C	?43B2
01251D	?43EE
012520	?43E9
012523	?43E4
