#transposed from from/_JIS0212.txt
0102D8	222F
0102C7	2230
01B8	2231
0102D9	2232
0102DD	2233
01AF	2234
0102DB	2235
0102DA	2236
017E	2237
010384	2238
010385	2239
01A1	2242
01A6	2243
01BF	2244
01BA	226B
01AA	226C
01A9	226D
01AE	226E
012122	226F
01A4	2270
012116	2271
010386	2661
010388	2662
010389	2663
01038A	2664
0103AA	2665
01038C	2667
01038E	2669
0103AB	266A
01038F	266C
0103AC	2671
0103AD	2672
0103AE	2673
0103AF	2674
0103CA	2675
010390	2676
0103CC	2677
0103C2	2678
0103CD	2679
0103CB	267A
0103B0	267B
0103CE	267C
010402	2742
010403	2743
010404	2744
010405	2745
010406	2746
010407	2747
010408	2748
010409	2749
01040A	274A
01040B	274B
01040C	274C
01040E	274D
01040F	274E
010452	2772
010453	2773
010454	2774
010455	2775
010456	2776
010457	2777
010458	2778
010459	2779
01045A	277A
01045B	277B
01045C	277C
01045E	277D
01045F	277E
01C6	2921
010110	2922
010126	2924
010132	2926
010141	2928
01013F	2929
01014A	292B
01D8	292C
010152	292D
010166	292F
01DE	2930
01E6	2941
010111	2942
01F0	2943
010127	2944
010131	2945
010133	2946
010138	2947
010142	2948
010140	2949
010149	294A
01014B	294B
01F8	294C
010153	294D
01DF	294E
010167	294F
01FE	2950
01C1	2A21
01C0	2A22
01C4	2A23
01C2	2A24
010102	2A25
0101CD	2A26
010100	2A27
010104	2A28
01C5	2A29
01C3	2A2A
010106	2A2B
010108	2A2C
01010C	2A2D
01C7	2A2E
01010A	2A2F
01010E	2A30
01C9	2A31
01C8	2A32
01CB	2A33
01CA	2A34
01011A	2A35
010116	2A36
010112	2A37
010118	2A38
01011C	2A3A
01011E	2A3B
010122	2A3C
010120	2A3D
010124	2A3E
01CD	2A3F
01CC	2A40
01CF	2A41
01CE	2A42
0101CF	2A43
010130	2A44
01012A	2A45
01012E	2A46
010128	2A47
010134	2A48
010136	2A49
010139	2A4A
01013D	2A4B
01013B	2A4C
010143	2A4D
010147	2A4E
010145	2A4F
01D1	2A50
01D3	2A51
01D2	2A52
01D6	2A53
01D4	2A54
0101D1	2A55
010150	2A56
01014C	2A57
01D5	2A58
010154	2A59
010158	2A5A
010156	2A5B
01015A	2A5C
01015C	2A5D
010160	2A5E
01015E	2A5F
010164	2A60
010162	2A61
01DA	2A62
01D9	2A63
01DC	2A64
01DB	2A65
01016C	2A66
0101D3	2A67
010170	2A68
01016A	2A69
010172	2A6A
01016E	2A6B
010168	2A6C
0101D7	2A6D
0101DB	2A6E
0101D9	2A6F
0101D5	2A70
010174	2A71
01DD	2A72
010178	2A73
010176	2A74
010179	2A75
01017D	2A76
01017B	2A77
01E1	2B21
01E0	2B22
01E4	2B23
01E2	2B24
010103	2B25
0101CE	2B26
010101	2B27
010105	2B28
01E5	2B29
01E3	2B2A
010107	2B2B
010109	2B2C
01010D	2B2D
01E7	2B2E
01010B	2B2F
01010F	2B30
01E9	2B31
01E8	2B32
01EB	2B33
01EA	2B34
01011B	2B35
010117	2B36
010113	2B37
010119	2B38
0101F5	2B39
01011D	2B3A
01011F	2B3B
010121	2B3D
010125	2B3E
01ED	2B3F
01EC	2B40
01EF	2B41
01EE	2B42
0101D0	2B43
01012B	2B45
01012F	2B46
010129	2B47
010135	2B48
010137	2B49
01013A	2B4A
01013E	2B4B
01013C	2B4C
010144	2B4D
010148	2B4E
010146	2B4F
01F1	2B50
01F3	2B51
01F2	2B52
01F6	2B53
01F4	2B54
0101D2	2B55
010151	2B56
01014D	2B57
01F5	2B58
010155	2B59
010159	2B5A
010157	2B5B
01015B	2B5C
01015D	2B5D
010161	2B5E
01015F	2B5F
010165	2B60
010163	2B61
01FA	2B62
01F9	2B63
01FC	2B64
01FB	2B65
01016D	2B66
0101D4	2B67
010171	2B68
01016B	2B69
010173	2B6A
01016F	2B6B
010169	2B6C
0101D8	2B6D
0101DC	2B6E
0101DA	2B6F
0101D6	2B70
010175	2B71
01FD	2B72
01FF	2B73
010177	2B74
01017A	2B75
01017E	2B76
01017C	2B77
014E02	3021
014E04	3022
014E05	3023
014E0C	3024
014E12	3025
014E1F	3026
014E23	3027
014E24	3028
014E28	3029
014E2B	302A
014E2E	302B
014E2F	302C
014E30	302D
014E35	302E
014E40	302F
014E41	3030
014E44	3031
014E47	3032
014E51	3033
014E5A	3034
014E5C	3035
014E63	3036
014E68	3037
014E69	3038
014E74	3039
014E75	303A
014E79	303B
014E7F	303C
014E8D	303D
014E96	303E
014E97	303F
014E9D	3040
014EAF	3041
014EB9	3042
014EC3	3043
014ED0	3044
014EDA	3045
014EDB	3046
014EE0	3047
014EE1	3048
014EE2	3049
014EE8	304A
014EEF	304B
014EF1	304C
014EF3	304D
014EF5	304E
014EFD	304F
014EFE	3050
014EFF	3051
014F00	3052
014F02	3053
014F03	3054
014F08	3055
014F0B	3056
014F0C	3057
014F12	3058
014F15	3059
014F16	305A
014F17	305B
014F19	305C
014F2E	305D
014F31	305E
014F60	305F
014F33	3060
014F35	3061
014F37	3062
014F39	3063
014F3B	3064
014F3E	3065
014F40	3066
014F42	3067
014F48	3068
014F49	3069
014F4B	306A
014F4C	306B
014F52	306C
014F54	306D
014F56	306E
014F58	306F
014F5F	3070
014F63	3071
014F6A	3072
014F6C	3073
014F6E	3074
014F71	3075
014F77	3076
014F78	3077
014F79	3078
014F7A	3079
014F7D	307A
014F7E	307B
014F81	307C
014F82	307D
014F84	307E
014F85	3121
014F89	3122
014F8A	3123
014F8C	3124
014F8E	3125
014F90	3126
014F92	3127
014F93	3128
014F94	3129
014F97	312A
014F99	312B
014F9A	312C
014F9E	312D
014F9F	312E
014FB2	312F
014FB7	3130
014FB9	3131
014FBB	3132
014FBC	3133
014FBD	3134
014FBE	3135
014FC0	3136
014FC1	3137
014FC5	3138
014FC6	3139
014FC8	313A
014FC9	313B
014FCB	313C
014FCC	313D
014FCD	313E
014FCF	313F
014FD2	3140
014FDC	3141
014FE0	3142
014FE2	3143
014FF0	3144
014FF2	3145
014FFC	3146
014FFD	3147
014FFF	3148
015000	3149
015001	314A
015004	314B
015007	314C
01500A	314D
01500C	314E
01500E	314F
015010	3150
015013	3151
015017	3152
015018	3153
01501B	3154
01501C	3155
01501D	3156
01501E	3157
015022	3158
015027	3159
01502E	315A
015030	315B
015032	315C
015033	315D
015035	315E
015040	315F
015041	3160
015042	3161
015045	3162
015046	3163
01504A	3164
01504C	3165
01504E	3166
015051	3167
015052	3168
015053	3169
015057	316A
015059	316B
01505F	316C
015060	316D
015062	316E
015063	316F
015066	3170
015067	3171
01506A	3172
01506D	3173
015070	3174
015071	3175
01503B	3176
015081	3177
015083	3178
015084	3179
015086	317A
01508A	317B
01508E	317C
01508F	317D
015090	317E
015092	3221
015093	3222
015094	3223
015096	3224
01509B	3225
01509C	3226
