#source: http://moztw.org/docs/big5/table/uao241-u2b.txt
010101	A0B0
010113	A0B1
01011B	A0D1
01012B	A0B2
01014A	9BD5
01014D	A0B3
010153	9BE5
01016B	A0B4
010192	A0FE
0101CE	A0D0
0101D0	A0D2
0101D2	A0D3
0101D4	A0D4
0101D6	A0B5
0101D8	A0C5
0101DA	A0D5
0101DC	A0E5
010251	9BCB
010252	9BE6
010254	9BCC
010259	9BCF
01025A	9BD0
01025B	9BC8
01025C	9BD1
01025D	9BCE
010261	9BD2
01026A	9BC7
01026F	9BE0
010275	9BD7
010278	9BE1
010283	9BD9
010287	9BE2
01028A	9BCD
01028C	9BCA
010292	9BDA
0102A4	9BDC
0102A7	9BDB
0102C6	C6D9
0102C7	A3BE
0102C9	A3BC
0102CA	A3BD
0102CB	A3BF
0102CD	A1C5
0102CF	9BE9
0102D9	A3BB
010391	A344
010392	A345
010393	A346
010394	A347
010395	A348
010396	A349
010397	A34A
010398	A34B
010399	A34C
01039A	A34D
01039B	A34E
01039C	A34F
01039D	A350
01039E	A351
01039F	A352
0103A0	A353
0103A1	A354
0103A3	A355
0103A4	A356
0103A5	A357
0103A6	A358
0103A7	A359
0103A8	A35A
0103A9	A35B
0103B1	A35C
0103B2	A35D
0103B3	A35E
0103B4	A35F
0103B5	A360
0103B6	A361
0103B7	A362
0103B8	A363
0103B9	A364
0103BA	A365
0103BB	A366
0103BC	A367
0103BD	A368
0103BE	A369
0103BF	A36A
0103C0	A36B
0103C1	A36C
0103C3	A36D
0103C4	A36E
0103C5	A36F
0103C6	A370
0103C7	A371
0103C8	A372
0103C9	A373
010401	C7F9
010410	C7F3
010411	C7F4
010412	C7F5
010413	C7F6
010414	C7F7
010415	C7F8
010416	C7FA
010417	C7FB
010418	C7FC
010419	C7FD
01041A	C7FE
01041B	C840
01041C	C841
01041D	C842
01041E	C843
01041F	C844
010420	C845
010421	C846
010422	C847
010423	C848
010424	C849
010425	C84A
010426	C84B
010427	C84C
010428	C84D
010429	C84E
01042A	C84F
01042B	C850
01042C	C851
01042D	C852
01042E	C853
01042F	C854
010430	C855
010431	C856
010432	C857
010433	C858
010434	C859
010435	C85A
010436	C85C
010437	C85D
010438	C85E
010439	C85F
01043A	C860
01043B	C861
01043C	C862
01043D	C863
01043E	C864
01043F	C865
010440	C866
010441	C867
010442	C868
010443	C869
